50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f50bfa39-a346-4b89-885f-74b93ed0f82d,1,,,3857255,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 25719, 'name': 'Shūichi Gonda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 29595, 'name': 'Ko Itakura'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 37215, 'name': 'Shogo Taniguchi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 23527, 'name': 'Junya Ito'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 37208, 'name': 'Ao Tanaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 37221, 'name': 'Hidemasa Morita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 31090, 'name': 'Takefusa Kubo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 9411, 'name': 'Daichi Kamada'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 30628, 'name': 'Daizen Maeda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Japan,778,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a0984911-33a4-4edd-b05b-69452699f71e,2,,,3857255,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 6892, 'name': 'Pau Francisco Torres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 39161, 'name': 'Alejandro Balde Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 133353, 'name': 'Pablo Martín Páez Gavira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 68574, 'name': 'Nicholas Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Spain,772,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0e66cfd5-8101-4f98-8c5d-12dfba6b2812,3,,,3857255,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['742d4b09-a9d3-4b4e-8871-a89f4f5ca143'],0,,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,742d4b09-a9d3-4b4e-8871-a89f4f5ca143,4,,,3857255,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['0e66cfd5-8101-4f98-8c5d-12dfba6b2812'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1f64067c-0b0f-40c9-96cf-bb5216932019,2337,,,3857255,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,61,Spain,772,['3c374eee-6939-44b9-ad77-9015393b20f4'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3c374eee-6939-44b9-ad77-9015393b20f4,2338,,,3857255,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,61,Spain,772,['1f64067c-0b0f-40c9-96cf-bb5216932019'],0,,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.793392,,,,,,,,,,,8b26aef6-09bc-4cc7-87a8-2b547c0b44f7,5,,"[61.0, 40.1]",3857255,0,,,,-2.8989146,,Right Foot,,,,"[30.3, 32.5]",,Ground Pass,,31.62673,,,Pau Francisco Torres,6892.0,,,,,Kick Off,1,From Kick Off,Pablo Martín Páez Gavira,133353.0,Right Center Midfield,2,Spain,772,['8a5e501f-a22e-4371-83c0-c62fb33fd3f2'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.540,Pass,
,,,,,,,,,,,,,,,,2.655969,,,,,,,,,,,57365d40-4701-486a-8c96-ed35af64f4eb,8,,"[33.5, 32.7]",3857255,0,,,,0.65066385,,Left Foot,,,,"[84.6, 71.6]",,High Pass,,64.22165,,Incomplete,Nicholas Williams Arthuer,68574.0,,,,,,1,From Kick Off,Pau Francisco Torres,6892.0,Left Center Back,2,Spain,772,"['368d9a8b-7c8e-4dc2-9363-8aac056dae54', 'fdd40710-2ad9-48f3-a1f0-ea26a6f2c34c']",3,,,,,,,,,,,,,,,,,,Spain,772,00:00:03.723,Pass,
,,,,,,,,,,,,,,,,1.003935,,,,,,,,,,,5aff0d66-50f1-4b05-893d-266b0964519a,11,,"[49.6, 80.0]",3857255,0,True,,,-2.5967288,,,,,,"[33.1, 70.0]",,Low Pass,,19.293781,,,Rodrigo Hernández Cascante,6765.0,,,,,Throw-in,1,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,3,Spain,772,['717a7a54-e7bb-4d87-bc41-200bdf7d62df'],12,,,,,,,,,,,,,,,,,,Spain,772,00:00:12.931,Pass,
,,,,,,,,,,,,,,,,2.558932,,,,,,,,,,,56daf5d9-7863-47a1-a0fd-f77efa541e0b,14,,"[15.5, 62.8]",3857255,0,,,,-1.3028859,,Left Foot,,,,"[23.9, 32.2]",,Ground Pass,,31.732002,,,Pau Francisco Torres,6892.0,,,,,,1,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,"['a36683f8-3c11-4640-bb81-2db5473856df', 'e8c07b47-5340-4213-a8c9-93bcb75da783']",16,,,,,,,,,,,,,,,,,,Spain,772,00:00:16.360,Pass,True
,,,,,,,,,,,,,,,,1.510414,,,,,,,,,,,01fc93fa-5331-45a8-8aad-1e8dc8747d3e,17,,"[31.2, 28.7]",3857255,0,,,,1.755019,,Left Foot,,,,"[28.2, 44.8]",,Ground Pass,,16.37712,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Throw In,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['d006f044-08fa-4274-9d97-2754433cdc89'],22,,,,,,,,,,,,,,,,,,Spain,772,00:00:22.838,Pass,
,,,,,,,,,,,,,,,,1.61669,,,,,,,,,,,55f07ca8-30bf-441d-982e-db0fcc03db04,20,,"[51.9, 47.3]",3857255,0,,,,-1.6376607,,Right Foot,,,,"[50.4, 24.9]",,Ground Pass,,22.450167,,,Pau Francisco Torres,6892.0,,,,,,1,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,['e2d3e86d-6702-4619-83e1-863ddfdf9e4c'],31,,,,,,,,,,,,,,,,,,Spain,772,00:00:31.337,Pass,
,,,,,,,,,,,,,,,,1.35661,,,,,,,,,,,b088252f-5dba-47f4-83ee-9f4b478a0b00,23,,"[54.1, 27.6]",3857255,0,,,,1.6892862,,Left Foot,,,,"[52.1, 44.4]",,Ground Pass,,16.918629,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Throw In,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['67107955-25a3-4bce-8e44-777f33a3d882'],36,,,,,,,,,,,,,,,,,,Spain,772,00:00:36.643,Pass,
,,,,,,,,,,,,,,,,1.145223,,,,,,,,,,,dd278af4-282b-49d1-985c-cc1c814615de,26,,"[52.9, 45.7]",3857255,0,,,,1.455242,,Left Foot,,,,"[55.5, 68.1]",,Ground Pass,,22.550388,,,César Azpilicueta Tanco,3957.0,,,,,,1,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,['5321bbe1-537f-4184-a46e-773cd6d97876'],39,,,,,,,,,,,,,,,,,,Spain,772,00:00:39.043,Pass,
,,,,,,,,,,,,,,,,1.500237,,,,,,,,,,,583689f6-b3ae-4244-a4f7-f397a78f9caf,30,,"[55.7, 61.8]",3857255,0,,,,-1.9480454,,Right Foot,,,,"[43.1, 30.0]",,Ground Pass,,34.20526,,,Pau Francisco Torres,6892.0,,,,,,1,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,3,Spain,772,"['07a58ce6-0dcd-43ea-83cc-dd952fbaf774', 'f1c8d51a-b3b0-41f1-96a8-aeead3466355']",41,,,,,,,,,,,,,,,,,,Spain,772,00:00:41.163,Pass,True
,,,,,,,,,,,,,,,,1.109379,,,,,,,,,,,ab436ba0-08a2-411d-b724-4e023ba3b0f9,33,,"[43.1, 30.0]",3857255,0,,,,-1.1204813,,Left Foot,,,,"[50.4, 14.9]",,Ground Pass,,16.772001,,,Pedro González López,30486.0,,,,,,1,From Throw In,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['f45b0a62-19cb-4f84-93bf-5e79ab7bb52b'],44,,,,,,,,,,,,,,,,,,Spain,772,00:00:44.081,Pass,
,,,,,,,,,,,,,,,,1.801897,,,,,,,,,,,1e99a12c-fbcc-44bc-98ce-ddc4fe8d57d9,37,,"[47.1, 17.3]",3857255,0,,,,1.8673421,,Right Foot,,,,"[37.2, 49.7]",,Ground Pass,,33.878754,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Throw In,Pedro González López,30486.0,Left Center Midfield,3,Spain,772,"['2d76029c-d45c-4608-880d-9bee542ba88c', '7c437a70-3f45-4bc3-9a64-01197370e766']",46,,,,,,,,,,,,,,,,,,Spain,772,00:00:46.380,Pass,True
,,,,,,,,,,,,,,,,1.78167,,,,,,,,,,,940ba6f1-20ed-4b9b-8b7b-066c0e74c5b4,41,,"[36.7, 47.9]",3857255,0,,,,-2.0490148,,Right Foot,,,,"[25.4, 26.1]",,Ground Pass,,24.554632,,,Pau Francisco Torres,6892.0,,,,,,1,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,"['14ee67ef-a595-4728-b47b-8f36e8aa30ce', '2fa0477e-7533-403a-87fb-23ee349a4692']",48,,,,,,,,,,,,,,,,,,Spain,772,00:00:48.222,Pass,True
,,,,,,,,,,,,,,,,2.679079,,,,,,,,,,,9c1fd8a7-59f7-4624-a469-737d2bb6935d,44,,"[25.2, 26.1]",3857255,0,,,,1.3310112,,Left Foot,,,,"[37.4, 76.0]",,High Pass,,51.36974,,,César Azpilicueta Tanco,3957.0,,True,,,,1,From Throw In,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['25a68a49-c3f1-4e82-ac9d-d98af473f344'],50,,,,,,,,,,,,,,,,,,Spain,772,00:00:50.044,Pass,
,,,,,,,,,,,,,,,,1.109055,,,,,,,,,,,945c17df-bb8a-4770-8e54-63ff96aff497,47,,"[50.6, 72.8]",3857255,0,,,,-1.8143822,,Right Foot,,,,"[46.4, 55.9]",,Ground Pass,,17.414074,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,3,Spain,772,['d39f1543-0330-48d0-a476-b046a79269a5'],54,,,,,,,,,,,,,,,,,,Spain,772,00:00:54.837,Pass,
,,,,,,,,,,,,,,,,0.783497,,,,,,,,,,,52d3e5c2-0dbf-4286-9309-91aed3ef14ae,51,,"[47.1, 57.4]",3857255,0,,,,2.4980915,,Right Foot,,,,"[42.7, 60.7]",,Ground Pass,,5.5,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Spain,772,"['b85f4f8b-d87f-481d-ac17-4d934de2ffb3', 'edc45dac-8cb4-4149-8e2a-17cdc1838153']",56,,,,,,,,,,,,,,,,,,Spain,772,00:00:56.980,Pass,True
,,,,,,,,,,,,,,,,2.057227,,,,,,,,,,,14339d6f-c5d5-468d-8ecd-4dd4dff3fe8e,53,,"[42.7, 60.7]",3857255,0,,,,-1.7600913,,Right Foot,,,,"[38.6, 39.3]",,Ground Pass,,21.789217,,,Pau Francisco Torres,6892.0,,,,,,1,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,['6d1b6710-24d4-4292-beee-037ef2ccc134'],57,,,,,,,,,,,,,,,,,,Spain,772,00:00:57.763,Pass,
,,,,,,,,,,,,,,,,0.858657,,,,,,,,,,,fc52db10-1c3f-41cc-802a-8e58c545d6de,56,,"[52.4, 32.5]",3857255,1,,,,-0.068216965,,Left Foot,,,,"[68.5, 31.4]",,Ground Pass,,16.137533,,,Álvaro Borja Morata Martín,3477.0,,,,,,1,From Throw In,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['e2885c43-6b00-4395-99cc-e07272451e2c'],3,,,,,,,,,,,,,,,,,,Spain,772,00:01:03.085,Pass,
