bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,093f898d-33b1-4425-b591-37dd9c9bf70b,1,,,,3857256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,,0,,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 20600, 'name': 'Vanja Milinković Savić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5603, 'name': 'Nikola Milenković'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6321, 'name': 'Milos Veljkovic'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 27719, 'name': 'Strahinja Pavlović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6318, 'name': 'Andrija Živković'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 6687, 'name': 'Saša Lukić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18015, 'name': 'Dušan Vlahović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Serbia,786,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,79a9efbb-b5e5-45b0-983d-8729bcc4a0e1,2,,,,3857256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 17974, 'name': 'Gregor Kobel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 16026, 'name': 'Djibril Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c4cdfc71-b9f4-4751-a714-e816c1419457,3,,,,3857256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,['51f295b8-da96-428e-ab47-90f380f8cf53'],0,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,51f295b8-da96-428e-ab47-90f380f8cf53,4,,,,3857256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,['c4cdfc71-b9f4-4751-a714-e816c1419457'],0,,,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,749a27ed-92e8-4723-9ac5-dcd074535537,1516,,,,3857256,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Switzerland,773,['f6a97503-ed87-4a13-89ba-8c4bbccc6686'],0,,,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f6a97503-ed87-4a13-89ba-8c4bbccc6686,1517,,,,3857256,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Switzerland,773,['749a27ed-92e8-4723-9ac5-dcd074535537'],0,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.220932,,,,,,,,,,,,4acb4fd2-f46a-4d73-993c-e06597873924,5,,,"[61.0, 40.1]",3857256,0,,,,2.9431229,,Right Foot,,,,"[43.1, 43.7]",,Ground Pass,18.258423,,,,Remo Freuler,6983.0,,,,,Kick Off,1,From Kick Off,Breel-Donald Embolo,5545.0,Center Forward,2,Switzerland,773,['b0d0583a-d544-4ab1-9043-6b42a57c27a8'],0,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.521,Pass,
,,,,,,,,,,,,,,,,1.752177,,,,,,,,,,,,f21fda3d-cb2c-4608-af2d-201d1ad8101c,8,,,"[39.7, 45.5]",3857256,0,,,,1.4737241,,Right Foot,,,,"[42.3, 72.2]",,Ground Pass,26.826294,,,,Silvan Widmer,7796.0,,,,,,1,From Kick Off,Remo Freuler,6983.0,Right Defensive Midfield,2,Switzerland,773,['c2ce6157-3b39-4a0e-b63f-3178874e1cf4'],3,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:03.385,Pass,
,,,,,,,,,,,,,,,,1.787088,,,,,,,,,,,,57654ce3-e311-49c4-9ba7-4fab2ec66f71,11,,,"[42.3, 72.2]",3857256,0,,,,-2.6696465,,Right Foot,,,,"[23.1, 62.4]",,Ground Pass,21.556438,,,,Fabian Lukas Schär,5537.0,,,,,,1,From Kick Off,Silvan Widmer,7796.0,Right Back,2,Switzerland,773,['e12a759e-24cc-49f4-baec-7435b52965fe'],6,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:06.697,Pass,
,,,,,,,,,,,,,,,,5.037477,,,,,,,,,,,,b4fc9de7-9029-4f18-bd6c-3d2a3c5e276a,13,,,"[23.1, 62.4]",3857256,0,,,,0.20304522,,Right Foot,,,,"[91.1, 76.4]",,High Pass,69.426216,,,,Djibril Sow,16026.0,,,,,,1,From Kick Off,Fabian Lukas Schär,5537.0,Right Center Back,2,Switzerland,773,['59c636fa-6894-4673-993d-262f379dacac'],8,,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:08.484,Pass,
