50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d057daee-c7f2-4828-8267-7ccc49148963,1,,,3857257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia,792,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15957, 'name': 'Miloš Degenek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 5490, 'name': 'Jackson Irvine'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8346, 'name': 'Craig Goodwin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 33477, 'name': 'Riley McGree'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 33492, 'name': 'Mitchell Thomas Duke'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Australia,792,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6b04b7e8-8f38-4124-85c5-b7cc2324c361,2,,,3857257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia,792,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16190, 'name': 'Rasmus Nissen Kristensen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 8247, 'name': 'Joachim Andersen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 18722, 'name': 'Mathias Jensen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 17042, 'name': 'Andreas Skov Olsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 27569, 'name': 'Jesper Lindstrøm'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Denmark,776,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,16644469-3c94-486f-abb4-cede95cd9c02,3,,,3857257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia,792,['313a04dc-d216-46ee-a3c7-ad9923a0784f'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,313a04dc-d216-46ee-a3c7-ad9923a0784f,4,,,3857257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia,792,['16644469-3c94-486f-abb4-cede95cd9c02'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b574baf5-48ba-4a33-8dd2-95fd3c59b1b8,1836,,,3857257,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Australia,792,['96b4fee9-a78b-4801-b18e-c83ce9d67b06'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,96b4fee9-a78b-4801-b18e-c83ce9d67b06,1837,,,3857257,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Australia,792,['b574baf5-48ba-4a33-8dd2-95fd3c59b1b8'],0,,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.698039,,,,,,,,,,,,,ae9dce4b-be84-4908-bd64-51062caa410f,5,,"[61.0, 40.1]",3857257,0,,,,,-2.5127964,,Right Foot,,,,"[58.8, 38.5]",,Ground Pass,,2.720294,,,,Christian Dannemann Eriksen,3043.0,,,,,,Kick Off,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Center Forward,2,Denmark,776,['ffd5ee04-4c7c-452b-abf4-1e32caea5dc1'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.462,Pass,
,,,,,,,,,,,,,,,,2.072076,,,,,,,,,,,,,8b341eb0-80d1-4c80-8d8a-74948ee97e02,8,,"[62.2, 38.2]",3857257,0,,,,,-1.4795471,,Right Foot,,,,"[65.0, 7.6]",,Ground Pass,,30.727837,,,,Joakim Mæhle,16554.0,,,,,,,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Left Center Midfield,2,Denmark,776,['7a703b28-78f7-4467-bdf5-2336daa7d98d'],2,,,,,,,,,,,,,,,,,Denmark,776,00:00:02.016,Pass,
,,,,,,,,,,,,,,,,1.469443,,,,,,,,,,,,,be28528e-8f00-420e-bd50-3e1bfae170bb,11,,"[60.5, 12.9]",3857257,0,,,,,2.6574202,,Right Foot,,,,"[47.0, 20.0]",,Ground Pass,,15.253197,,,,Andreas Christensen,3959.0,,,,,,,1,From Kick Off,Joakim Mæhle,16554.0,Left Back,2,Denmark,776,['f09e508e-f27a-4a08-8fc3-77fa11ede4a1'],5,,,,,,,,,,,,,,,,,Denmark,776,00:00:05.699,Pass,
,,,,,,,,,,,,,,,,2.20381,,,,,,,,,,,,,1a08ba2f-51ff-46e0-b9f7-681f2da65dc2,14,,"[50.5, 21.9]",3857257,0,,,,,1.7399819,,Right Foot,,,,"[45.7, 50.0]",,Ground Pass,,28.507017,,,,Joachim Andersen,8247.0,,,,,,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Denmark,776,['7e312cfc-951d-4f37-bded-66fb0a592693'],12,,,,,,,,,,,,,,,,,Denmark,776,00:00:12.351,Pass,
