50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c43ee79d-b980-4154-94c3-c74c04804a87,1,,,,3857259,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cameroon,2722,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15326, 'name': 'Devis Rogers Epassy Mboka'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 16346, 'name': 'Ngoran Suiru Fai Collins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 30016, 'name': 'Martin Hongla Yma II'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 12623, 'name': 'Pierre Kunde Malong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 4935, 'name': 'Bryan Mbeumo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Cameroon,2722,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f655fc3f-25de-4ec9-be3e-75ea7b20e0b4,2,,,,3857259,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cameroon,2722,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 20600, 'name': 'Vanja Milinković Savić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5603, 'name': 'Nikola Milenković'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6321, 'name': 'Milos Veljkovic'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 27719, 'name': 'Strahinja Pavlović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6318, 'name': 'Andrija Živković'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 6901, 'name': 'Nemanja Maksimović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6687, 'name': 'Saša Lukić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Serbia,786,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,26bf5898-0390-4073-bb0e-c3f0d37dc5e9,3,,,,3857259,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cameroon,2722,['833e00c2-8ce4-401d-a0e0-31b61180b31e'],0,,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,833e00c2-8ce4-401d-a0e0-31b61180b31e,4,,,,3857259,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cameroon,2722,['26bf5898-0390-4073-bb0e-c3f0d37dc5e9'],0,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,08b9427f-8129-497d-9527-1f1cd8f66e5f,1555,,,,3857259,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,Cameroon,2722,['273d94b7-a1ac-43e9-8496-5867efb180a0'],0,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,273d94b7-a1ac-43e9-8496-5867efb180a0,1556,,,,3857259,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,Cameroon,2722,['08b9427f-8129-497d-9527-1f1cd8f66e5f'],0,,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.704836,,,,,,,,,,,,b3eff7ee-6dba-4c24-8dca-e8c9f49ece2e,5,,,"[60.0, 40.0]",3857259,0,,,,,-2.4592762,,Right Foot,,,,"[52.0, 33.5]",,Ground Pass,,10.307764,,,Saša Lukić,6687.0,,,,,Kick Off,1,From Kick Off,Aleksandar Mitrović,4269.0,Center Forward,2,Serbia,786,['b9074e3b-9ddd-4f1e-84cb-c7e4200db0fd'],0,,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.586,Pass,
,,,,,,,,,,,,,,,,,,,1.151406,,,,,,,,,,,,4bdab636-f193-4657-9078-fb1891613f3b,8,,,"[48.0, 28.8]",3857259,0,,,,,-2.3009317,,Right Foot,,,,"[36.9, 16.4]",,Ground Pass,,16.642416,,,Strahinja Pavlović,27719.0,,,,,,1,From Kick Off,Saša Lukić,6687.0,Left Defensive Midfield,2,Serbia,786,['8ae85e76-f05a-4183-bd33-864d8cbe7e49'],2,,,,,,,,,,,,,,,,,,Serbia,786,00:00:02.572,Pass,
,,,,,,,,,,,,,,,,,,,1.518606,,,,,,,,,,,,64dcb65a-6d9c-42c6-aa13-94b2ef73655b,11,,,"[35.6, 15.8]",3857259,0,,,,,1.9506342,,Left Foot,,,,"[25.3, 41.6]",,Ground Pass,,27.78003,,,Milos Veljkovic,6321.0,,,,,,1,From Kick Off,Strahinja Pavlović,27719.0,Left Center Back,2,Serbia,786,['131b8efb-2a91-4322-8ab7-e5d33d70d54b'],4,,,,,,,,,,,,,,,,,,Serbia,786,00:00:04.766,Pass,
,,,,,,,,,,,,,,,,,,,1.444753,,,,,,,,,,,,26690e70-2bf6-47a0-9599-63a9303fbba0,15,,,"[24.9, 46.8]",3857259,0,,,,,1.8692952,,Right Foot,,,,"[19.3, 65.0]",,Ground Pass,,19.042059,,,Nikola Milenković,5603.0,,,,,,1,From Kick Off,Milos Veljkovic,6321.0,Center Back,2,Serbia,786,"['448d6075-fbb8-4aed-a79d-aed9a233139a', 'fcd54446-f310-4c62-8160-057972991c74']",7,,,,,,,,,,,,,,,,,,Serbia,786,00:00:07.888,Pass,True
