50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b41f10ba-bc20-47f4-adda-e3b4a3ce575d,1,,,,3857260,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saudi Arabia,799,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5714, 'name': 'Mohammed Khalil Al Owais'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 57620, 'name': 'Sultan Abdullah Salim Al Ghannam'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 51094, 'name': 'Abdulelah Al Amri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 51546, 'name': 'Hassan Mohammed Al-Tambakti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 5715, 'name': 'Ali Albulayhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 51096, 'name': 'Ali Al Hassan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 51710, 'name': 'Saud Abdullah Abdul Hamid'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 51099, 'name': 'Firas Tariq Nasser Al Albirakan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 51469, 'name': 'Saleh Khalid Al Shehri'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5713, 'name': 'Mohammed Kanoo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Saudi Arabia,799,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4867332e-4643-4559-86dc-3b5cbcec5a94,2,,,,3857260,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saudi Arabia,799,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26406, 'name': 'Jorge Eduardo Sánchez Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 26368, 'name': 'César Jasib Montes Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5573, 'name': 'Héctor Alfredo Moreno Herrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5576, 'name': 'Jesús Daniel Gallardo Vasconcelos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5567, 'name': 'Edson Omar Álvarez Velázquez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 28825, 'name': 'Luis Gerardo Chávez Magallón'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5571, 'name': 'Hirving Rodrigo Lozano Bahena'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 26280, 'name': 'Orbelín Pineda Alvarado'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 26301, 'name': 'Ernesto Alexis Vega Rojas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 26400, 'name': 'Henry Josué Martín Mex'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Mexico,794,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0786a76f-f047-42e2-987e-165c7974e4fc,3,,,,3857260,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saudi Arabia,799,['8af7e3a2-c69f-4ae5-82f3-037ae9d7cca3'],0,,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8af7e3a2-c69f-4ae5-82f3-037ae9d7cca3,4,,,,3857260,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saudi Arabia,799,['0786a76f-f047-42e2-987e-165c7974e4fc'],0,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dcf77434-5afd-4d4a-89d5-a32e9dc73218,1536,,,,3857260,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Saudi Arabia,799,['1f200ca0-1fd5-4e55-9e5f-548c1a13d839'],0,,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1f200ca0-1fd5-4e55-9e5f-548c1a13d839,1537,,,,3857260,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Saudi Arabia,799,['dcf77434-5afd-4d4a-89d5-a32e9dc73218'],0,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.203893,,,,,,,,,,,,,,6d57a9b3-db05-4f22-a7ae-487e3e53acb2,5,,,"[61.0, 40.1]",3857260,0,,,,-3.0613632,,Right Foot,,,,"[41.1, 38.5]",,Ground Pass,,19.964218,,,,Luis Gerardo Chávez Magallón,28825.0,,,,,Kick Off,1,From Kick Off,Henry Josué Martín Mex,26400.0,Center Forward,2,Mexico,794,['5eab331b-2934-4af9-92a0-121ab58a376b'],0,,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.759,Pass,
,,,,,,,,,,,,,,,1.588686,,,,,,,,,,,,,,ab3f6cd2-ebe6-48be-b3c0-132652f368e7,8,,,"[42.8, 39.5]",3857260,0,,,,1.4898922,,Left Foot,,,,"[45.8, 76.5]",,Ground Pass,,37.12142,,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,1,From Kick Off,Luis Gerardo Chávez Magallón,28825.0,Left Defensive Midfield,2,Mexico,794,['35f75cee-4f82-4743-929a-a1d7592eaabd'],3,,,,,,,,,,,,,,,,,,Mexico,794,00:00:03.182,Pass,
,,,,,,,,,,,,,,,1.897941,,,,,,,,,,,,,,bd28a752-66a6-4274-86c6-20c434e4dc46,11,,,"[46.0, 76.7]",3857260,0,,,,-2.6933813,,Right Foot,,,,"[22.5, 65.4]",,Ground Pass,,26.075659,,,,César Jasib Montes Castro,26368.0,,,,,,1,From Kick Off,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,2,Mexico,794,['f23b914d-502c-44c2-a47d-579775055dd4'],6,,,,,,,,,,,,,,,,,,Mexico,794,00:00:06.134,Pass,
,,,,,,,,,,,,,,,1.682623,,,,,,,,,,,,,,59ea40cd-b8b6-47b0-8614-ceef25b0029d,14,,,"[22.3, 62.0]",3857260,0,,,,-1.827045,,Right Foot,,,,"[16.3, 39.1]",,Ground Pass,,23.672981,,,,Francisco Guillermo Ochoa Magaña,5577.0,,,,,,1,From Kick Off,César Jasib Montes Castro,26368.0,Right Center Back,2,Mexico,794,['f2b3cc34-2aec-48a0-9485-db00ceef1b39'],9,,,,,,,,,,,,,,,,,,Mexico,794,00:00:09.120,Pass,
