50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ef50f27e-8b64-4185-ba52-2e622d7ebe38,1,,,,3857261,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 9914, 'name': 'Danny Ward'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 34794, 'name': 'Neco Williams'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4767, 'name': 'Chris Mepham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 11250, 'name': 'Joe Rodon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 4934, 'name': 'Ethan Ampadu'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11252, 'name': 'Daniel James'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3853, 'name': 'Kieffer Roberto Francisco Moore'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Wales,907,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,87729e4d-8838-4cae-b7cb-ca8b22af6cff,2,,,,3857261,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 4354, 'name': 'Philip Foden'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3318, 'name': 'Marcus Rashford'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a3f9ce51-db7f-449a-902f-f4a595330b13,3,,,,3857261,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,['5c4cab8f-dfac-47de-bca4-3ca4d211f915'],0,,,,,,,,,,,,,,,,,,Wales,907,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5c4cab8f-dfac-47de-bca4-3ca4d211f915,4,,,,3857261,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,['a3f9ce51-db7f-449a-902f-f4a595330b13'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,166b807f-3b1d-4254-8178-60a8db26310a,1736,,,,3857261,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,England,768,['ae0893ec-5b43-4718-9d72-2797f41015f0'],0,,,,,,,,,,,,,,,,,,Wales,907,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ae0893ec-5b43-4718-9d72-2797f41015f0,1737,,,,3857261,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,England,768,['166b807f-3b1d-4254-8178-60a8db26310a'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.615,,,,,,,,,,,,285b3d0e-ed65-4f11-84ee-1ac2e6b0491e,5,,,"[60.0, 40.0]",3857261,0,,,,,-2.6933813,,Right Foot,,"[36.5, 28.7]",,Ground Pass,,26.075659,,,,,Ben Davies,3086.0,,,,,,Kick Off,1,From Kick Off,Aaron Ramsey,3517.0,Center Attacking Midfield,2,Wales,907,['b7e37843-7498-42db-b117-ad4d40e0ed8c'],0,,,,,,,,,,,,,,,,,,Wales,907,00:00:00.371,Pass,
,,,,,,,,,,,,,,,,,2.742332,,,,,,,,,,,,cc3a9362-5f27-4b31-a11f-f776a3f12858,8,,,"[41.8, 26.0]",3857261,0,,,,,-0.16581869,,Left Foot,,"[90.2, 17.9]",,High Pass,,49.07311,,,Incomplete,,,,,,,,,,1,From Kick Off,Ben Davies,3086.0,Left Back,2,Wales,907,['916f2f17-c7ba-44b0-bce6-711b100f6d29'],3,,,,,,,,,,,,,,,,,,Wales,907,00:00:03.866,Pass,
,,,,,,,,,,,,,,,,,2.893471,,,,,,,,,,,,916f2f17-c7ba-44b0-bce6-711b100f6d29,9,,,"[29.9, 62.2]",3857261,0,,,,,0.58456326,,Head,,"[56.8, 80.0]",,High Pass,,32.25601,,,Out,,Philip Foden,4354.0,,,,,,Recovery,1,From Kick Off,Declan Rice,3943.0,Center Defensive Midfield,2,Wales,907,"['cc3a9362-5f27-4b31-a11f-f776a3f12858', 'dd4b8fa7-35bb-4415-a82c-e434a96bc54d']",6,,,,,,,,,,,,,,,,,,England,768,00:00:06.609,Pass,
,,,,,,,,,,,,,,,,,4.573407,,,,,,,,,,,,544d2090-8f94-48d1-b78b-f3ffa62ba544,11,,,"[63.9, 0.1]",3857261,0,,,,,0.14697713,,,,"[99.7, 5.4]",,High Pass,,36.190193,,,Incomplete,,Kieffer Roberto Francisco Moore,3853.0,,,,,,Throw-in,1,From Throw In,Ben Davies,3086.0,Left Back,3,Wales,907,"['88a6c333-6ec0-4019-98c7-d1109c3c14ef', '9c31f4d8-8fed-4074-83f8-d07996d5c65c']",21,,,,,,,,,,,,,,,,,,Wales,907,00:00:21.025,Pass,
