50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce2cd3ff-8965-4b90-a49e-d4986b06b321,1,,,,3857265,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26406, 'name': 'Jorge Eduardo Sánchez Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 26368, 'name': 'César Jasib Montes Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5573, 'name': 'Héctor Alfredo Moreno Herrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5576, 'name': 'Jesús Daniel Gallardo Vasconcelos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5567, 'name': 'Edson Omar Álvarez Velázquez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5575, 'name': 'Héctor Miguel Herrera López'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 28825, 'name': 'Luis Gerardo Chávez Magallón'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5571, 'name': 'Hirving Rodrigo Lozano Bahena'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 26301, 'name': 'Ernesto Alexis Vega Rojas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 26400, 'name': 'Henry Josué Martín Mex'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Mexico,794,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6c7a5360-208d-42d8-80d1-b4b79d74a809,2,,,,3857265,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 31955, 'name': 'Jakub Kamiński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 4664, 'name': 'Sebastian Szymański'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 50502, 'name': 'Nicola Zalewski'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Poland,789,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d3d3d58-a638-4dde-8d9f-b942a91f4946,3,,,,3857265,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,['8b45adc1-1a00-4a2b-9ec8-e06cf34849d3'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b45adc1-1a00-4a2b-9ec8-e06cf34849d3,4,,,,3857265,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mexico,794,['0d3d3d58-a638-4dde-8d9f-b942a91f4946'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37cf997e-789a-4d9c-9a09-1e107ebb4dd7,1674,,,,3857265,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Mexico,794,['87028e1f-75fc-42bc-b104-a729909642c6'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,87028e1f-75fc-42bc-b104-a729909642c6,1675,,,,3857265,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Mexico,794,['37cf997e-789a-4d9c-9a09-1e107ebb4dd7'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.788546,,,,,,,,,,,,,3b96b0a7-c83b-44de-85b7-55f1c49a9818,5,,,"[60.0, 40.0]",3857265,0,,,,,-3.113822,,Right Foot,,"[49.2, 39.7]",Ground Pass,,10.804166,,,Héctor Miguel Herrera López,5575.0,,,,,Kick Off,1,From Kick Off,Henry Josué Martín Mex,26400.0,Center Forward,2,Mexico,794,['17329644-97fd-490e-a1bb-7fddb3eadbea'],0,,,,,,,,,,,,,,,,,Mexico,794,00:00:00.384,Pass,
,,,,,,,,,,,,,,,,,0.811104,,,,,,,,,,,,,e3fe62a5-ecf1-4ab2-9130-95e03449d024,8,,,"[52.6, 35.5]",3857265,0,,,,,-1.8753072,,Right Foot,,"[47.1, 18.0]",Ground Pass,,18.343937,,,Luis Gerardo Chávez Magallón,28825.0,,,,,,1,From Kick Off,Héctor Miguel Herrera López,5575.0,Right Center Midfield,2,Mexico,794,['ac089df6-eaca-4f9b-8887-0e0dfd71b105'],2,,,,,,,,,,,,,,,,,Mexico,794,00:00:02.483,Pass,
,,,,,,,,,,,,,,,,,1.34133,,,,,,,,,,,,,48933c46-1138-4246-8856-0820dad086a7,12,,,"[45.5, 13.8]",3857265,0,,,,,-2.021866,,Left Foot,,"[39.3, 1.0]",Ground Pass,,14.222517,,,Jesús Daniel Gallardo Vasconcelos,5576.0,,,,,,1,From Kick Off,Luis Gerardo Chávez Magallón,28825.0,Left Center Midfield,2,Mexico,794,"['4ce0604e-d0e8-494a-9ed0-6009f161ae68', 'b8ce9d24-68bf-40b1-9b76-d4a721ffe675']",4,,,,,,,,,,,,,,,,,Mexico,794,00:00:04.365,Pass,True
,,,,,,,,,,,,,,,,,1.415085,,,,,,,,,,,,,c0c811d0-3cde-4f1b-85e2-314588320f35,16,,,"[34.6, 1.7]",3857265,0,,,,,2.412473,,Left Foot,,"[19.6, 15.1]",Ground Pass,,20.113676,,,Héctor Alfredo Moreno Herrera,5573.0,,,,,,1,From Kick Off,Jesús Daniel Gallardo Vasconcelos,5576.0,Left Back,2,Mexico,794,"['5db72632-ccd1-456a-b109-20f6949161a0', '8d2bf2d6-ff4d-4a66-aadc-44623862385f']",6,,,,,,,,,,,,,,,,,Mexico,794,00:00:06.533,Pass,True
,,,,,,,,,,,,,,,,,1.299738,,,,,,,,,,,,,0d12113f-0a4a-456d-9add-ccca2e5a3f88,19,,,"[19.6, 15.1]",3857265,0,,,,,0.1612983,,Left Foot,,"[49.1, 19.9]",High Pass,,29.887957,Incomplete,,,,,,,,,1,From Kick Off,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,2,Mexico,794,['f0a6559c-4fe1-4f96-8e0d-7bc36475ad64'],7,,,,,,,,,,,,,,,,,Mexico,794,00:00:07.988,Pass,
,,,,,,,,,,,,,,,,,1.665248,,,,,,,,,,,,,f0a6559c-4fe1-4f96-8e0d-7bc36475ad64,20,,,"[71.0, 60.2]",3857265,0,,,,,0.49466392,,Head,,"[87.5, 69.1]",High Pass,,18.747267,,,Robert Lewandowski,5668.0,,,,,Recovery,1,From Kick Off,Grzegorz Krychowiak,3637.0,Center Defensive Midfield,2,Mexico,794,"['0d12113f-0a4a-456d-9add-ccca2e5a3f88', '75b346f9-2ca0-4890-9d46-15735c039efb']",9,,,,,,,,,,,,,,,,,Poland,789,00:00:09.287,Pass,
,,,,,,,,,,,,,,,,,3.442108,,,,,,,,,,,,,2cd6e3f1-44d3-4c8d-90e7-87c69720b1dc,24,,,"[85.5, 75.5]",3857265,0,,,,,0.14145398,,Right Foot,,"[117.1, 80.0]",Ground Pass,,31.918804,Incomplete,,Jakub Kamiński,31955.0,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Mexico,794,"['ba7bd335-9bd9-4a0b-a1e4-52ce1d2794b7', 'e7dc3b53-ca16-48a1-96c7-634620e7a491']",13,,,,,,,,,,,,,,,,,Poland,789,00:00:13.790,Pass,
,,,,,,,,,,,,,,,,,3.068034,,,,,,,,,,,,,1d612128-491e-4178-b8b1-653ec56bedc7,31,,,"[11.0, 3.9]",3857265,0,,,,,-0.059397966,,Right Foot,,"[74.9, 0.1]",High Pass,,64.012886,Out,,Ernesto Alexis Vega Rojas,26301.0,,,,,Free Kick,1,From Free Kick,Francisco Guillermo Ochoa Magaña,5577.0,Goalkeeper,3,Mexico,794,['d46c8852-7aa9-4545-b4c3-3f53a1bf7916'],53,,,,,,,,,,,,,,,,,Mexico,794,00:00:53.664,Pass,
,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,54b15018-6f4d-4bad-bf7a-863af5ead42f,33,,,"[43.5, 80.0]",3857265,1,,True,,,-0.88650155,,,,"[46.6, 76.2]",High Pass,,4.90408,,,Piotr Zieliński,5660.0,,,,,Throw-in,1,From Throw In,Matty Cash,4734.0,Right Back,4,Poland,789,['7d424537-1978-4860-b60b-9797952843fa'],7,,,,,,,,,,,,,,,,,Poland,789,00:01:07.732,Pass,
,,,,,,,,,,,,,,,,,0.378702,,,,,,,,,,,,,0d34629b-c04e-4d60-acaa-b494e8a81c96,35,,,"[46.6, 76.2]",3857265,1,,True,,,0.7704739,,Right Foot,,"[50.0, 79.5]",Low Pass,,4.738143,,,Matty Cash,4734.0,,,,,,1,From Throw In,Piotr Zieliński,5660.0,Right Center Midfield,4,Poland,789,['240c300c-1aa4-4867-ba18-e33064a96420'],8,,,,,,,,,,,,,,,,,Poland,789,00:01:08.972,Pass,
