50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,480a5302-4ccc-4e6c-a2f3-0b6d2836c3ca,1,,,,3857266,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4445, 'name': 'Jules Koundé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 6704, 'name': 'Theo Bernard François Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,fe411d86-85ff-43b6-b4ea-397e5e3c5136,2,,,,3857266,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8247, 'name': 'Joachim Andersen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 17043, 'name': 'Victor Nelsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 16190, 'name': 'Rasmus Nissen Kristensen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 13}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 27569, 'name': 'Jesper Lindstrøm'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 24443, 'name': 'Mikkel Damsgaard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5732, 'name': 'Andreas Evald Cornelius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Denmark,776,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c89f4ae9-5de0-4b50-a4fb-d078da40cf00,3,,,,3857266,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['f9d39a45-0724-4e02-83b6-1a34853a26c2'],0,,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f9d39a45-0724-4e02-83b6-1a34853a26c2,4,,,,3857266,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['c89f4ae9-5de0-4b50-a4fb-d078da40cf00'],0,,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a00445ea-33d7-422d-bcf5-278afa5d21e3,1958,,,,3857266,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,France,771,['07e3d734-e823-4d68-bb53-46567e67835f'],0,,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,07e3d734-e823-4d68-bb53-46567e67835f,1959,,,,3857266,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,France,771,['a00445ea-33d7-422d-bcf5-278afa5d21e3'],0,,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.226192,,,,,,,,,,,5a1bb2e7-fde1-4e3d-a331-2f6d4698e36e,5,,,"[61.0, 40.1]",3857266,0,,,,-2.55359,,Left Foot,,,"[59.5, 39.1]",,Ground Pass,,1.8027756,,,Christian Dannemann Eriksen,3043.0,,,,,,Kick Off,1,From Kick Off,Andreas Evald Cornelius,5732.0,Center Forward,2,Denmark,776,['8030d926-c5fb-4abf-af7c-216eb4df13d9'],0,,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.129,Pass,
,,,,,,,,,,,,,,,,,,,1.319774,,,,,,,,,,,c92c6e1c-c6a7-4018-8321-093241aa6596,8,,,"[65.3, 42.1]",3857266,0,,,,1.3932002,,Right Foot,,,"[71.6, 77.2]",,Low Pass,,35.660904,,,Rasmus Nissen Kristensen,16190.0,,,,,,,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Left Defensive Midfield,2,Denmark,776,['594b9080-ff52-4a3c-ad4b-69da13403cbd'],2,,,,,,,,,,,,,,,,,,Denmark,776,00:00:02.279,Pass,
,,,,,,,,,,,,,,,,,,,1.171649,,,,,,,,,,,47a0d848-f275-4a00-865c-becca85743c4,13,,,"[76.2, 80.0]",3857266,0,,,,-0.50466937,,,,,"[86.7, 74.2]",,Low Pass,,11.995416,,,Jesper Lindstrøm,27569.0,,,,,,Throw-in,1,From Throw In,Rasmus Nissen Kristensen,16190.0,Right Wing Back,3,Denmark,776,['bf420379-2aaa-41ea-a71f-25536d14854a'],14,,,,,,,,,,,,,,,,,,Denmark,776,00:00:14.425,Pass,
,,,,,,,,,,,,,,,,,,,0.9062,,,,,,,,,,,6dfbbd83-b885-453c-a6bf-d035cd0b6d3e,17,,,"[87.5, 75.9]",3857266,0,,,,-2.232738,,Right Foot,,,"[81.5, 68.2]",,Ground Pass,,9.76166,,,Pierre-Emile Højbjerg,3570.0,,,,,,,1,From Throw In,Jesper Lindstrøm,27569.0,Right Wing,3,Denmark,776,['62645726-88d0-4437-9be3-4184ff112403'],16,,,,,,,,,,,,,,,,,,Denmark,776,00:00:16.788,Pass,
