ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0c7b67f7-9ab6-4910-a263-7fd3a3df3027,1,,,3857267,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 37522, 'name': 'Hernán Ismael Galíndez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 37737, 'name': 'Angelo Smit Preciado Quiñónez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 30111, 'name': 'Felix Eduardo Torres Caicedo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24085, 'name': 'Pervis Josué Estupiñán Tenorio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 12583, 'name': 'Carlos Armando Gruezo Arboleda'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 37945, 'name': 'Alan Steven Franco Palma'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 37726, 'name': 'Moisés Isaac Caicedo Corozo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 31152, 'name': 'Gonzalo Jordy Plata Jiménez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 34396, 'name': 'Michael Steveen Estrada Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Ecuador,3565,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,87592fff-a649-49d9-b34c-9aa6109e8151,2,,,3857267,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7379, 'name': 'Edouard Mendy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8553, 'name': 'Abdou Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 32915, 'name': 'Ismail Jakobs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 31751, 'name': 'Pathé Ismaël Ciss'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 21026, 'name': 'Pape Gueye'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 80484, 'name': 'Iliman Ndiaye'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 20611, 'name': 'Boulaye Dia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4817f5c5-d6ef-4061-be35-613b8ebe4fb4,3,,,3857267,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,['994a622a-cec8-43cb-9e8b-370cb5676e77'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,994a622a-cec8-43cb-9e8b-370cb5676e77,4,,,3857267,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ecuador,3565,['4817f5c5-d6ef-4061-be35-613b8ebe4fb4'],0,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,27ed4958-97e5-42d9-a950-56fcf5221d71,1394,,,3857267,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,82,Ecuador,3565,['b2644bc6-3adb-4a36-8666-515f398ae249'],0,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b2644bc6-3adb-4a36-8666-515f398ae249,1395,,,3857267,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,82,Ecuador,3565,['27ed4958-97e5-42d9-a950-56fcf5221d71'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.674249,,,,,,,,,,,,,,86a8153b-0447-48c7-8e2a-cada22215731,5,,"[61.0, 40.1]",3857267,0,,,,,-2.75931,,Left Foot,,,"[31.9, 28.4]",Ground Pass,,31.363993,,,,Piero Martín Hincapié Reyna,38004.0,,,,,Kick Off,1,From Kick Off,Gonzalo Jordy Plata Jiménez,31152.0,Right Wing,2,Ecuador,3565,['77a0bf33-171c-42b2-9cff-ed154b4c8f6f'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.688,Pass,
,,,,,,,,,,,,,,,,,2.896352,,,,,,,,,,,,,,ed4d2b72-aad1-4d61-bc80-821008eb4b11,8,,"[33.5, 28.9]",3857267,0,,,,,0.5323056,,Left Foot,,,"[93.6, 64.3]",High Pass,,69.75077,,Incomplete,,Alan Steven Franco Palma,37945.0,,,,,,1,From Kick Off,Piero Martín Hincapié Reyna,38004.0,Left Center Back,2,Ecuador,3565,"['49839f78-59a2-46c1-942d-eb3ce495fb8a', 'd441c7d6-373a-4362-898b-eaa1f7996668']",3,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:03.818,Pass,
,,,,,,,,,,,,,,,,,1.275852,,,,,,,,,,,,,,49839f78-59a2-46c1-942d-eb3ce495fb8a,10,,"[26.5, 15.8]",3857267,0,,,,,-0.3340956,,Head,,,"[38.6, 11.6]",High Pass,,12.808201,,Incomplete,,Ismaïla Sarr,2941.0,,,,,Recovery,1,From Kick Off,Ismail Jakobs,32915.0,Left Back,2,Ecuador,3565,"['288c3618-94b5-4a10-84bb-63f00fa2e744', '3d9074a7-601e-46d4-ad0e-27391da947eb', 'ed4d2b72-aad1-4d61-bc80-821008eb4b11']",6,,,,,,,,,,,,,,,,,Senegal,787,00:00:06.715,Pass,
,,,,,,,,,,,,,,,,,2.964881,,,,,,,,,,,,,,af9d4c3f-7427-471f-a673-6570aa9931d1,14,,"[81.8, 77.9]",3857267,0,,,,,-3.0278006,,Left Foot,,,"[64.3, 75.9]",Ground Pass,,17.613914,,,,Angelo Smit Preciado Quiñónez,37737.0,,,,,,1,From Kick Off,Gonzalo Jordy Plata Jiménez,31152.0,Right Wing,2,Ecuador,3565,['4503e6a4-bf64-4ebd-b2d3-261467f38260'],9,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:09.470,Pass,
