50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e9c61c28-912b-490b-9603-f0789ccdb291,1,,,3857269,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 13620, 'name': 'Éder Gabriel Militão'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 9904, 'name': 'Frederico Rodrigues Santos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 22600, 'name': 'Lucas Tolentino Coelho de Lima'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10595, 'name': 'Raphael Dias Belloli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 18395, 'name': 'Vinícius José Paixão de Oliveira Júnior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3280, 'name': 'Richarlison de Andrade'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,836db139-e042-49d4-b2cc-f2db13a58e3f,2,,,3857269,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 50436, 'name': 'Fabian Rieder'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 16026, 'name': 'Djibril Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e0e2c4b2-edf3-48ed-9439-e004fad3bff8,3,,,3857269,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['5a573630-71f0-4e1f-977d-2ca8b47d6c93'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5a573630-71f0-4e1f-977d-2ca8b47d6c93,4,,,3857269,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['e0e2c4b2-edf3-48ed-9439-e004fad3bff8'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1b5faf8e-02b3-48a6-b9c6-305b297a4ca0,2040,,,3857269,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,83,Switzerland,773,['99c9c185-41a1-48b4-bfc0-ff1e4033dea6'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,99c9c185-41a1-48b4-bfc0-ff1e4033dea6,2041,,,3857269,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,83,Switzerland,773,['1b5faf8e-02b3-48a6-b9c6-305b297a4ca0'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.339207,,,,,,,,,,,94ccfc21-ebca-4b6b-a36a-bcf9ebb04609,5,,"[61.0, 40.1]",3857269,0,,,,2.8346305,,Right Foot,,,"[34.5, 48.5]",,Ground Pass,,27.799461,,,Manuel Obafemi Akanji,5549.0,,,,Kick Off,1,From Kick Off,Djibril Sow,16026.0,Center Attacking Midfield,2,Switzerland,773,['8af65113-df81-43f5-b93c-30d0015380fe'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.292,Pass,
,,,,,,,,,,,,,,,,,1.246002,,,,,,,,,,,603aec99-95ab-4040-aeef-c8341e7af044,8,,"[54.0, 44.8]",3857269,0,,,,-1.9288945,,Right Foot,,,"[47.9, 28.5]",,Ground Pass,,17.404022,,,Nico Elvedi,8814.0,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Right Center Back,2,Switzerland,773,['0c372a1b-4aeb-4df6-b028-9b51130a774a'],9,,,,,,,,,,,,,,,,,Switzerland,773,00:00:09.207,Pass,
,,,,,,,,,,,,,,,,,1.031159,,,,,,,,,,,53eb6a57-b943-4766-9648-53184f7b6ea6,11,,"[48.4, 27.6]",3857269,0,,,,-1.4677147,,Right Foot,,,"[49.6, 16.0]",,Ground Pass,,11.661903,,,Ricardo Iván Rodríguez Araya,5544.0,,,,,1,From Kick Off,Nico Elvedi,8814.0,Left Center Back,2,Switzerland,773,['56be61ce-422b-4a22-8cf4-7de69df897c2'],11,,,,,,,,,,,,,,,,,Switzerland,773,00:00:11.825,Pass,
,,,,,,,,,,,,,,,,,1.200254,,,,,,,,,,,b5eca73d-9e8e-42e4-8a13-4861e5470d69,14,,"[50.7, 15.6]",3857269,0,,,,-0.65457076,,Left Foot,,,"[67.9, 2.4]",,Ground Pass,,21.681328,,,Ruben Vargas,30401.0,,,,,1,From Kick Off,Ricardo Iván Rodríguez Araya,5544.0,Left Back,2,Switzerland,773,['10c3338d-127b-4c23-a018-b9226b89b393'],13,,,,,,,,,,,,,,,,,Switzerland,773,00:00:13.643,Pass,
