bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3014564a-9c45-4928-9855-cb78b677a01a,1,,,,3857270,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 32975, 'name': 'Diogo Meireles Costa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 9927, 'name': 'Rúben Diogo Da Silva Neves'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 12041, 'name': 'João Félix Sequeira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Portugal,780,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5650a268-bced-4440-a44e-2f79c5fa991a,2,,,,3857270,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 36710, 'name': 'Sergio Rochet Álvarez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 5264, 'name': 'Guillermo Varela Olivera'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 13}, {'player': {'id': 7104, 'name': 'Mathías Olivera Miramontes'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 5260, 'name': 'Rodrigo Bentancur Colmán'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6773, 'name': 'Federico Santiago Valverde Dipetta'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 32478, 'name': 'Darwin Gabriel Núñez Ribeiro'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b3e8a73-2ec0-4608-85c5-241899ee173a,3,,,,3857270,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['2dfcdd53-4ce2-4321-a46f-eb05f353ac8a'],0,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2dfcdd53-4ce2-4321-a46f-eb05f353ac8a,4,,,,3857270,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['3b3e8a73-2ec0-4608-85c5-241899ee173a'],0,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,301853ad-d830-41ab-bc88-03e1c82f6fd2,1680,,,,3857270,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,81,Portugal,780,['60977efb-7c99-4a98-8473-7cb360224356'],0,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60977efb-7c99-4a98-8473-7cb360224356,1681,,,,3857270,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,81,Portugal,780,['301853ad-d830-41ab-bc88-03e1c82f6fd2'],0,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.108453,,,,,,,,,,,,,,3171b4d1-9bf1-4407-9f80-063ed3fa429e,5,,,"[60.0, 40.0]",3857270,0,,,,,-2.3074527,,Right Foot,,,,"[48.3, 27.1]",,Ground Pass,17.41551,,,,Matías Vecino Falero,5255.0,,,,,,Kick Off,1,From Kick Off,Darwin Gabriel Núñez Ribeiro,32478.0,Right Center Forward,2,Uruguay,783,['830d560c-c755-4e26-8f54-336a4f80fb40'],0,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.664,Pass,
,,,,,,,,,,,,,,,,1.594682,,,,,,,,,,,,,,f23bc138-d764-40cd-b015-c6d48f4edef1,8,,,"[47.0, 26.7]",3857270,0,,,,,1.8666809,,Right Foot,,,,"[38.8, 53.6]",,Ground Pass,28.122055,,,,José María Giménez de Vargas,5259.0,,,,,,,1,From Kick Off,Matías Vecino Falero,5255.0,Left Center Midfield,2,Uruguay,783,['cee74ad1-d472-4ead-961d-25bdfae6511a'],3,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:03.157,Pass,
,,,,,,,,,,,,,,,,1.82133,,,,,,,,,,,,,,781a6d60-bb67-4c34-8a7c-d0307e8181ae,11,,,"[50.3, 61.7]",3857270,0,,,,,-1.0455527,,Right Foot,,,,"[65.6, 35.3]",,Ground Pass,30.513111,,Incomplete,,,,,,,,,,1,From Kick Off,José María Giménez de Vargas,5259.0,Right Center Back,2,Uruguay,783,['80f2924e-666d-4f5f-8e89-bcc70a8f0039'],7,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:07.868,Pass,
,,,,,,,,,,,,,,,,1.723532,,,,,,,,,,,,,,f9a09480-20d9-4523-b1e5-0c6fc71edd24,14,,,"[45.5, 25.7]",3857270,0,,,,,-0.669116,,Right Foot,,,,"[65.1, 10.2]",,Ground Pass,24.988197,,,,João Félix Sequeira,12041.0,,,,,,,1,Regular Play,Bruno Miguel Borges Fernandes,5204.0,Center Attacking Midfield,3,Portugal,780,['aca4949e-b870-4a97-ad52-aec3f85dbf2b'],12,,,,,,,,,,,,,,,,,,Portugal,780,00:00:12.450,Pass,
