ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2ad82b6b-5cab-46ac-b711-b7b6f9c02428,1,,,3857271,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7843, 'name': 'Mason Mount'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3887323b-8742-42c7-a9e7-c04355e788f8,2,,,3857271,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5227, 'name': 'Alireza Safar Beiranvand'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5220, 'name': 'Morteza Pouraliganji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 5222, 'name': 'Roozbeh Cheshmi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 5228, 'name': 'Seyed Majid Hosseini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 23538, 'name': 'Sadegh Moharrami'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5720, 'name': 'Milad Mohammadi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 124167, 'name': 'Ahmad Nourollahi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 125818, 'name': 'Ali Karimi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5239, 'name': 'Alireza Jahanbakhsh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5230, 'name': 'Ehsan Hajsafi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 5226, 'name': 'Mehdi Taremi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Iran,797,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,762a9b3c-19d8-40e3-b146-5d94c35032c2,3,,,3857271,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['cfe21494-24f2-4e40-a472-aa6ae1fba6e8'],0,,,,,,,,,,,,,,,,,,,Iran,797,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,cfe21494-24f2-4e40-a472-aa6ae1fba6e8,4,,,3857271,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['762a9b3c-19d8-40e3-b146-5d94c35032c2'],0,,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,34dd6f3e-14ed-40b7-ada1-95a154c01bbc,1776,,,3857271,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,England,768,['58774429-4e8d-49ee-90c3-27ffae62077c'],0,,,,,,,,,,,,,,,,,,,Iran,797,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,58774429-4e8d-49ee-90c3-27ffae62077c,1777,,,3857271,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,England,768,['34dd6f3e-14ed-40b7-ada1-95a154c01bbc'],0,,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.698839,,,,,,,,,,,,,,,,e09b896d-4ff9-4649-bb9f-b560fa6581f8,5,,"[61.0, 40.1]",3857271,0,,,,2.7397995,,Right Foot,,,,"[33.7, 51.7]",,Ground Pass,,29.662266,,,Morteza Pouraliganji,5220.0,,,,,Kick Off,1,From Kick Off,Alireza Jahanbakhsh,5239.0,Right Wing,2,Iran,797,['70d24ace-3531-4197-bc70-880c2abcab35'],0,,,,,,,,,,,,,,,,,,,Iran,797,00:00:00.664,Pass,
,,,,,,,,,,,,,,,,2.87502,,,,,,,,,,,,,,,,9a60cf25-97db-4944-9feb-f564422c3971,8,,"[34.0, 50.3]",3857271,0,,,,-0.6379865,,Right Foot,,,,"[77.7, 17.9]",,High Pass,,54.400826,,,Mehdi Taremi,5226.0,,,,,,1,From Kick Off,Morteza Pouraliganji,5220.0,Right Center Back,2,Iran,797,['5001342e-91db-4a12-bba0-b3d52a4ea2d7'],3,,,,,,,,,,,,,,,,,,,Iran,797,00:00:03.714,Pass,
,,,,,,,,,,,,,,,,1.250184,,,,,,,,,,,,,,,,270185e1-0a06-4def-9f89-10145af3831f,10,,"[77.7, 17.9]",3857271,0,,,True,-0.5362471,,,,,,"[88.3, 11.6]",,High Pass,,12.330855,Incomplete,,,,,,,,,1,From Kick Off,Mehdi Taremi,5226.0,Center Forward,2,Iran,797,"['b813a632-a044-472c-a79d-5e8a8f10ed88', 'db8d235a-b092-4701-8290-61b3aa3c7ad9']",6,,,,,,,,,,,,,,,,,,,Iran,797,00:00:06.641,Pass,True
,,,,,,,,,,,,,,,,1.591909,,,,,,,,,,,,,,,,811ab6cc-b33d-4577-902e-713ae2494212,14,,"[31.8, 68.5]",3857271,0,,,,-2.3162158,,Right Foot,,,,"[23.4, 59.4]",,Ground Pass,,12.384264,,,John Stones,3244.0,,,,,,1,Regular Play,Kieran Trippier,3308.0,Right Back,3,England,768,['1a35a763-8e0e-45bc-b53a-a5d8d144b753'],8,,,,,,,,,,,,,,,,,,,England,768,00:00:08.507,Pass,
,,,,,,,,,,,,,,,,2.51964,,,,,,,,,,,,,,,,30744a68-8e1d-46bb-ba97-6cee5674fe65,17,,"[27.2, 49.2]",3857271,0,,,,-1.3375511,,Right Foot,,,,"[35.8, 13.0]",,Ground Pass,,37.207527,,,Luke Shaw,3382.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['43584de5-eceb-4677-a104-544e1517e491'],12,,,,,,,,,,,,,,,,,,,England,768,00:00:12.331,Pass,
,,,,,,,,,,,,,,,,1.187793,,,,,,,,,,,,,,,,2c1bf166-2d28-4f6e-a32a-86c2f46b1df2,20,,"[45.8, 7.5]",3857271,0,,,,2.6162257,,Left Foot,,,,"[32.0, 15.5]",,Ground Pass,,15.951176,,,Harry Maguire,3336.0,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,3,England,768,['d64c472e-d638-4c89-812d-ecc53202f50e'],17,,,,,,,,,,,,,,,,,,,England,768,00:00:17.750,Pass,
