ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aabb45ae-cc37-42db-a418-dced616240c2,1,,,3857272,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7843, 'name': 'Mason Mount'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4a6dd13-2dd0-420c-bad9-c3fbf15a488e,2,,,3857272,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 12352, 'name': 'Matthew Charles Turner'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12524, 'name': 'Walker Zimmerman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 18242, 'name': 'Tim Ream'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 4614, 'name': 'Antonee Robinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 12751, 'name': 'Tyler Adams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 38792, 'name': 'Yunus Dimoara Musah'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8526, 'name': 'Weston McKennie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 8246, 'name': 'Christian Pulisic'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3377, 'name': 'Timothy Weah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 22008, 'name': 'Haji Wright'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",United States,1839,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d3ed051b-18ac-4525-832d-801495d456ce,3,,,3857272,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['47b92d45-9e3a-4001-b44f-05372ff76f40'],0,,,,,,,,,,,,,,,,,United States,1839,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,47b92d45-9e3a-4001-b44f-05372ff76f40,4,,,3857272,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['d3ed051b-18ac-4525-832d-801495d456ce'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7031cd0a-1aa3-468a-81cd-31153bedefa5,1764,,,3857272,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,73,United States,1839,['93faa00a-9eeb-4055-be95-a34a7ec5b1f7'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,93faa00a-9eeb-4055-be95-a34a7ec5b1f7,1765,,,3857272,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,73,United States,1839,['7031cd0a-1aa3-468a-81cd-31153bedefa5'],0,,,,,,,,,,,,,,,,,United States,1839,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.465288,,,,,,,,,,,,,be5bf6da-0f29-4cb3-a2d4-8b7451606324,5,,"[60.0, 40.0]",3857272,0,,,,,2.7852814,,Right Foot,,,,"[37.7, 48.3]",Ground Pass,,23.794537,,,,John Stones,3244.0,,,,Kick Off,1,From Kick Off,Mason Mount,7843.0,Center Attacking Midfield,2,England,768,['ac6e8a24-be26-4e1b-9bdf-d90349febdcd'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.472,Pass,
,,,,,,,,,,,,,,,1.707492,,,,,,,,,,,,,7c429a30-86e9-4df5-afa8-1b4bb4dbf062,8,,"[41.8, 45.9]",3857272,0,,,,,-1.7287062,,Right Foot,,,,"[36.8, 14.5]",Ground Pass,,31.795597,,,,Harry Maguire,3336.0,,,,,1,From Kick Off,John Stones,3244.0,Right Center Back,2,England,768,['2d5f3aab-a9d8-4138-96e8-9c83fd734d57'],5,,,,,,,,,,,,,,,,,England,768,00:00:05.746,Pass,
,,,,,,,,,,,,,,,1.473382,,,,,,,,,,,,,669164e0-f639-42f6-bab7-0ca771648367,11,,"[33.6, 13.7]",3857272,0,,,,,1.6555785,,Right Foot,,,,"[30.6, 49.0]",Ground Pass,,35.42725,,,,John Stones,3244.0,,,,,1,From Kick Off,Harry Maguire,3336.0,Left Center Back,2,England,768,['81bf5cc6-a8c1-4790-bec3-da8560c6869a'],9,,,,,,,,,,,,,,,,,England,768,00:00:09.128,Pass,
,,,,,,,,,,,,,,,1.930887,,,,,,,,,,,,,77ea3610-d2b0-4507-bf34-7763939427a4,14,,"[33.6, 47.2]",3857272,0,,,,,-1.7702368,,Right Foot,,,,"[27.9, 19.0]",Ground Pass,,28.770298,,,,Harry Maguire,3336.0,,,,,1,From Kick Off,John Stones,3244.0,Right Center Back,2,England,768,['61125f62-35bb-4493-a05a-a73ab5d417c6'],16,,,,,,,,,,,,,,,,,England,768,00:00:16.079,Pass,
,,,,,,,,,,,,,,,1.115374,,,,,,,,,,,,,ed35b098-4588-4171-8b3d-7caa1dc16cbe,17,,"[29.1, 18.6]",3857272,0,,,,,1.6273397,,Right Foot,,,,"[27.9, 39.8]",Ground Pass,,21.233934,,,,John Stones,3244.0,,,,,1,From Kick Off,Harry Maguire,3336.0,Left Center Back,2,England,768,['27cef35b-04a8-420b-86fa-7dc3600d5634'],21,,,,,,,,,,,,,,,,,England,768,00:00:21.371,Pass,
