50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bb342d14-597b-4327-8d3f-e1177b7ff9b8,1,,,,3857274,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 8326, 'name': 'Andries Noppert'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 21809, 'name': 'Jurriën David Norman Timber'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 7891, 'name': 'Teun Koopmeiners'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 4318, 'name': 'Davy Klaassen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 8259, 'name': 'Steven Bergwijn'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dcee4fe1-f217-4149-bd3a-b775f2f2962e,2,,,,3857274,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 37522, 'name': 'Hernán Ismael Galíndez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 51969, 'name': 'Jackson Gabriel Porozo Vernaza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 30111, 'name': 'Felix Eduardo Torres Caicedo'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 37737, 'name': 'Angelo Smit Preciado Quiñónez'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 24085, 'name': 'Pervis Josué Estupiñán Tenorio'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 23830, 'name': 'Jhegson Sebastián Méndez Carabalí'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 37726, 'name': 'Moisés Isaac Caicedo Corozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31152, 'name': 'Gonzalo Jordy Plata Jiménez'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 34396, 'name': 'Michael Steveen Estrada Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Ecuador,3565,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ecf5901-be91-47e7-8bee-d16ab507562d,3,,,,3857274,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['6958fcb0-eb22-4183-b965-0247ed429207'],0,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6958fcb0-eb22-4183-b965-0247ed429207,4,,,,3857274,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['7ecf5901-be91-47e7-8bee-d16ab507562d'],0,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6dd7f6f5-2c6e-4ffe-9ef6-ab0abd485ff1,1929,,,,3857274,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Netherlands,941,['c94c5c1a-9120-4bf0-aba5-bfe85b963a52'],0,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c94c5c1a-9120-4bf0-aba5-bfe85b963a52,1930,,,,3857274,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Netherlands,941,['6dd7f6f5-2c6e-4ffe-9ef6-ab0abd485ff1'],0,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.939902,,,,,,,,,,,,,8fa082d7-d7bf-477b-86d3-8ff714415f7f,5,,,"[61.0, 40.1]",3857274,0,,,,,-2.68974,,Left Foot,,,,"[30.3, 25.2]",,Ground Pass,,34.12477,,,,Piero Martín Hincapié Reyna,38004.0,,,,,Kick Off,1,From Kick Off,Gonzalo Jordy Plata Jiménez,31152.0,Right Attacking Midfield,2,Ecuador,3565,['0b4b5251-658c-4d8a-806b-52a05d61a26e'],0,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.190,Pass,
,,,,,,,,,,,,,,,,3.826016,,,,,,,,,,,,,e75e833f-3764-4e65-be18-01e3364d2db2,8,,,"[33.1, 24.9]",3857274,0,,,,,0.15925439,,Left Foot,,,,"[104.7, 36.4]",,High Pass,,72.517654,,Incomplete,,Gonzalo Jordy Plata Jiménez,31152.0,,,,,,1,From Kick Off,Piero Martín Hincapié Reyna,38004.0,Left Center Back,2,Ecuador,3565,"['1092226c-0776-439d-90e9-f9497af5087d', 'edbd0472-435c-496d-bcb5-830b21855420']",3,,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:03.669,Pass,
,,,,,,,,,,,,,,,,0.239998,,,,,,,,,,,,,823c3355-b0ff-418c-baae-ecaa8e0ee14d,12,,,"[21.6, 55.2]",3857274,0,,,,True,-0.39305803,,,,,,"[25.7, 53.5]",,Low Pass,,4.438468,,,,Teun Koopmeiners,7891.0,,,,,Recovery,1,From Kick Off,Denzel Dumfries,8125.0,Right Wing Back,2,Ecuador,3565,"['108597e0-0cbd-43e0-b147-10f25803d9eb', '9cf43068-0b7e-4aad-bc2a-ce8e7ad16644']",9,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:09.933,Pass,True
,,,,,,,,,,,,,,,,0.574259,,,,,,,,,,,,,cfa56261-39bc-48e9-ba99-dfe3dab1c5aa,24,,,"[28.5, 53.0]",3857274,0,,,,,1.4845908,,Left Foot,,,,"[29.2, 61.1]",,Ground Pass,,8.130191,,,,Denzel Dumfries,8125.0,,,,,Recovery,1,From Kick Off,Davy Klaassen,4318.0,Center Attacking Midfield,2,Ecuador,3565,"['0e4900b6-2694-4c05-b13f-24835b0ac608', '8f49010b-0cdc-4241-b612-141fb2d0de41']",14,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:14.022,Pass,True
