50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e9edcbdb-806c-416c-b8c4-28b3807e7e5f,1,,,3857275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 105943, 'name': 'Aymen Dahmen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25582, 'name': 'Nader Ghandri'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 32450, 'name': 'Montassar Omar Talbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 105944, 'name': 'Wajdi Kechrida'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 5647, 'name': 'Ali Maâloul'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 44955, 'name': 'Aïssa Bilal Laïdouni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 35592, 'name': 'Anis Ben Slimane'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 102816, 'name': 'Mohamed Ali Ben Romdhane'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tunisia,777,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,02a07902-fa90-4ecc-b7ae-c529aa6197a7,2,,,3857275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 7439, 'name': 'Axel Disasi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 11135, 'name': 'Ibrahima Konaté'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 24778, 'name': 'Eduardo Camavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11990, 'name': 'Youssouf Fofana'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 7345, 'name': 'Mattéo Guendouzi Olié'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 22097, 'name': 'Randal Kolo Muani'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,22cde9d4-64a3-457a-8763-b6601e2fb0a8,3,,,3857275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['089c6939-77ad-48d9-a9db-5ec5308302b4'],0,,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,089c6939-77ad-48d9-a9db-5ec5308302b4,4,,,3857275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['22cde9d4-64a3-457a-8763-b6601e2fb0a8'],0,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,80b4c8d7-5afc-4919-91cb-b87760a6ec63,1720,,,3857275,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Tunisia,777,['0f121ee1-f6c5-4b42-90d3-e1cea0f68479'],0,,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0f121ee1-f6c5-4b42-90d3-e1cea0f68479,1721,,,3857275,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Tunisia,777,['80b4c8d7-5afc-4919-91cb-b87760a6ec63'],0,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.922941,,,,,,,,,,,238db953-6818-441d-bb93-67e999d84b51,5,,"[60.0, 40.0]",3857275,0,,,,,-0.22679885,,Right Foot,,,,"[66.5, 38.5]",,Ground Pass,,6.670832,,,,Wahbi Khazri,3196.0,,,,,,Kick Off,1,From Kick Off,Ellyes Joris Skhiri,3767.0,Right Defensive Midfield,2,Tunisia,777,['53214897-ce1d-4b37-aad3-66bcf01c22f8'],0,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.339,Pass,
,,,,,,,,,,,,,,,,,0.575445,,,,,,,,,,,57a98148-5731-4476-bff1-0a2899a037a1,8,,"[64.1, 41.7]",3857275,0,,,,,1.5532542,,Right Foot,,,,"[64.3, 53.1]",,Ground Pass,,11.401754,,,,Anis Ben Slimane,35592.0,,,,,,,1,From Kick Off,Wahbi Khazri,3196.0,Center Forward,2,Tunisia,777,['96cf0aa7-fd85-4841-80f8-13b4a6a9e373'],1,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:01.910,Pass,
,,,,,,,,,,,,,,,,,1.827337,,,,,,,,,,,f61b3d3d-41ff-4c80-80fa-e2234eeb9b85,10,,"[64.3, 53.1]",3857275,0,,,,,1.5431536,,No Touch,,,,"[64.9, 74.8]",,Ground Pass,,21.708294,True,,,Wajdi Kechrida,105944.0,,,,,,,1,From Kick Off,Anis Ben Slimane,35592.0,Right Attacking Midfield,2,Tunisia,777,['c683ff01-cb24-4f20-80ea-a9ea7b1fed77'],2,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:02.486,Pass,
,,,,,,,,,,,,,,,,,1.200169,,,,,,,,,,,ea609b58-6085-4d3d-8896-1c8b00f3982e,13,,"[65.3, 74.8]",3857275,0,,,,,-2.8023,,Left Foot,,,,"[50.0, 69.4]",,Ground Pass,,16.224981,,,,Yassine Meriah,5651.0,,,,,,,1,From Kick Off,Wajdi Kechrida,105944.0,Right Wing Back,2,Tunisia,777,['5f58b568-9e95-4060-8fca-bd36299626ca'],5,,,,,,,,,,,,,,,,,,Tunisia,777,00:00:05.340,Pass,
