50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,626d22e5-f601-40f8-a3c5-ffa5cb257160,1,,,3857277,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6785, 'name': 'Yassine Bounou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12149, 'name': 'Nayef Aguerd'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15890, 'name': 'Noussair Mazraoui'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5234, 'name': 'Sofyan Amrabat'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5237, 'name': 'Hakim Ziyech'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 46258, 'name': 'Azzedine Ounahi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23774, 'name': 'Selim Amallah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 6301, 'name': 'Youssef En-Nesyri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Morocco,788,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c332954d-a3b4-4be1-8faf-405f8789c50a,2,,,3857277,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 29163, 'name': 'Josip Juranović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 12625, 'name': 'Borna Sosa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3441, 'name': 'Nikola Vlašić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Croatia,785,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e433fea7-5a64-49c7-8fdc-0aff3807d3a9,3,,,3857277,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,['622c0f53-3a70-4ec9-a59d-99f7be7a783b'],0,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,622c0f53-3a70-4ec9-a59d-99f7be7a783b,4,,,3857277,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,['e433fea7-5a64-49c7-8fdc-0aff3807d3a9'],0,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c34b76d3-8e84-483a-9df1-7ea66d34f783,1967,,,3857277,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,80,Morocco,788,['d3a6bd00-5e28-4c43-a136-b133b249ea20'],0,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d3a6bd00-5e28-4c43-a136-b133b249ea20,1968,,,3857277,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,80,Morocco,788,['c34b76d3-8e84-483a-9df1-7ea66d34f783'],0,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.913417,,,,,,,,,,,,c720c046-0195-4f91-9068-061ec69dfb2e,5,,"[60.0, 40.0]",3857277,0,,,,-2.9718144,,Left Foot,,,,"[46.0, 37.6]",Ground Pass,,14.204225,,,,Sofyan Amrabat,5234.0,,,,,Kick Off,1,From Kick Off,Youssef En-Nesyri,6301.0,Center Forward,2,Morocco,788,['c1184bb0-aa70-4fac-8f93-d44b6d436a55'],0,,,,,,,,,,,,,,,,Morocco,788,00:00:00.261,Pass,
,,,,,,,,,,,,,,,,,,1.611887,,,,,,,,,,,,5e60ad65-3980-46a4-a7af-91812e41640d,8,,"[45.6, 37.6]",3857277,0,,,,-1.6523147,,Right Foot,,,,"[43.1, 7.0]",Ground Pass,,30.701954,,,,Noussair Mazraoui,15890.0,,,,,,1,From Kick Off,Sofyan Amrabat,5234.0,Center Defensive Midfield,2,Morocco,788,['1a1c8092-7e50-41b3-8023-a5e9e317bfec'],2,,,,,,,,,,,,,,,,Morocco,788,00:00:02.096,Pass,
,,,,,,,,,,,,,,,,,,1.153734,,,,,,,,,,,,dd84b209-e9e9-46e3-9575-73984bfd40b2,12,,"[38.8, 4.6]",3857277,0,,,,2.4613948,,Right Foot,,,,"[21.0, 19.0]",Low Pass,,22.895414,,,,Romain Saïss,5219.0,,,,,,1,From Kick Off,Noussair Mazraoui,15890.0,Left Back,2,Morocco,788,['68951beb-702b-47bf-985c-38bfe4235e6b'],5,,,,,,,,,,,,,,,,Morocco,788,00:00:05.285,Pass,
,,,,,,,,,,,,,,,,,,2.833848,,,,,,,,,,,,a61a2dff-a22c-456b-ac4f-fbd03d080e98,14,,"[21.0, 19.2]",3857277,0,,,,0.25180987,,Left Foot,,,,"[65.7, 30.7]",High Pass,,46.155605,,Incomplete,,Youssef En-Nesyri,6301.0,,,,,,1,From Kick Off,Romain Saïss,5219.0,Left Center Back,2,Morocco,788,"['193f2316-375f-46cb-b7c6-4c44c151305c', '5ccec099-dfef-4e0d-ad58-04f115110502']",6,,,,,,,,,,,,,,,,Morocco,788,00:00:06.439,Pass,
