50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,eed887ee-b0a6-4cbd-b28b-fe01544b1b7e,1,,,,3857282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States,1839,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12352, 'name': 'Matthew Charles Turner'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12524, 'name': 'Walker Zimmerman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 18242, 'name': 'Tim Ream'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 4614, 'name': 'Antonee Robinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 12751, 'name': 'Tyler Adams'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 8526, 'name': 'Weston McKennie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 38792, 'name': 'Yunus Dimoara Musah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3377, 'name': 'Timothy Weah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 8246, 'name': 'Christian Pulisic'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 22168, 'name': 'Joshua Sargent'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",United States,1839,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d8a1eeab-9199-4acf-b830-2d266860d453,2,,,,3857282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States,1839,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4767, 'name': 'Chris Mepham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 11250, 'name': 'Joe Rodon'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4774, 'name': 'Connor Roberts'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 34794, 'name': 'Neco Williams'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 4934, 'name': 'Ethan Ampadu'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 9540, 'name': 'Harry Wilson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 11252, 'name': 'Daniel James'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Wales,907,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7d4f6ccd-f495-414c-827b-9ebe1ba0b1ed,3,,,,3857282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States,1839,['fa2388f9-99a2-4d2c-b8da-8d7e77aee7d9'],0,,,,,,,,,,,,,,,,United States,1839,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fa2388f9-99a2-4d2c-b8da-8d7e77aee7d9,4,,,,3857282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States,1839,['7d4f6ccd-f495-414c-827b-9ebe1ba0b1ed'],0,,,,,,,,,,,,,,,,Wales,907,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0b349bef-835d-42ef-aabb-ba945a77aa09,1883,,,,3857282,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,United States,1839,['9f2fe597-c47d-43dd-b71d-d66190a7c683'],0,,,,,,,,,,,,,,,,United States,1839,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9f2fe597-c47d-43dd-b71d-d66190a7c683,1884,,,,3857282,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,United States,1839,['0b349bef-835d-42ef-aabb-ba945a77aa09'],0,,,,,,,,,,,,,,,,Wales,907,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.392206,,,,,,,,,,,,,,94a470c1-14e9-44ed-a1af-4aea210e555e,5,,,"[60.0, 40.0]",3857282,0,,,,,-2.9779742,,Right Foot,,,,"[38.8, 36.5]",,Ground Pass,,21.486973,,,,,Tim Ream,18242.0,,,,,,Kick Off,1,From Kick Off,Joshua Sargent,22168.0,Center Forward,2,United States,1839,['8b75f07d-0936-4c5f-8359-929121405f53'],0,,,,,,,,,,,,,,,,United States,1839,00:00:00.472,Pass,
,,,,,,,,,,,,,,,,,2.951226,,,,,,,,,,,,,,f53a1af2-968b-41bd-af5b-1cf35beec6de,8,,,"[39.2, 35.2]",3857282,0,,,,,0.36153054,,Left Foot,,,,"[98.7, 57.7]",,High Pass,,63.612106,,,Incomplete,,Weston McKennie,8526.0,,,,,,,1,From Kick Off,Tim Ream,18242.0,Left Center Back,2,United States,1839,"['4a805847-c5b8-4c3a-8872-ea03fa3b08dd', 'b125ac6f-936e-446e-ad21-ef3281f91bc6']",3,,,,,,,,,,,,,,,,United States,1839,00:00:03.208,Pass,
,,,,,,,,,,,,,,,,,2.08187,,,,,,,,,,,,,,d8e5e5ad-7f0a-42bb-af5e-df27b32a0e8c,12,,,"[24.0, 6.8]",3857282,0,,,,,0.03983399,,Left Foot,,,,"[51.6, 7.9]",,Low Pass,,27.621912,,,,,Daniel James,11252.0,,,,,,Recovery,1,From Kick Off,Harry Wilson,9540.0,Left Center Midfield,2,United States,1839,['15c60ed6-6921-449e-9d3b-e500125c9f54'],8,,,,,,,,,,,,,,,,Wales,907,00:00:08.417,Pass,
,,,,,,,,,,,,,,,,,1.505545,,,,,,,,,,,,,,8f5ce3a4-d6dd-4a90-b056-c008b56289b5,17,,,"[56.5, 80.0]",3857282,0,,,,,-2.1325831,,,,,,"[44.1, 60.3]",,Low Pass,,23.277672,,,,,Tim Ream,18242.0,,,,,,Throw-in,1,From Throw In,Walker Zimmerman,12524.0,Right Center Back,3,United States,1839,['304ad71e-e5ae-4468-934b-9b8a86a1da60'],13,,,,,,,,,,,,,,,,United States,1839,00:00:13.583,Pass,
