50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8891159e-01ce-4d03-8c98-321a2caf96e7,1,,,3857283,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6989, 'name': 'Timothy Castagne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 48347, 'name': 'Amadou Onana'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b6a8a91-2dcc-4d52-9c94-3134c0b7400f,2,,,3857283,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5233, 'name': 'Munir Mohand Mohamedi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12149, 'name': 'Nayef Aguerd'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15890, 'name': 'Noussair Mazraoui'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5234, 'name': 'Sofyan Amrabat'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 23774, 'name': 'Selim Amallah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 46258, 'name': 'Azzedine Ounahi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5237, 'name': 'Hakim Ziyech'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6301, 'name': 'Youssef En-Nesyri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Morocco,788,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19e3f28b-add7-4e46-80e1-9ec5bfefd952,3,,,3857283,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['6323982d-7292-4677-bee9-5ad231b69437'],0,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6323982d-7292-4677-bee9-5ad231b69437,4,,,3857283,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['19e3f28b-add7-4e46-80e1-9ec5bfefd952'],0,,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8cbdffeb-6d47-4c50-bb99-42bd0e5e03db,1788,,,3857283,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,77,Belgium,782,['4c8ca6ad-44eb-42ea-b620-0194017d0434'],0,,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4c8ca6ad-44eb-42ea-b620-0194017d0434,1789,,,3857283,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,77,Belgium,782,['8cbdffeb-6d47-4c50-bb99-42bd0e5e03db'],0,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.45313,,,,,,,,,,,,,f8d0bd4d-b769-44b6-9114-9a4fae7ee547,5,,"[60.0, 40.0]",3857283,0,,,,-2.6285348,,Right Foot,,,,"[52.9, 36.0]",,Ground Pass,,8.149233,,,,,Axel Witsel,5642.0,,,,,Kick Off,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Belgium,782,['a8622aaf-f4ef-47a3-9f8c-81a4fb148544'],0,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.308,Pass,
,,,,,,,,,,,,,,,,,,1.746832,,,,,,,,,,,,,8eced6a4-ea03-4e03-b90f-ff09ff38996f,8,,"[49.9, 37.1]",3857283,0,,,,2.3620083,,Right Foot,,,,"[32.6, 54.2]",,Ground Pass,,24.324884,,,,,Toby Alderweireld,20005.0,,,,,,1,From Kick Off,Axel Witsel,5642.0,Left Defensive Midfield,2,Belgium,782,['8f0af2b6-99a9-44d4-9ffa-501f1ad0d3af'],1,,,,,,,,,,,,,,,,,,Belgium,782,00:00:01.957,Pass,
,,,,,,,,,,,,,,,,,,0.706884,,,,,,,,,,,,,3c96e345-701d-4260-b2a5-6203f1cceceb,11,,"[32.6, 54.2]",3857283,0,,,,-0.18311082,,Right Foot,,,,"[43.4, 52.2]",,Ground Pass,,10.983624,,,,,Amadou Onana,48347.0,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Belgium,782,['5bef2273-e5ad-42d0-a150-c5f83d9ef9c5'],4,,,,,,,,,,,,,,,,,,Belgium,782,00:00:04.551,Pass,
,,,,,,,,,,,,,,,,,,1.221968,,,,,,,,,,,,,4228680a-ce97-49c0-8cfd-a13fbd7c0068,14,,"[43.4, 52.2]",3857283,0,,,,2.8364677,,Left Foot,,,,"[30.7, 56.2]",,Ground Pass,,13.315029,,,,,Toby Alderweireld,20005.0,,,,,,1,From Kick Off,Amadou Onana,48347.0,Right Defensive Midfield,2,Belgium,782,['282d612f-96bc-4f4c-87a1-3629a3e3da23'],5,,,,,,,,,,,,,,,,,,Belgium,782,00:00:05.318,Pass,
