50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,98fe82d5-da0c-4269-baff-574fcb5e303d,1,,,3857284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 24118, 'name': 'Nico Schlotterbeck'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12034, 'name': 'David Raum'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8400, 'name': 'Serge Gnabry'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 39565, 'name': 'Jamal Musiala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,49ac9c60-4e4d-4214-9af4-4d30978d1a92,2,,,3857284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25719, 'name': 'Shūichi Gonda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 29595, 'name': 'Ko Itakura'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 23721, 'name': 'Wataru Endo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 37208, 'name': 'Ao Tanaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 23527, 'name': 'Junya Ito'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 9411, 'name': 'Daichi Kamada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 31090, 'name': 'Takefusa Kubo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 30628, 'name': 'Daizen Maeda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Japan,778,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,73c0f0d3-7718-4708-9ab0-c00e60eb7f5d,3,,,3857284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['7b8819a9-fdd1-400e-8df2-24154777f9e6'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7b8819a9-fdd1-400e-8df2-24154777f9e6,4,,,3857284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['73c0f0d3-7718-4708-9ab0-c00e60eb7f5d'],0,,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d276dfff-4c4e-4ae5-ad65-87494ee6679b,1971,,,3857284,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Japan,778,['c74bccd0-d2f1-4bc6-8e15-d2ec10864ca7'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c74bccd0-d2f1-4bc6-8e15-d2ec10864ca7,1972,,,3857284,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Japan,778,['d276dfff-4c4e-4ae5-ad65-87494ee6679b'],0,,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.033459,,,,,,,,,,,,,6d9fc51f-1856-4961-8603-135c0b712e8d,5,,"[60.0, 40.0]",3857284,0,,,,,-2.3561945,,Left Foot,,,,"[57.9, 37.9]",,Ground Pass,,2.9698484,,,,,Joshua Kimmich,5579.0,,,,,,Kick Off,1,From Kick Off,Kai Havertz,8966.0,Center Forward,2,Germany,770,['d555d164-7c3b-4fc5-8112-d0bbc287f72d'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.219,Pass,
,,,,,,,,,,,,,,,,,,2.242274,,,,,,,,,,,,,0e1d27ae-782f-41a0-878d-55521ca581cf,8,,"[60.5, 41.8]",3857284,0,,,,,-0.32255247,,Right Foot,,,,"[97.9, 29.3]",,High Pass,,39.433617,,,Incomplete,,,,,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Right Defensive Midfield,2,Germany,770,['0342fff3-a55d-479d-ab00-5a9647d16e7c'],2,,,,,,,,,,,,,,,,,,Germany,770,00:00:02.979,Pass,
,,,,,,,,,,,,,,,,,,1.443598,,,,,,,,,,,,,0342fff3-a55d-479d-ab00-5a9647d16e7c,9,,"[22.2, 50.8]",3857284,0,,,,,-0.80374473,,Head,,,,"[32.9, 39.7]",,High Pass,,15.417522,,,,,Ao Tanaka,37208.0,,,,,,Recovery,1,From Counter,Ko Itakura,29595.0,Right Center Back,3,Japan,778,"['0e1d27ae-782f-41a0-878d-55521ca581cf', 'abc3cc29-da2c-441a-a25c-3d16e88bce1b']",5,,,,,,,,,,,,,,,,,,Japan,778,00:00:05.222,Pass,
,,,,,,,,,,,,,,,,,,2.333737,,,,,,,,,,,,,ddd08472-392e-4e5c-ae2d-4dcbeeb4f61d,12,,"[33.1, 39.2]",3857284,0,,,,,-0.38633722,,Right Foot,,,,"[44.9, 34.4]",,High Pass,,12.738916,,,,,Daizen Maeda,30628.0,,,,,,,1,From Counter,Ao Tanaka,37208.0,Left Defensive Midfield,3,Japan,778,['011350de-236b-4f53-8d1c-a8f7c2bed6f9'],6,,,,,,,,,,,,,,,,,,Japan,778,00:00:06.665,Pass,
