ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ccaea112-beed-4c10-8f47-e8cbdafa0968,1,,,,3857285,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7379, 'name': 'Edouard Mendy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 15970, 'name': 'Pape Abou Cissé'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8553, 'name': 'Abdou Diallo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 20758, 'name': 'Krépin Diatta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 20611, 'name': 'Boulaye Dia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c08f2a3a-818d-4554-a2cd-3fb988537a77,2,,,,3857285,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 8326, 'name': 'Andries Noppert'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 8069, 'name': 'Matthijs de Ligt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 7745, 'name': 'Steven Berghuis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3264, 'name': 'Vincent Janssen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 8259, 'name': 'Steven Bergwijn'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f2fb82a-75ef-404f-b652-7f0f5904b5a7,3,,,,3857285,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,['e6213182-f235-41f5-895f-13b7af948c51'],0,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e6213182-f235-41f5-895f-13b7af948c51,4,,,,3857285,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,['6f2fb82a-75ef-404f-b652-7f0f5904b5a7'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c2bf3e73-0c16-4b6b-8dea-7421ddd5b38f,1614,,,,3857285,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Netherlands,941,['cecd6fd5-ccb4-43bf-89b5-c666b74f0cbd'],0,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cecd6fd5-ccb4-43bf-89b5-c666b74f0cbd,1615,,,,3857285,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Netherlands,941,['c2bf3e73-0c16-4b6b-8dea-7421ddd5b38f'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.071089,,,,,,,,,,,,,555d8141-1057-45f0-a665-1421d851d17d,5,,,"[60.0, 40.0]",3857285,0,,,,-2.8475535,,Right Foot,,,,"[45.8, 35.7]",,Ground Pass,,14.836779,,,Frenkie de Jong,8118.0,,,,,Kick Off,1,From Kick Off,Vincent Janssen,3264.0,Right Center Forward,2,Netherlands,941,['2579c34a-0d48-4fe0-b2f1-daea5475d64f'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.225,Pass,
,,,,,,,,,,,,,,,,2.118228,,,,,,,,,,,,,a6ae20d5-f259-4246-a3e3-3d1d6b53fccb,8,,,"[47.3, 34.0]",3857285,0,,,,-1.5158355,,Right Foot,,,,"[49.0, 3.1]",,Ground Pass,,30.946728,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,['e6570720-747f-47d9-978f-170329249fdf'],3,,,,,,,,,,,,,,,,,Netherlands,941,00:00:03.912,Pass,
,,,,,,,,,,,,,,,,1.281287,,,,,,,,,,,,,c412b31f-bff5-46a9-b772-07b7f7e82552,11,,,"[49.0, 3.4]",3857285,0,,,,1.5237722,,Left Foot,,,,"[49.8, 20.4]",,Ground Pass,,17.018812,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Wing Back,2,Netherlands,941,['62315388-43c7-4715-948a-f8f21a96c586'],7,,,,,,,,,,,,,,,,,Netherlands,941,00:00:07.008,Pass,
,,,,,,,,,,,,,,,,1.210973,,,,,,,,,,,,,43a24cbf-fa90-45c4-b594-210d3ece2cd1,13,,,"[49.8, 20.4]",3857285,0,,,,-3.0165343,,Right Foot,,,,"[32.3, 18.2]",,Ground Pass,,17.637743,,,Nathan Aké,3306.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,['1211ea16-0460-4ecc-8f5a-62381a4ca8c8'],8,,,,,,,,,,,,,,,,,Netherlands,941,00:00:08.289,Pass,
