50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,48839a02-c0e4-493c-b2fd-855c5263c205,1,,,3857286,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Qatar,3566,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 124496, 'name': 'Saad Abdullah Al Sheeb'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 124503, 'name': 'Bassam Hisham Al Rawi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 124493, 'name': 'Boualem Khoukhi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 124494, 'name': 'Abdelkarim Hassan Al Haj Fadlalla'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 124506, 'name': 'Pedro Miguel Correia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 124900, 'name': 'Homam Alamin Ahmed'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 124492, 'name': 'Karim Boudiaf'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 124488, 'name': 'Hassan Khalid Al Heidos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 124514, 'name': 'Abdulaziz Hatem Mohammed Abdullah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 124495, 'name': 'Almoez Ali Zainalabiddin Abdulla'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 40784, 'name': 'Akram Hassan Afif'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Qatar,3566,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4eda80eb-9279-4394-a9c7-a5b50a955740,2,,,3857286,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Qatar,3566,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 37522, 'name': 'Hernán Ismael Galíndez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 37737, 'name': 'Angelo Smit Preciado Quiñónez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 30111, 'name': 'Felix Eduardo Torres Caicedo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24085, 'name': 'Pervis Josué Estupiñán Tenorio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 23830, 'name': 'Jhegson Sebastián Méndez Carabalí'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 37726, 'name': 'Moisés Isaac Caicedo Corozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31152, 'name': 'Gonzalo Jordy Plata Jiménez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 12803, 'name': 'Romario Andrés Ibarra Mina'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 34396, 'name': 'Michael Steveen Estrada Martínez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Ecuador,3565,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79c7c94f-9c27-478f-9931-2f4087a970a7,3,,,3857286,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Qatar,3566,['6808e173-6b89-4b4a-a95a-e3c7139fb99f'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6808e173-6b89-4b4a-a95a-e3c7139fb99f,4,,,3857286,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Qatar,3566,['79c7c94f-9c27-478f-9931-2f4087a970a7'],0,,,,,,,,,,,,,,,,,Qatar,3566,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,83c2cfc9-cc3b-4f97-8cf8-5aa362d91c6e,1503,,,3857286,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,73,Qatar,3566,['a2752173-96b2-4686-b6b5-310ca3847861'],0,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2752173-96b2-4686-b6b5-310ca3847861,1504,,,3857286,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,73,Qatar,3566,['83c2cfc9-cc3b-4f97-8cf8-5aa362d91c6e'],0,,,,,,,,,,,,,,,,,Qatar,3566,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.36743,,,,,,,,,,,,,8634d0f3-8bc2-43a2-998b-876ad939f54d,5,,"[60.0, 40.0]",3857286,0,,,,2.5748634,,Right Foot,,,"[57.8, 41.4]",,Ground Pass,,2.607681,,,Akram Hassan Afif,40784.0,,,,,Kick Off,1,From Kick Off,Almoez Ali Zainalabiddin Abdulla,124495.0,Right Center Forward,2,Qatar,3566,['0b8ea72f-a55e-4b31-8394-da74c9fe5ac0'],0,,,,,,,,,,,,,,,,,Qatar,3566,00:00:00.887,Pass,
,,,,,,,,,,,,,,,,0.579682,,,,,,,,,,,,,9f9b5159-02ca-4a16-b2eb-330ffaca04f4,8,,"[54.8, 40.6]",3857286,0,,,,1.2490457,,Right Foot,,,"[56.3, 45.1]",,Ground Pass,,4.7434163,,,Hassan Khalid Al Heidos,124488.0,,,,,,1,From Kick Off,Akram Hassan Afif,40784.0,Left Center Forward,2,Qatar,3566,['5f60a3c3-fb68-4ff1-9dc2-8c3cc17e2fc3'],2,,,,,,,,,,,,,,,,,Qatar,3566,00:00:02.962,Pass,
,,,,,,,,,,,,,,,,2.635516,,,,,,,,,,,,,08f12f30-b658-4e5c-985b-984cb0ebc1f3,11,,"[58.0, 44.4]",3857286,0,,,,-0.043996748,,Right Foot,,,"[105.7, 42.3]",,High Pass,,47.746204,Incomplete,,Almoez Ali Zainalabiddin Abdulla,124495.0,,,,,,1,From Kick Off,Hassan Khalid Al Heidos,124488.0,Right Center Midfield,2,Qatar,3566,"['9268dd6b-d67d-4357-9e48-0f635186d643', 'e309b115-f46d-4914-ba51-6ee57bb188cd']",4,,,,,,,,,,,,,,,,,Qatar,3566,00:00:04.542,Pass,
,,,,,,,,,,,,,,,,1.006968,,,,,,,,,,,,,9268dd6b-d67d-4357-9e48-0f635186d643,13,,"[14.4, 37.8]",3857286,0,,,,-1.4464413,,Head,,,"[15.2, 31.4]",,Low Pass,,6.449806,,,Pervis Josué Estupiñán Tenorio,24085.0,,,,,Recovery,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,3,Ecuador,3565,"['08f12f30-b658-4e5c-985b-984cb0ebc1f3', 'aece05ab-52b4-4f7a-9b5c-4acd2d4ae345']",7,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:07.177,Pass,
