50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5067648d-de82-4fc9-9b9a-4858cedadd51,1,,,,3857288,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 105943, 'name': 'Aymen Dahmen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 5655, 'name': 'Dylan Daniel Mahmoud Bronn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 32450, 'name': 'Montassar Omar Talbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 9236, 'name': 'Mohamed Dräger'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 20}, {'player': {'id': 30681, 'name': 'Ali Abdi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 24}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 44955, 'name': 'Aïssa Bilal Laïdouni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3557, 'name': 'Naïm Sliti'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 23910, 'name': 'Youssef Msakni'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 16352, 'name': 'Issam Jebali'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Tunisia,777,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad2dbe09-062a-47de-a2a5-c5b07647ba4d,2,,,,3857288,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 28370, 'name': 'Fran Karačić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5490, 'name': 'Jackson Irvine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8346, 'name': 'Craig Goodwin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 33492, 'name': 'Mitchell Thomas Duke'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 33477, 'name': 'Riley McGree'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Australia,792,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e5361015-b078-4d76-8778-abd8e916ba1c,3,,,,3857288,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['e2eaf4dd-ccd7-436a-868a-387afae4ff12'],0,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2eaf4dd-ccd7-436a-868a-387afae4ff12,4,,,,3857288,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['e5361015-b078-4d76-8778-abd8e916ba1c'],0,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a72f3af-0fba-4916-a8ff-c439693ce82d,1589,,,,3857288,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Tunisia,777,['bd01515d-6f62-4fcb-ba13-98e232bdad5b'],0,,,,,,,,,,,,,,,,Australia,792,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bd01515d-6f62-4fcb-ba13-98e232bdad5b,1590,,,,3857288,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Tunisia,777,['0a72f3af-0fba-4916-a8ff-c439693ce82d'],0,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.33312,,,,,,,,,,,,,5609159f-4c32-4da4-b63a-0df93eabd657,5,,,"[60.0, 40.0]",3857288,0,,,,-2.612465,,Right Foot,,,,"[48.2, 33.1]",Ground Pass,,13.669309,,,Aaron Mooy,3281.0,,,,,Kick Off,1,From Kick Off,Riley McGree,33477.0,Left Center Forward,2,Australia,792,['0adf7973-a3a2-4b8b-880d-3ceded1bf80a'],0,,,,,,,,,,,,,,,,Australia,792,00:00:00.618,Pass,
,,,,,,,,,,,,,,,,,0.938863,,,,,,,,,,,,,074a3fa6-2a10-4b00-a1a4-2afcee877dca,8,,,"[48.8, 32.0]",3857288,0,,,,-2.2940736,,Right Foot,,,,"[39.0, 20.9]",Ground Pass,,14.807093,,,Aziz Eraltay Behich,5479.0,,,,,,1,From Kick Off,Aaron Mooy,3281.0,Left Defensive Midfield,2,Australia,792,['a817dbfc-dfb6-47bf-a621-8225fc1a8def'],2,,,,,,,,,,,,,,,,Australia,792,00:00:02.654,Pass,
,,,,,,,,,,,,,,,,,1.6823,,,,,,,,,,,,,ef47502c-3ded-4421-824a-748e8aeae8f4,11,,,"[39.0, 20.9]",3857288,0,,,,2.690523,,Left Foot,,,,"[26.2, 27.1]",Ground Pass,,14.222517,,,Kye Rowles,33495.0,,,,,,1,From Kick Off,Aziz Eraltay Behich,5479.0,Left Back,2,Australia,792,['63fd2ac0-f4e0-41b6-9178-04d460c0a030'],4,,,,,,,,,,,,,,,,Australia,792,00:00:04.913,Pass,
,,,,,,,,,,,,,,,,,1.84395,,,,,,,,,,,,,4934dead-2763-4ff9-9da4-7b90e4413753,15,,,"[26.8, 26.7]",3857288,0,,,,0.465831,,Left Foot,,,,"[63.4, 45.1]",High Pass,,40.964863,Incomplete,,,,,,,,,1,From Kick Off,Kye Rowles,33495.0,Left Center Back,2,Australia,792,"['9dc1f21a-3429-49ca-a374-be38e5baed57', 'bf7e8a7f-af93-46ec-8d39-12e08385d431']",6,,,,,,,,,,,,,,,,Australia,792,00:00:06.633,Pass,True
