50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,71538577-b81e-430f-8738-e2412f7628e2,1,,,3857289,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6909, 'name': 'Damián Emiliano Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 28263, 'name': 'Gonzalo Ariel Montiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 27768, 'name': 'Lisandro Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 26404, 'name': 'Guido Rodríguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 11456, 'name': 'Lautaro Javier Martínez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a30f20d1-16a6-40c8-a3d3-9bc4d43516c0,2,,,3857289,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11388, 'name': 'Néstor Alejandro Araújo Razo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26368, 'name': 'César Jasib Montes Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 5573, 'name': 'Héctor Alfredo Moreno Herrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30500, 'name': 'Kevin Nahin Álvarez Campos'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 5576, 'name': 'Jesús Daniel Gallardo Vasconcelos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 5575, 'name': 'Héctor Miguel Herrera López'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 28825, 'name': 'Luis Gerardo Chávez Magallón'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 5571, 'name': 'Hirving Rodrigo Lozano Bahena'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 26301, 'name': 'Ernesto Alexis Vega Rojas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Mexico,794,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a48e26ef-0f64-4cc0-8647-1cd17f92b83c,3,,,3857289,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['302e6d92-f475-49e8-8fb0-0a8dbe91540f'],0,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,302e6d92-f475-49e8-8fb0-0a8dbe91540f,4,,,3857289,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['a48e26ef-0f64-4cc0-8647-1cd17f92b83c'],0,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,abf3dd11-8e33-4f98-b7ca-06b0faa99a4d,1620,,,3857289,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,82,Argentina,779,['83d6f4a5-a93a-44cd-aaa8-2412b16d998c'],0,,,,,,,,,,,,,,,,Mexico,794,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,83d6f4a5-a93a-44cd-aaa8-2412b16d998c,1621,,,3857289,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,82,Argentina,779,['abf3dd11-8e33-4f98-b7ca-06b0faa99a4d'],0,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.24959,,,,,,,,,,,,,e13d8803-2d13-45a7-9551-180cb3721abb,5,,"[61.0, 40.1]",3857289,0,,,,,-2.9409397,,Left Foot,,,,"[43.3, 36.5]",,Ground Pass,18.062391,,,,Héctor Miguel Herrera López,5575.0,,,,Kick Off,1,From Kick Off,José Andrés Guardado Hernández,5563.0,Left Center Midfield,2,Mexico,794,['79ef30fe-55c1-40cc-87b5-415537c917a2'],0,,,,,,,,,,,,,,,,Mexico,794,00:00:00.547,Pass,
,,,,,,,,,,,,,,,,,4.12605,,,,,,,,,,,,,5798cab7-67be-4a1f-b119-54be432dce2e,8,,"[43.9, 39.3]",3857289,0,,,,,0.23723409,,Right Foot,,,,"[120.0, 57.7]",,High Pass,78.29285,,Out,,Hirving Rodrigo Lozano Bahena,5571.0,,,,,1,From Kick Off,Héctor Miguel Herrera López,5575.0,Center Defensive Midfield,2,Mexico,794,['6c6dce53-fa5f-4e5a-a82c-c35c0aebc1f0'],3,,,,,,,,,,,,,,,,Mexico,794,00:00:03.438,Pass,
,,,,,,,,,,,,,,,,,1.246368,,,,,,,,,,,,,52d32916-e073-4ef4-9a0b-b70e1a62f856,10,,"[6.0, 36.0]",3857289,0,,True,,,1.4382448,,Right Foot,,,,"[7.8, 49.5]",,Ground Pass,13.619472,,,,Nicolás Hernán Otamendi,3090.0,,,,Goal Kick,1,From Goal Kick,Damián Emiliano Martínez,6909.0,Goalkeeper,3,Argentina,779,['9363769a-92bc-4c92-9fa6-a43dcc2dd1a8'],15,,,,,,,,,,,,,,,,Argentina,779,00:00:15.756,Pass,
,,,,,,,,,,,,,,,,,1.551308,,,,,,,,,,,,,15d36e28-237c-4754-b71d-e9b277d44f76,12,,"[8.9, 51.1]",3857289,0,,,,,1.0382282,,Right Foot,,,,"[21.1, 71.8]",,Ground Pass,24.027693,,,,Gonzalo Ariel Montiel,28263.0,,,,,1,From Goal Kick,Nicolás Hernán Otamendi,3090.0,Right Center Back,3,Argentina,779,['66cd80e1-965b-4353-b21b-ab21a0ae926b'],17,,,,,,,,,,,,,,,,Argentina,779,00:00:17.890,Pass,
