50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ab3417c6-9e22-4365-b9c7-e4b7abcc0fae,1,,,3857290,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 16026, 'name': 'Djibril Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,77f5a16e-9873-4fc2-93d1-cb5265615742,2,,,3857290,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8064, 'name': 'André Onana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 16346, 'name': 'Ngoran Suiru Fai Collins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8591, 'name': 'Samuel Yves Oum Gwet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 30016, 'name': 'Martin Hongla Yma II'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 4935, 'name': 'Bryan Mbeumo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Cameroon,2722,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a64d52e5-8f9d-4286-bf4b-64c2e2965c21,3,,,3857290,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['cde6079b-a52d-42d9-8d2c-102ff7e0bb97'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cde6079b-a52d-42d9-8d2c-102ff7e0bb97,4,,,3857290,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['a64d52e5-8f9d-4286-bf4b-64c2e2965c21'],0,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b329b40c-a38a-49b4-a4f8-91aa03d910f5,1917,,,3857290,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,79,Cameroon,2722,['78b59bb5-b882-44b6-8b77-deca587e5d48'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,78b59bb5-b882-44b6-8b77-deca587e5d48,1918,,,3857290,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,79,Cameroon,2722,['b329b40c-a38a-49b4-a4f8-91aa03d910f5'],0,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.703521,,,,,,,,,,,,bcac28a4-f10e-4952-849b-36887e980215,5,,"[60.0, 40.0]",3857290,0,,,,,3.1172073,,Left Foot,,,"[35.4, 40.6]",,Ground Pass,,24.607315,,,,Manuel Obafemi Akanji,5549.0,,,,,,Kick Off,1,From Kick Off,Xherdan Shaqiri,3533.0,Right Wing,2,Switzerland,773,['165df569-1155-4898-ba3e-a240321b539c'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.175,Pass,
,,,,,,,,,,,,,,,2.88479,,,,,,,,,,,,e64ad623-583d-461e-bcf7-bf2f3acb5dc6,8,,"[37.7, 41.0]",3857290,0,,,,,-0.68644875,,Right Foot,,,"[83.1, 3.8]",,High Pass,,58.694122,,Incomplete,,Ruben Vargas,30401.0,,,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Right Center Back,2,Switzerland,773,"['008eb0c3-bcdd-42b4-8672-1b164c8f0801', '2b66a347-5344-46e7-a121-3fa0feaa3ef0']",3,,,,,,,,,,,,,,,,,Switzerland,773,00:00:03.296,Pass,
,,,,,,,,,,,,,,,1.016501,,,,,,,,,,,,2b66a347-5344-46e7-a121-3fa0feaa3ef0,11,,"[37.0, 76.3]",3857290,0,,,,True,0.026542438,,,,,"[48.3, 76.6]",,High Pass,,11.303982,,,,Bryan Mbeumo,4935.0,,,,,,Recovery,1,From Kick Off,Ngoran Suiru Fai Collins,16346.0,Right Back,2,Switzerland,773,"['446b983d-7ffb-401e-994a-721740daff3d', 'be68e818-e980-4caa-9189-f4d443106327', 'e64ad623-583d-461e-bcf7-bf2f3acb5dc6']",6,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:06.181,Pass,True
,,,,,,,,,,,,,,,1.453728,,,,,,,,,,,,c34bdff2-47bb-481d-af3c-642b5a745ecc,14,,"[48.3, 76.6]",3857290,0,,,,True,-0.6857295,,,,,"[51.6, 73.9]",,High Pass,,4.263801,,Incomplete,,,,,,,,,,1,From Kick Off,Bryan Mbeumo,4935.0,Right Wing,2,Switzerland,773,"['130eb2fc-79d2-4bc2-873d-6f3f15f290de', '2e035302-91b0-496a-9507-6ccc529b7697']",7,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:07.198,Pass,True
