50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2194e9dd-089b-44f8-a5c7-60436a00f0f9,1,,,,3857292,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6328, 'name': 'Kendall Jamaal Waston Manley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 27163, 'name': 'Juan Pablo Vargas Campos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 130185, 'name': 'Keysher Fuller Spence'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 4}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5839, 'name': 'Yeltsin Ignacio Tejeda Valverde'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5581, 'name': 'Joel Nathaniel Campbell Samuels'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 108340, 'name': 'Brandon Aguilera Zamora'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5595, 'name': 'Johan Alberto Venegas Ulloa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Costa Rica,795,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1247d52e-3c53-4106-bcf9-36c14a0c352d,2,,,,3857292,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 12034, 'name': 'David Raum'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 39565, 'name': 'Jamal Musiala'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 8400, 'name': 'Serge Gnabry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5ba53280-4efe-4482-b727-1328f6654d2a,3,,,,3857292,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,['b6022b2a-b0ae-4fe1-8831-7a200769b9a9'],0,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b6022b2a-b0ae-4fe1-8831-7a200769b9a9,4,,,,3857292,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Costa Rica,795,['5ba53280-4efe-4482-b727-1328f6654d2a'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d8fa212b-3ee4-4cfd-8ab1-6ec91f0e1d80,1941,,,,3857292,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Costa Rica,795,['a1d50714-af31-4ec3-9cd0-3e7f675a6c7e'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a1d50714-af31-4ec3-9cd0-3e7f675a6c7e,1942,,,,3857292,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Costa Rica,795,['d8fa212b-3ee4-4cfd-8ab1-6ec91f0e1d80'],0,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.388327,,,,,,,,,,,,89222d44-fc73-41a2-942f-dc837959873f,5,,,"[61.0, 40.1]",3857292,0,,,,-2.9571116,,Right Foot,,,,"[40.1, 36.2]",,Ground Pass,,21.260761,,,,Antonio Rüdiger,3167.0,,,,,Kick Off,1,From Kick Off,Thomas Müller,5562.0,Center Forward,2,Germany,770,['3119a018-492d-4929-b866-5812c63afe7f'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.242,Pass,
,,,,,,,,,,,,,,,,1.427964,,,,,,,,,,,,ba04d768-1ca4-4271-a1c3-4a8466e4081f,8,,,"[39.8, 36.4]",3857292,0,,,,1.534613,,Right Foot,,,,"[40.6, 58.5]",,Ground Pass,,22.114475,,,,Joshua Kimmich,5579.0,,,,,,1,From Kick Off,Antonio Rüdiger,3167.0,Left Center Back,2,Germany,770,['57c5e916-d8a1-4dbc-8080-0ac9b320bf32'],2,,,,,,,,,,,,,,,,,,Germany,770,00:00:02.632,Pass,
,,,,,,,,,,,,,,,,3.252049,,,,,,,,,,,,6e4dd6da-2414-4c83-96ac-627641a5604e,11,,,"[47.2, 62.2]",3857292,0,,,,-0.3748407,,Right Foot,,,,"[89.9, 45.4]",,High Pass,,45.886055,,Incomplete,,Thomas Müller,5562.0,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Right Back,2,Germany,770,"['9cfa88ad-5dfd-4e8b-b55f-d275f7ad3e56', 'bafaa0f7-b9c0-484e-9788-29d6bec2a22e']",5,,,,,,,,,,,,,,,,,,Germany,770,00:00:05.723,Pass,
,,,,,,,,,,,,,,,,1.831552,,,,,,,,,,,,78eec960-00c3-4659-916e-a13b3762904b,15,,,"[36.8, 26.0]",3857292,0,,,,0.08893674,,Head,,,,"[52.5, 27.4]",,High Pass,,15.762297,,Unknown,,Johan Alberto Venegas Ulloa,5595.0,,,,,Recovery,1,From Kick Off,Brandon Aguilera Zamora,108340.0,Left Wing,2,Germany,770,['46d13f48-2c4f-4d92-8f15-d22bd48842ae'],11,,,,,,,,,,,,,,,,,,Costa Rica,795,00:00:11.081,Pass,
,,,,,,,,,,,,,,,,2.674819,,,,,,,,,,,,6e2472e9-a749-4163-a205-92efeeaf6d49,21,,,"[77.6, 52.7]",3857292,0,,,,-0.35052627,,Right Foot,,,,"[109.6, 41.0]",,Ground Pass,,34.071835,,Injury Clearance,,,,,,,,Recovery,1,Other,Jamal Musiala,39565.0,Center Attacking Midfield,4,Germany,770,,44,,,,,,,,,,,,,,,,,,Germany,770,00:00:44.727,Pass,
,,,,,,,,,,,,,,,,3.601603,,,,,,,,,,,,68c8fdb2-e197-4685-a807-3b1d19a3f204,24,,,"[14.7, 41.6]",3857292,1,,,,0.41152096,,Drop Kick,,,,"[61.9, 62.2]",,High Pass,,51.499516,,,,Celso Borges Mora,5582.0,,,,,,1,From Counter,Keylor Navas Gamboa,5597.0,Goalkeeper,5,Costa Rica,795,['f3d9bcd1-a5b4-4c43-a727-862ebe349dbe'],3,,,,,,,,,,,,,,,,,,Costa Rica,795,00:01:03.917,Pass,
,,,,,,,,,,,,,,,,1.768186,,,,,,,,,,,,aa1d1585-6ee6-4001-a9fe-75dcf6b56bb1,26,,,"[61.9, 62.2]",3857292,1,,,,0.43149495,,Head,,,,"[75.8, 68.6]",,Low Pass,,15.302614,,,,Joel Nathaniel Campbell Samuels,5581.0,,,,,,1,From Counter,Celso Borges Mora,5582.0,Right Defensive Midfield,5,Costa Rica,795,['33636f66-4119-46a9-9021-59a6bfa73808'],7,,,,,,,,,,,,,,,,,,Costa Rica,795,00:01:07.519,Pass,
,,,,,,,,,,,,,,,,2.173252,,,,,,,,,,,,dac7172d-5028-43b7-a396-0295eefab99e,35,,,"[39.8, 14.7]",3857292,1,,,,2.4812636,,Right Foot,,,,"[10.7, 37.3]",,Ground Pass,,36.84522,,,,Manuel Neuer,5570.0,,,,,,1,Regular Play,İlkay Gündoğan,10287.0,Left Defensive Midfield,6,Germany,770,['d9379314-39d8-402a-9950-bc10f865b209'],13,,,,,,,,,,,,,,,,,,Germany,770,00:01:13.946,Pass,
,,,,,,,,,,,,,,,,2.320681,,,,,,,,,,,,40e5992d-e2fe-4b5c-a241-61f185259f2a,38,,,"[10.7, 37.3]",3857292,1,,,,0.8530033,,Right Foot,,,,"[28.6, 57.8]",,Ground Pass,,27.215069,,,,Joshua Kimmich,5579.0,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,6,Germany,770,['b161aec1-c0e0-41bd-a89f-b03904313f02'],17,,,,,,,,,,,,,,,,,,Germany,770,00:01:17.267,Pass,
,,,,,,,,,,,,,,,,1.107929,,,,,,,,,,,,dccd097a-12dd-4631-8a96-595f675fcb61,41,,,"[53.8, 65.4]",3857292,1,,,,-2.5097382,,Right Foot,,,,"[44.1, 58.3]",,Ground Pass,,12.020815,,,,Niklas Süle,6322.0,,,,,,1,Regular Play,Joshua Kimmich,5579.0,Right Back,6,Germany,770,['45760ae5-57a2-4dd2-ac50-2856b8cbbbb7'],24,,,,,,,,,,,,,,,,,,Germany,770,00:01:24.273,Pass,
,,,,,,,,,,,,,,,,1.179093,,,,,,,,,,,,3e05edc6-ccb4-46f3-af1d-229ba4a3f72f,44,,,"[44.1, 58.3]",3857292,1,,,,-1.52439,,Right Foot,,,,"[45.6, 26.0]",,Ground Pass,,32.334812,,,,Antonio Rüdiger,3167.0,,,,,,1,Regular Play,Niklas Süle,6322.0,Right Center Back,6,Germany,770,['1ed00dce-6a27-49eb-9b61-8b9749b2bb0c'],26,,,,,,,,,,,,,,,,,,Germany,770,00:01:26.332,Pass,
,,,,,,,,,,,,,,,,1.276909,,,,,,,,,,,,c85dc197-b4c3-4c1d-ba8c-0b891fa1e171,47,,,"[49.3, 26.5]",3857292,1,,,,0.6878071,,Left Foot,,,,"[65.0, 39.4]",,Ground Pass,,20.31994,,,,İlkay Gündoğan,10287.0,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Left Center Back,6,Germany,770,['e1179488-b35c-43a6-9751-e7bc2e58ce79'],29,,,,,,,,,,,,,,,,,,Germany,770,00:01:29.121,Pass,
,,,,,,,,,,,,,,,,1.548807,,,,,,,,,,,,aac7e61e-4e00-4432-afb2-67bb87277a7c,51,,,"[68.5, 42.5]",3857292,1,,,,1.3572731,,Left Foot,,,,"[75.2, 73.4]",,Ground Pass,,31.618032,,,,Joshua Kimmich,5579.0,,,,,,1,Regular Play,İlkay Gündoğan,10287.0,Left Defensive Midfield,6,Germany,770,['e57ca64b-2e02-40f3-ab4c-d0b6bd103967'],34,,,,,,,,,,,,,,,,,,Germany,770,00:01:34.095,Pass,
,,,,,,,,,,,,,,,,1.541594,,,,,,,,,,,,a1e1720d-2b23-4c32-bc60-e52cd6a39d6d,54,,,"[81.5, 75.9]",3857292,1,,,,-2.6399887,,Right Foot,,,,"[66.0, 67.4]",,Ground Pass,,17.67767,,,,Niklas Süle,6322.0,,,,,,1,Regular Play,Joshua Kimmich,5579.0,Right Back,6,Germany,770,['ee45fc4d-cf3e-45bf-b7f5-c14f084f12b1'],38,,,,,,,,,,,,,,,,,,Germany,770,00:01:38.056,Pass,
,,,,,,,,,,,,,,,,1.280662,,,,,,,,,,,,6c8be06a-528c-4d6c-92db-df81588b5289,57,,,"[66.4, 67.5]",3857292,1,,,,-1.6012052,,Right Foot,,,,"[65.6, 41.2]",,Ground Pass,,26.312164,,,,Antonio Rüdiger,3167.0,,,,,,1,Regular Play,Niklas Süle,6322.0,Right Center Back,6,Germany,770,['f5c58f9c-4584-4415-8129-7e97627918c2'],40,,,,,,,,,,,,,,,,,,Germany,770,00:01:40.572,Pass,
,,,,,,,,,,,,,,,,1.3154,,,,,,,,,,,,74304f90-8195-4b6c-bf10-f39eec1bf2b1,60,,,"[69.2, 34.7]",3857292,1,,,,-0.83755964,,Right Foot,,,,"[81.0, 21.6]",,Ground Pass,,17.63094,,,,David Raum,12034.0,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Left Center Back,6,Germany,770,['abc45798-ed76-4504-8c60-fdeb3f43317a'],43,,,,,,,,,,,,,,,,,,Germany,770,00:01:43.172,Pass,
,,,,,,,,,,,,,,,,0.916401,,,,,,,,,,,,0b265303-0059-465c-86e3-587eb40f3722,63,,,"[81.5, 21.5]",3857292,1,,,,0.33379817,a62055b5-20d9-4956-ab7d-57ad2cd35bfb,Left Foot,,,,"[93.9, 25.8]",,Ground Pass,,13.124405,,,,Jamal Musiala,39565.0,True,,,,,1,Regular Play,David Raum,12034.0,Left Back,6,Germany,770,['f60e5b46-48b9-4ffc-b6f3-069155effc70'],45,,,,,,,,,,,,,,,,,,Germany,770,00:01:45.451,Pass,
,,,,,,,,,,,,,,,,2.771418,,,,,,,,,,,,dc211e74-7d9b-4184-84c8-ccfbfe086014,68,,,"[120.0, 80.0]",3857292,2,,,,-1.8850751,,Right Foot,,,,"[104.3, 31.7]",,High Pass,,50.787598,,Incomplete,True,,,,True,Outswinging,,Corner,1,From Corner,Joshua Kimmich,5579.0,Right Back,7,Germany,770,['cb87d42e-78cf-429d-b424-b635bdd5975c'],44,,,,,,,,,,,,,,,,,,Germany,770,00:02:44.077,Pass,
,,,,,,,,,,,,,,,,1.9338,,,,,,,,,,,,209526a4-dcdb-47a5-ab33-b91b2f4f4071,71,,,"[15.4, 45.5]",3857292,2,,,,0.012396059,,Right Foot,,,,"[39.6, 45.8]",,High Pass,,24.201859,,Incomplete,,Johan Alberto Venegas Ulloa,5595.0,,,,,,1,From Corner,Keysher Fuller Spence,130185.0,Right Wing Back,7,Germany,770,"['2b3303cc-c48a-4aa4-8d15-ed87548b11cb', '5ef9eabc-87a8-438a-bd27-20fbff58de06']",47,,,,,,,,,,,,,,,,,,Costa Rica,795,00:02:47.454,Pass,
