50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5c306302-6e2d-45d9-a583-51d9169d4c43,1,,,,3857294,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 8326, 'name': 'Andries Noppert'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 21809, 'name': 'Jurriën David Norman Timber'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 4318, 'name': 'Davy Klaassen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Netherlands,941,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9c44f85c-43ed-4b5a-a65b-ed84912ab429,2,,,,3857294,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 124510, 'name': 'Meshaal Aissa Barsham'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 124506, 'name': 'Pedro Miguel Correia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 124493, 'name': 'Boualem Khoukhi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 124494, 'name': 'Abdelkarim Hassan Al Haj Fadlalla'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 124899, 'name': 'Ismaeel Mohammad Mohammad'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 124900, 'name': 'Homam Alamin Ahmed'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 124500, 'name': 'Assim Omer Al Haj Madibo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 124488, 'name': 'Hassan Khalid Al Heidos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 124514, 'name': 'Abdulaziz Hatem Mohammed Abdullah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 124495, 'name': 'Almoez Ali Zainalabiddin Abdulla'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 40784, 'name': 'Akram Hassan Afif'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Qatar,3566,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b91dcf4d-6c2f-41bc-9f30-00486d96d1a1,3,,,,3857294,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['774ca6a5-45c7-4b0a-bf21-3c9fe5a8ec1b'],0,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,774ca6a5-45c7-4b0a-bf21-3c9fe5a8ec1b,4,,,,3857294,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['b91dcf4d-6c2f-41bc-9f30-00486d96d1a1'],0,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3c428b7a-a738-47f0-a195-d65963657ba6,2087,,,,3857294,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,142,Netherlands,941,['218cb326-2fc0-4404-8287-dc1c822721d4'],0,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,218cb326-2fc0-4404-8287-dc1c822721d4,2088,,,,3857294,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,142,Netherlands,941,['3c428b7a-a738-47f0-a195-d65963657ba6'],0,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.853278,,,,,,,,,,,dd7183e3-e7ab-47d4-9035-5e827f351c88,5,,,"[60.0, 40.0]",3857294,0,,,,-2.580274,,Right Foot,,,,"[46.8, 31.7]",,Ground Pass,,15.592627,,,,,Frenkie de Jong,8118.0,,,,,Kick Off,1,From Kick Off,Memphis Depay,2988.0,Left Center Forward,2,Netherlands,941,['3050bbb6-55cf-40ff-94ce-51e70aeee122'],0,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.812,Pass,
,,,,,,,,,,,,,,,,1.128772,,,,,,,,,,,ac155851-e1ff-421f-8e93-f197b8020239,9,,,"[47.0, 31.4]",3857294,0,,,,2.2701132,,Right Foot,,,,"[38.0, 42.1]",,Ground Pass,,13.981773,,,,,Marten de Roon,6994.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,"['4b93b689-cbb6-40ef-a421-a5f4f23713bd', '83696039-909c-43af-9fdd-7a94a0a29aab']",2,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:02.747,Pass,True
,,,,,,,,,,,,,,,,1.706924,,,,,,,,,,,18fe8b67-7426-4e49-a234-a1ee69a38448,12,,,"[38.0, 42.1]",3857294,0,,,,-1.6192166,,Right Foot,,,,"[36.9, 19.4]",,Ground Pass,,22.726637,,,,,Nathan Aké,3306.0,,,,,,1,From Kick Off,Marten de Roon,6994.0,Right Defensive Midfield,2,Netherlands,941,['bf5cef79-af4d-4a25-9764-e6d6491d4e18'],4,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:04.934,Pass,
,,,,,,,,,,,,,,,,0.996083,,,,,,,,,,,8ea4c923-826f-4304-8760-870d40a2a71a,15,,,"[36.9, 18.1]",3857294,0,,,,-1.012197,,Left Foot,,,,"[45.9, 3.7]",,Ground Pass,,16.981167,,,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Nathan Aké,3306.0,Left Center Back,2,Netherlands,941,['4813700c-1b28-404a-b640-ab7578836605'],7,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:07.509,Pass,
