50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,021c2cc6-714c-4ee4-a080-61d8aea258f3,1,,,,3857295,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25719, 'name': 'Shūichi Gonda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 37209, 'name': 'Miki Yamane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29595, 'name': 'Ko Itakura'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 23721, 'name': 'Wataru Endo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 37221, 'name': 'Hidemasa Morita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 8361, 'name': 'Ritsu Doan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 37122, 'name': 'Yuki Soma'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 38285, 'name': 'Ayase Ueda'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 9411, 'name': 'Daichi Kamada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Japan,778,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,83f24d76-4dcb-4723-a37f-72791adf7760,2,,,,3857295,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6328, 'name': 'Kendall Jamaal Waston Manley'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 5600, 'name': 'Francisco Javier Calvo Quesada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 130185, 'name': 'Keysher Fuller Spence'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 4}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5839, 'name': 'Yeltsin Ignacio Tejeda Valverde'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 132497, 'name': 'Gerson Torres Barrantes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 5581, 'name': 'Joel Nathaniel Campbell Samuels'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 132296, 'name': 'Anthony Daniel Contreras Enríquez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Costa Rica,795,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7475497f-cabf-49ff-a901-b37287376600,3,,,,3857295,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['6ee50f21-1d28-43ef-8fa3-fa22ef6f0ebb'],0,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ee50f21-1d28-43ef-8fa3-fa22ef6f0ebb,4,,,,3857295,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['7475497f-cabf-49ff-a901-b37287376600'],0,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ffd4a63b-4d82-4312-b762-08acc28104dd,2079,,,,3857295,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,79,Costa Rica,795,['53e5224e-f02b-4901-a560-b8aa40c5ebcf'],0,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,53e5224e-f02b-4901-a560-b8aa40c5ebcf,2080,,,,3857295,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,79,Costa Rica,795,['ffd4a63b-4d82-4312-b762-08acc28104dd'],0,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.960723,,,,,,,,,,,,6d3b3f79-b95e-4e78-a90f-c415fb5aa50f,5,,,"[61.0, 40.1]",3857295,0,,,,,-2.7669444,,Left Foot,,,,"[31.5, 28.5]",,Ground Pass,,31.698738,,,,Francisco Javier Calvo Quesada,5600.0,,,,,Kick Off,1,From Kick Off,Joel Nathaniel Campbell Samuels,5581.0,Left Wing,2,Costa Rica,795,['6febe5f2-87ba-4a52-a1e8-5e5190791eea'],0,,,,,,,,,,,,,,,,Costa Rica,795,00:00:00.225,Pass,
,,,,,,,,,,,,,,,,,,2.976983,,,,,,,,,,,,af9197b4-41cc-4f5d-8e6a-1bafdd6c0c2c,8,,,"[39.0, 29.4]",3857295,0,,,,,0.37905973,,Left Foot,,,,"[86.7, 48.4]",,High Pass,,51.344814,,Incomplete,,Anthony Daniel Contreras Enríquez,132296.0,,,,,,1,From Kick Off,Francisco Javier Calvo Quesada,5600.0,Left Center Back,2,Costa Rica,795,"['a25a28a7-de85-44d9-b4c0-e2ced16f55ab', 'e581a0f5-16a7-4152-b265-80aa7be893bd']",4,,,,,,,,,,,,,,,,Costa Rica,795,00:00:04.061,Pass,
,,,,,,,,,,,,,,,,,,1.464319,,,,,,,,,,,,a25a28a7-de85-44d9-b4c0-e2ced16f55ab,11,,,"[33.4, 31.7]",3857295,0,,,,True,0.043450896,,,,,,"[51.8, 32.5]",,High Pass,,18.417383,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Wataru Endo,23721.0,Right Defensive Midfield,2,Costa Rica,795,"['74775632-8210-4c7e-a427-e4678ed90c7a', '7992fa85-ad57-4f87-b830-bde7588c8bea', 'af9197b4-41cc-4f5d-8e6a-1bafdd6c0c2c']",7,,,,,,,,,,,,,,,,Japan,778,00:00:07.038,Pass,True
,,,,,,,,,,,,,,,,,,1.037461,,,,,,,,,,,,7992fa85-ad57-4f87-b830-bde7588c8bea,12,,,"[68.3, 47.6]",3857295,0,,,,,0.35798204,,Right Foot,,,,"[82.2, 52.8]",,High Pass,,14.840822,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Yeltsin Ignacio Tejeda Valverde,5839.0,Left Defensive Midfield,2,Costa Rica,795,"['87a5bd69-0118-43b0-832b-471c57c35f9d', 'a25a28a7-de85-44d9-b4c0-e2ced16f55ab']",8,,,,,,,,,,,,,,,,Costa Rica,795,00:00:08.502,Pass,
,,,,,,,,,,,,,,,,,,1.471684,,,,,,,,,,,,87a5bd69-0118-43b0-832b-471c57c35f9d,13,,,"[37.9, 27.3]",3857295,0,,,,,-0.48193824,,Head,,,,"[57.4, 17.1]",,High Pass,,22.00659,,,,Ayase Ueda,38285.0,,,,,Recovery,1,Regular Play,Hidemasa Morita,37221.0,Left Defensive Midfield,3,Japan,778,"['7992fa85-ad57-4f87-b830-bde7588c8bea', 'ac362506-d20e-41e5-a85c-a841ecdba4fb']",9,,,,,,,,,,,,,,,,Japan,778,00:00:09.540,Pass,
,,,,,,,,,,,,,,,,,,2.520079,,,,,,,,,,,,163a0ee3-cef6-4ce2-9174-42e53bcf435d,17,,,"[69.3, 4.3]",3857295,0,,,,,-0.08052724,,Right Foot,,,,"[97.8, 2.0]",,Ground Pass,,28.592657,,,,Yuki Soma,37122.0,,,,,,1,Regular Play,Ayase Ueda,38285.0,Right Center Forward,3,Japan,778,['304d5c88-7913-424b-aa13-b0d7a84c68be'],14,,,,,,,,,,,,,,,,Japan,778,00:00:14.606,Pass,
,,,,,,,,,,,,,,,,,,1.753436,,,,,,,,,,,,988c118c-5db3-4615-861d-35b69ea63fe4,24,,,"[117.8, 17.1]",3857295,0,,,,,1.8329998,,Left Foot,True,,,"[110.5, 44.3]",,High Pass,,28.162563,,Incomplete,,,,,,,,,1,Regular Play,Yuki Soma,37122.0,Left Midfield,3,Japan,778,['e10ec93f-79c2-49bf-a513-e7a8e1dc560c'],20,,,,,,,,,,,,,,,,Japan,778,00:00:20.906,Pass,
,,,,,,,,,,,,,,,,,,1.571406,,,,,,,,,,,,70ff9434-e60e-4f60-8edc-06d17189097f,28,,,"[103.3, 23.2]",3857295,0,,,,,-1.1391013,,Left Foot,,,,"[107.4, 14.3]",,Ground Pass,,9.79898,,,,Yuto Nagatomo,5690.0,,,,,,1,Regular Play,Hidemasa Morita,37221.0,Left Defensive Midfield,3,Japan,778,['52ebac80-767e-4e72-8c33-9b23b607e48e'],26,,,,,,,,,,,,,,,,Japan,778,00:00:26.200,Pass,
,,,,,,,,,,,,,,,,,,0.626935,,,,,,,,,,,,d3dee31c-6598-4389-a029-07d5169f7e26,36,,,"[116.1, 18.9]",3857295,0,,,,,1.9403275,,Left Foot,True,True,,"[110.6, 33.1]",,Ground Pass,,15.227935,,Incomplete,,Ritsu Doan,8361.0,,,,,,1,Regular Play,Yuto Nagatomo,5690.0,Left Back,3,Japan,778,"['93361e59-30a5-4225-bfbd-9cbb2d3967d9', 'c91ce7da-aa2e-46a1-8734-8a5131f990bb']",29,,,,,,,,,,,,,,,,Japan,778,00:00:29.338,Pass,
,,,,,,,,,,,,,,,,,,1.277244,,,,,,,,,,,,cc4e2ddf-abff-4c60-973d-56cbb301c3a1,39,,,"[120.0, 0.1]",3857295,1,,,,,1.7122864,,Right Foot,,,,"[115.1, 34.5]",,High Pass,True,34.74723,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Yuki Soma,37122.0,Left Midfield,4,Japan,778,['b9f5e1bb-3d82-45f4-ba96-d4f6f37fe4f4'],16,,,,,,,,,,,,,,,,Japan,778,00:01:16.983,Pass,
,,,,,,,,,,,,,,,,,,1.176705,,,,,,,,,,,,a2bf62e2-31be-44d4-9ecc-a99827e8e5f3,41,,,"[105.5, 0.1]",3857295,1,,,,,1.2809498,,,,,,"[108.9, 11.5]",,Low Pass,,11.896218,,,,Daichi Kamada,9411.0,,,,,Throw-in,1,From Throw In,Yuto Nagatomo,5690.0,Left Back,5,Japan,778,['13eac13c-104b-497b-9317-2ed0e2741975'],38,,,,,,,,,,,,,,,,Japan,778,00:01:38.520,Pass,
,,,,,,,,,,,,,,,,,,0.70316,,,,,,,,,,,,93dde79b-c9fd-438f-ac0c-a72ae0f27ff5,45,,,"[108.9, 11.5]",3857295,1,,,,,-1.1877192,,Right Foot,,,,"[111.6, 4.8]",,Low Pass,,7.2235727,,,,Yuki Soma,37122.0,,,,,,1,From Throw In,Daichi Kamada,9411.0,Left Center Forward,5,Japan,778,"['16d98cfa-5e8b-4498-8cb7-bc26b2113742', '8d06d0e4-2075-4cbd-9fb1-d42b79b55591']",39,,,,,,,,,,,,,,,,Japan,778,00:01:39.817,Pass,True
,,,,,,,,,,,,,,,,,,0.617276,,,,,,,,,,,,6bf39d5e-00bc-424f-90bf-5313d8221f77,49,,,"[111.6, 4.8]",3857295,1,,,,,2.9889433,,Right Foot,,,,"[105.1, 5.8]",,Low Pass,,6.576473,,,,Daichi Kamada,9411.0,,,,,,1,From Throw In,Yuki Soma,37122.0,Left Midfield,5,Japan,778,"['b80d64dc-1624-458a-8c0c-d791fc501540', 'e3d860c3-804d-496e-afe7-c6a19065a63e']",41,,,,,,,,,,,,,,,,Japan,778,00:01:41.183,Pass,True
,,,,,,,,,,,,,,,,,,1.847644,,,,,,,,,,,,c52ef6af-e73a-4d81-8192-f0fde94e385f,63,,,"[22.7, 78.0]",3857295,1,,,,,-1.957672,,Right Foot,,,,"[15.0, 59.1]",,Ground Pass,,20.40833,,,,Kendall Jamaal Waston Manley,6328.0,,,,,Free Kick,1,From Free Kick,Óscar Esau Duarte Gaitán,5598.0,Right Center Back,7,Costa Rica,795,['fa9701a2-7247-4236-b51c-749cac58cd49'],57,,,,,,,,,,,,,,,,Costa Rica,795,00:01:57.480,Pass,
,,,,,,,,,,,,,,,,,,2.724687,,,,,,,,,,,,5e878225-7da9-4ac8-b162-6a14a97a5c1d,66,,,"[15.0, 59.1]",3857295,2,,,,,-1.4033366,,Right Foot,,,,"[23.3, 10.0]",,Ground Pass,,49.796585,,,,Francisco Javier Calvo Quesada,5600.0,,True,,,,1,From Free Kick,Kendall Jamaal Waston Manley,6328.0,Center Back,7,Costa Rica,795,['9899614b-a771-4e6f-ab5e-a60e6c069a6b'],0,,,,,,,,,,,,,,,,Costa Rica,795,00:02:00.188,Pass,
,,,,,,,,,,,,,,,,,,0.96946,,,,,,,,,,,,0117c345-317e-452f-a4c1-c1ad8328c74f,69,,,"[32.3, 9.7]",3857295,2,,,,,0.23255694,,Left Foot,,,,"[39.9, 11.5]",,Ground Pass,,7.81025,,,,Joel Nathaniel Campbell Samuels,5581.0,,,,,,1,From Free Kick,Francisco Javier Calvo Quesada,5600.0,Left Center Back,7,Costa Rica,795,['6bbf3413-6315-4b8f-b896-d509b8e7c351'],4,,,,,,,,,,,,,,,,Costa Rica,795,00:02:04.566,Pass,
,,,,,,,,,,,,,,,,,,1.371782,,,,,,,,,,,,1317ff1b-1519-4d62-8b03-0e15f8ec5c69,71,,,"[39.9, 11.5]",3857295,2,,,,,-2.9697506,,Left Foot,,,,"[27.8, 9.4]",,Ground Pass,,12.280879,,,,Francisco Javier Calvo Quesada,5600.0,,,,,,1,From Free Kick,Joel Nathaniel Campbell Samuels,5581.0,Left Wing,7,Costa Rica,795,['07256247-3866-4c2c-a38f-8acc1c87fc91'],5,,,,,,,,,,,,,,,,Costa Rica,795,00:02:05.535,Pass,
,,,,,,,,,,,,,,,,,,0.846423,,,,,,,,,,,,abe679ff-32b5-4149-95ae-cfd2e9efa794,74,,,"[28.0, 9.4]",3857295,2,,,,,-0.48126695,,Left Foot,,,,"[37.0, 4.7]",,Ground Pass,,10.153324,,,,Joel Nathaniel Campbell Samuels,5581.0,,,,,,1,From Free Kick,Francisco Javier Calvo Quesada,5600.0,Left Center Back,7,Costa Rica,795,['65f8a7db-765f-4dba-8704-bb39c02602a2'],7,,,,,,,,,,,,,,,,Costa Rica,795,00:02:07.782,Pass,
,,,,,,,,,,,,,,,,,,1.540412,,,,,,,,,,,,6be6469f-8a24-4e14-ad66-7e5c4dfad53b,77,,,"[33.1, 5.7]",3857295,2,,,,,2.939271,,Left Foot,,,,"[17.5, 8.9]",,Ground Pass,,15.924824,,,,Francisco Javier Calvo Quesada,5600.0,,,,,,1,From Free Kick,Joel Nathaniel Campbell Samuels,5581.0,Left Wing,7,Costa Rica,795,['9f30a497-a075-404e-81a3-64b3c4f992fa'],10,,,,,,,,,,,,,,,,Costa Rica,795,00:02:10.397,Pass,
,,,,,,,,,,,,,,,,,,1.683719,,,,,,,,,,,,88ac79ea-e8d7-42d9-b10c-89d2ae94803f,81,,,"[18.4, 8.9]",3857295,2,,,,,2.2455373,,Left Foot,,,,"[2.4, 28.9]",,Ground Pass,,25.612497,,,,Keylor Navas Gamboa,5597.0,,,,,,1,From Free Kick,Francisco Javier Calvo Quesada,5600.0,Left Center Back,7,Costa Rica,795,"['0c16892a-2f3b-4592-967a-53feb473d212', '684ddff1-bf4f-45a6-aba5-529db235fa40']",12,,,,,,,,,,,,,,,,Costa Rica,795,00:02:12.401,Pass,True
