50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d47cbc4a-65af-4c62-ba77-96de85533de6,1,,,,3857299,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 37641, 'name': 'Seung-Gyu Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40672, 'name': 'Moon-Hwan Kim'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 43565, 'name': 'Min Jae Kim'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5604, 'name': 'Young-Gwon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 40538, 'name': 'Jin-Su Kim'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5618, 'name': 'Woo-Young Jung'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23763, 'name': 'In-Beom Hwang'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3135, 'name': 'Chang-Hoon Kwon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 22067, 'name': 'Woo-Yeong Jeong'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 40542, 'name': 'Gue-Sung Cho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",South Korea,791,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f7e2b0b7-e3e1-4944-b148-447c3f7e78d8,2,,,,3857299,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8108, 'name': 'Lawrence Ati-Zigi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 33602, 'name': 'Tariq Lamptey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3709, 'name': 'Daniel Amartey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 30519, 'name': 'Mohamed Salisu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 23615, 'name': 'Gideon Mensah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 31029, 'name': 'Salis Abdul Samed'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 17033, 'name': 'Mohammed Kudus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Ghana,4885,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,865aca51-7f53-4475-b1a3-a2a58b2c695f,3,,,,3857299,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,['a5580e0e-a1bc-4628-8767-5f031daa5ecc'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a5580e0e-a1bc-4628-8767-5f031daa5ecc,4,,,,3857299,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Korea,791,['865aca51-7f53-4475-b1a3-a2a58b2c695f'],0,,,,,,,,,,,,,,,,,Ghana,4885,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,038948a3-7259-4ee1-b645-fd3023430514,1731,,,,3857299,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Ghana,4885,['e74feac4-7fb0-4b3e-a46c-e240156f5fb9'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e74feac4-7fb0-4b3e-a46c-e240156f5fb9,1732,,,,3857299,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Ghana,4885,['038948a3-7259-4ee1-b645-fd3023430514'],0,,,,,,,,,,,,,,,,,Ghana,4885,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.278904,,,,,,,,,,,,d3581266-f9d1-4a9f-861a-caa9f2901326,5,,,"[60.0, 40.0]",3857299,0,,,,2.828389,,Right Foot,,,,"[42.4, 45.7]",,Ground Pass,,18.5,,,Woo-Young Jung,5618.0,,,,,Kick Off,1,From Kick Off,Woo-Yeong Jeong,22067.0,Center Attacking Midfield,2,South Korea,791,['4a8f4c03-fa49-4133-8d83-a431492fee11'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.298,Pass,
,,,,,,,,,,,,,,,,,,1.842431,,,,,,,,,,,,ab9d89cf-30e7-4dcd-a134-10434c6a8b5c,8,,,"[41.6, 46.5]",3857299,0,,,,1.2404066,,Right Foot,,,,"[51.1, 74.2]",,Ground Pass,,29.283783,,,Moon-Hwan Kim,40672.0,,,,,,1,From Kick Off,Woo-Young Jung,5618.0,Right Defensive Midfield,2,South Korea,791,['be3c88fd-37ab-4160-b652-869717a38763'],2,,,,,,,,,,,,,,,,,South Korea,791,00:00:02.620,Pass,
,,,,,,,,,,,,,,,,,,0.983598,,,,,,,,,,,,738c8d72-c745-4aad-ab9c-d7df4cf9ebb8,11,,,"[51.1, 74.2]",3857299,0,,,,-1.5955846,,Right Foot,,,,"[50.8, 62.1]",,Ground Pass,,12.103719,,,Woo-Young Jung,5618.0,,,,,,1,From Kick Off,Moon-Hwan Kim,40672.0,Right Back,2,South Korea,791,['1f33c354-f59b-4318-92d5-6ff3fdac8a07'],5,,,,,,,,,,,,,,,,,South Korea,791,00:00:05.234,Pass,
,,,,,,,,,,,,,,,,,,1.872982,,,,,,,,,,,,aecec606-5d44-4c6e-91de-74d090cc0596,15,,,"[52.7, 57.1]",3857299,0,,,,-1.9493694,,Right Foot,,,,"[38.5, 21.4]",,Ground Pass,,38.420437,,,Young-Gwon Kim,5604.0,,,,,,1,From Kick Off,Woo-Young Jung,5618.0,Right Defensive Midfield,2,South Korea,791,"['4f600a8e-d679-4805-93f2-dc3af558922f', 'd53bfad3-759f-43b4-b7d0-0e8265a1156e']",7,,,,,,,,,,,,,,,,,South Korea,791,00:00:07.847,Pass,True
