50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0656a6dc-294d-4065-86b2-d3fa0bb4c21e,1,,,,3857301,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Qatar,3566,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 124510, 'name': 'Meshaal Aissa Barsham'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 124506, 'name': 'Pedro Miguel Correia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 124493, 'name': 'Boualem Khoukhi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 124494, 'name': 'Abdelkarim Hassan Al Haj Fadlalla'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 124899, 'name': 'Ismaeel Mohammad Mohammad'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 124900, 'name': 'Homam Alamin Ahmed'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 124500, 'name': 'Assim Omer Al Haj Madibo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 124492, 'name': 'Karim Boudiaf'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 124488, 'name': 'Hassan Khalid Al Heidos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 124495, 'name': 'Almoez Ali Zainalabiddin Abdulla'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 40784, 'name': 'Akram Hassan Afif'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Qatar,3566,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41050942-7abe-4692-b364-cf3b74fcb3b1,2,,,,3857301,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Qatar,3566,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7379, 'name': 'Edouard Mendy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8553, 'name': 'Abdou Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 32915, 'name': 'Ismail Jakobs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 20611, 'name': 'Boulaye Dia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 20758, 'name': 'Krépin Diatta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 13314, 'name': 'Famara Diedhiou'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a049a816-1b33-4b9d-bd6f-44bafef52bd1,3,,,,3857301,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Qatar,3566,['84029bc7-56fe-4be5-85af-8c5b5a739500'],0,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84029bc7-56fe-4be5-85af-8c5b5a739500,4,,,,3857301,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Qatar,3566,['a049a816-1b33-4b9d-bd6f-44bafef52bd1'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,70f8303a-87e1-4cbb-b04e-5ea7361f209b,1805,,,,3857301,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Senegal,787,['643d2a77-6384-4a5f-9df5-68bfe03e2933'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,643d2a77-6384-4a5f-9df5-68bfe03e2933,1806,,,,3857301,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Senegal,787,['70f8303a-87e1-4cbb-b04e-5ea7361f209b'],0,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.418448,,,,,,,,,,,,,c7440d75-9d47-4502-a09f-1098b9d31b8f,5,,,"[61.0, 40.1]",3857301,0,,,,2.8359265,,Left Foot,,"[38.5, 47.2]",,Ground Pass,,23.593643,,,,Boualem Khoukhi,124493.0,,,,,,Kick Off,1,From Kick Off,Akram Hassan Afif,40784.0,Left Center Forward,2,Qatar,3566,['bef22991-1a06-4a56-80ae-09df9f2d0bd6'],0,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:00.147,Pass,
,,,,,,,,,,,,,,,,,,2.31446,,,,,,,,,,,,,bcf71d59-7175-4440-806b-8d08069b05f0,8,,,"[39.0, 47.2]",3857301,0,,,,-0.655106,,Right Foot,,"[88.2, 9.4]",,High Pass,,62.044178,,,Incomplete,Homam Alamin Ahmed,124900.0,,,,,,,1,From Kick Off,Boualem Khoukhi,124493.0,Center Back,2,Qatar,3566,"['55d043d5-fd74-4181-9934-085bf2ceb7f2', '6379a0ba-87cf-43e2-af22-d60b79a4b272']",2,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:02.757,Pass,
,,,,,,,,,,,,,,,,,,3.12757,,,,,,,,,,,,,6379a0ba-87cf-43e2-af22-d60b79a4b272,10,,,"[31.9, 70.7]",3857301,0,,,,0.09680929,,Left Foot,,"[70.0, 74.4]",,High Pass,,38.279236,,,Incomplete,Ismaïla Sarr,2941.0,,,,,,Recovery,1,From Kick Off,Youssouf Sabaly,3404.0,Right Back,2,Qatar,3566,"['54a243b7-c725-41d6-9c60-be99c5fbdcdb', '9aceb174-16a0-47dc-a33b-e1a774256f81', 'bcf71d59-7175-4440-806b-8d08069b05f0']",5,,,,,,,,,,,,,,,,,,Senegal,787,00:00:05.072,Pass,
,,,,,,,,,,,,,,,,,,1.847442,,,,,,,,,,,,,9aceb174-16a0-47dc-a33b-e1a774256f81,12,,,"[50.1, 5.7]",3857301,0,,,,0.044589847,,Left Foot,,"[88.2, 7.4]",,High Pass,,38.13791,,,Incomplete,Akram Hassan Afif,40784.0,,,,,,Recovery,1,From Kick Off,Abdelkarim Hassan Al Haj Fadlalla,124494.0,Left Center Back,2,Qatar,3566,"['11f399f5-86a1-402d-b616-c16970a5d5a7', '536cffa3-2d04-452a-a2eb-6b8cfe44c7fc', '6379a0ba-87cf-43e2-af22-d60b79a4b272']",8,,,,,,,,,,,,,,,,,,Qatar,3566,00:00:08.199,Pass,
