50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b1def17d-5b73-4a4b-bbf0-22520491bea0,1,,,3869118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4354, 'name': 'Philip Foden'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b0113c72-5ce1-4ca1-97d8-ed47e4d73688,2,,,3869118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7379, 'name': 'Edouard Mendy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8553, 'name': 'Abdou Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 32915, 'name': 'Ismail Jakobs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 31751, 'name': 'Pathé Ismaël Ciss'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 20758, 'name': 'Krépin Diatta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 80484, 'name': 'Iliman Ndiaye'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 20611, 'name': 'Boulaye Dia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1c3e5c65-8810-42a8-8a6d-7c27becc1aaa,3,,,3869118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['1f7a0603-699b-4fe7-9643-3b49b652d63c'],0,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1f7a0603-699b-4fe7-9643-3b49b652d63c,4,,,3869118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['1c3e5c65-8810-42a8-8a6d-7c27becc1aaa'],0,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bbe88866-a2ca-4335-a791-1706dce6ca6a,1743,,,3869118,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,England,768,['3052c4da-99e8-4f32-bc69-fbbb35c8faf8'],0,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3052c4da-99e8-4f32-bc69-fbbb35c8faf8,1744,,,3869118,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,England,768,['bbe88866-a2ca-4335-a791-1706dce6ca6a'],0,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.350963,,,,,,,,,,,9ced36d7-29fd-4998-99a4-59d56e9f5e1b,5,,"[61.0, 40.1]",3869118,0,,,,,3.070285,,Right Foot,,,"[42.8, 41.4]",,Ground Pass,,18.24637,,,,,Kalidou Koulibaly,5675.0,,,,Kick Off,1,From Kick Off,Iliman Ndiaye,80484.0,Center Attacking Midfield,2,Senegal,787,['d706ef45-2d67-4618-aace-99bfd6be89f5'],0,,,,,,,,,,,,,,,Senegal,787,00:00:00.828,Pass,
,,,,,,,,,,,,,,,,,0.871274,,,,,,,,,,,1dc73d02-516c-41fc-884f-ccc8a61209d7,12,,"[41.8, 48.1]",3869118,0,,,,,-0.5496419,,Right Foot,,,"[52.9, 41.3]",,Ground Pass,,13.017296,,,,,Pathé Ismaël Ciss,31751.0,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Right Center Back,2,Senegal,787,['b56b2073-bfa6-43c2-805f-26a40bd3ac2e'],5,,,,,,,,,,,,,,,Senegal,787,00:00:05.092,Pass,
,,,,,,,,,,,,,,,,,1.234622,,,,,,,,,,,56d8121c-4b52-402f-baea-8f22aa6718a8,16,,"[53.4, 41.3]",3869118,0,,,,,-2.2431648,,Right Foot,,,"[45.2, 31.0]",,Ground Pass,,13.165485,,,,,Abdou Diallo,8553.0,,,,,1,From Kick Off,Pathé Ismaël Ciss,31751.0,Right Defensive Midfield,2,Senegal,787,"['3da3f249-6068-4f5b-9cc1-8fda2bbe117a', 'd8a5360b-9a7d-495b-8094-220f70c67056']",6,,,,,,,,,,,,,,,Senegal,787,00:00:06.467,Pass,True
,,,,,,,,,,,,,,,,,0.782355,,,,,,,,,,,270e19ac-6550-43bc-89db-0a7ada0bd66c,19,,"[45.2, 30.5]",3869118,0,,,,,-0.1954908,,Left Foot,,,"[55.3, 28.5]",,Ground Pass,,10.296116,,,,,Nampalys Mendy,4506.0,,,,,1,From Kick Off,Abdou Diallo,8553.0,Left Center Back,2,Senegal,787,['f3257a50-575f-410a-aeb7-375a4c160192'],8,,,,,,,,,,,,,,,Senegal,787,00:00:08.660,Pass,
