ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4625118-fe93-450a-9ac3-ee01ce399a22,1,,,3869152,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4445, 'name': 'Jules Koundé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 6704, 'name': 'Theo Bernard François Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ce4fd9a-d973-40d2-905a-f5304efc1de2,2,,,3869152,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 31955, 'name': 'Jakub Kamiński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 4664, 'name': 'Sebastian Szymański'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Poland,789,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,35faf830-4fc9-4df5-8429-a11795bdcd13,3,,,3869152,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['deb5b9c2-54fa-4b5f-85c9-d3ba6e555781'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,deb5b9c2-54fa-4b5f-85c9-d3ba6e555781,4,,,3869152,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['35faf830-4fc9-4df5-8429-a11795bdcd13'],0,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d54bef76-01a4-4d82-bd3b-61ab9f6acc4c,1801,,,3869152,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,France,771,['e36a5a8f-e60d-4314-810f-11cc5f84a3c8'],0,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e36a5a8f-e60d-4314-810f-11cc5f84a3c8,1802,,,3869152,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,France,771,['d54bef76-01a4-4d82-bd3b-61ab9f6acc4c'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.291168,,,,,,,,,,,,,df1e38a8-9d45-47c2-9f7a-7652b6cc42eb,5,,"[60.0, 40.0]",3869152,0,,,,,3.0538187,,Right Foot,,,"[47.5, 41.1]",,Ground Pass,,12.548306,,,,,Aurélien Djani Tchouaméni,10481.0,,,,,Kick Off,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,France,771,['5a891b0c-64db-43bb-bbdc-101fa0346bce'],0,,,,,,,,,,,,,,,,France,771,00:00:00.350,Pass,
,,,,,,,,,,,,,,2.249591,,,,,,,,,,,,,1ebe5720-4d89-438e-b628-517d1c446f4a,8,,"[48.7, 42.1]",3869152,0,,,,,1.8714418,,Left Foot,,,"[41.6, 65.0]",,Ground Pass,,23.975405,,,,,Jules Koundé,4445.0,,,,,,1,From Kick Off,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,2,France,771,['a2b6155d-105d-4f5e-b2dc-01e1f1f7dc8d'],1,,,,,,,,,,,,,,,,France,771,00:00:01.834,Pass,
,,,,,,,,,,,,,,2.448973,,,,,,,,,,,,,e9405a46-f410-4b5d-a727-c763d2a7f268,10,,"[41.8, 64.4]",3869152,0,,,,,-2.548295,,Right Foot,,,"[11.4, 43.9]",,Ground Pass,,36.6662,,,,,Hugo Lloris,3099.0,,,,,,1,From Kick Off,Jules Koundé,4445.0,Right Back,2,France,771,['e297b982-3331-4930-94b4-29521a728297'],4,,,,,,,,,,,,,,,,France,771,00:00:04.084,Pass,
,,,,,,,,,,,,,,4.028079,,,,,,,,,,,,,91b85e49-9ed3-423f-b57e-e4e00214573e,12,,"[11.4, 43.9]",3869152,0,,,,,0.14079452,,Left Foot,,,"[62.2, 51.1]",,High Pass,,51.3077,,,Incomplete,,,,,,,,,1,From Kick Off,Hugo Lloris,3099.0,Goalkeeper,2,France,771,['42e89997-057f-48d0-8878-b0385adf870e'],6,,,,,,,,,,,,,,,,France,771,00:00:06.533,Pass,
