50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c28d2905-359f-4bff-898e-0788e72b8841,1,,,,3869219,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 25719, 'name': 'Shūichi Gonda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 23730, 'name': 'Takehiro Tomiyasu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 37215, 'name': 'Shogo Taniguchi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 23527, 'name': 'Junya Ito'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 23721, 'name': 'Wataru Endo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 37221, 'name': 'Hidemasa Morita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 8361, 'name': 'Ritsu Doan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 9411, 'name': 'Daichi Kamada'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 30628, 'name': 'Daizen Maeda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Japan,778,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8062c817-3bf0-4655-abb2-6ab5d1f7bf02,2,,,,3869219,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 29163, 'name': 'Josip Juranović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 11127, 'name': 'Borna Barišić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 7693, 'name': 'Bruno Petković'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Croatia,785,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fa7ec4c4-e3c0-4a50-b368-79428b8ff77a,3,,,,3869219,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['d0889877-e264-4c98-b57c-d36e064e69da'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d0889877-e264-4c98-b57c-d36e064e69da,4,,,,3869219,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan,778,['fa7ec4c4-e3c0-4a50-b368-79428b8ff77a'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,59e20d1e-3ec3-4dbd-a96f-8bb6ac9db829,1882,,,,3869219,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,67,Croatia,785,['d2508f4d-aafb-45c4-a9da-3ec9415551f8'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d2508f4d-aafb-45c4-a9da-3ec9415551f8,1883,,,,3869219,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,67,Croatia,785,['59e20d1e-3ec3-4dbd-a96f-8bb6ac9db829'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,176bd5eb-4e56-4cfb-ab7a-36e5ba81474e,3429,,,,3869219,90,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,157,Japan,778,['a5cef4f2-3c89-4205-afd6-7547be1d45c9'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a5cef4f2-3c89-4205-afd6-7547be1d45c9,3430,,,,3869219,90,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,157,Japan,778,['176bd5eb-4e56-4cfb-ab7a-36e5ba81474e'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b961d234-5179-4f15-a5fc-723563015d4d,3957,,,,3869219,105,,,,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,,,,184,Croatia,785,['f06f2d23-3831-4f3b-ae62-21111269833b'],0,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f06f2d23-3831-4f3b-ae62-21111269833b,3958,,,,3869219,105,,,,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,,,,184,Croatia,785,['b961d234-5179-4f15-a5fc-723563015d4d'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
