50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8afee197-7e24-4529-8d0d-c1711b0c6178,1,,,,3869253,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 13620, 'name': 'Éder Gabriel Militão'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 22600, 'name': 'Lucas Tolentino Coelho de Lima'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 10595, 'name': 'Raphael Dias Belloli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18395, 'name': 'Vinícius José Paixão de Oliveira Júnior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3280, 'name': 'Richarlison de Andrade'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ce41f7e-5b44-4f66-8d32-a132e2de03f1,2,,,,3869253,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 37641, 'name': 'Seung-Gyu Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40672, 'name': 'Moon-Hwan Kim'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 43565, 'name': 'Min Jae Kim'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5604, 'name': 'Young-Gwon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 40538, 'name': 'Jin-Su Kim'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5618, 'name': 'Woo-Young Jung'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23763, 'name': 'In-Beom Hwang'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5623, 'name': 'Jae-Sung Lee'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5620, 'name': 'Hee-Chan Hwang'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 40542, 'name': 'Gue-Sung Cho'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",South Korea,791,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c35640cc-feed-49da-8277-7a790349cdfe,3,,,,3869253,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['d6b377f8-0e54-444c-83de-8a25b52cf967'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d6b377f8-0e54-444c-83de-8a25b52cf967,4,,,,3869253,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['c35640cc-feed-49da-8277-7a790349cdfe'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5ccf3ebd-e4b0-463d-ac45-585b9232003d,2041,,,,3869253,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,Brazil,781,['e0c31c5c-e0fe-415a-9783-12a1e8f9b3c6'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e0c31c5c-e0fe-415a-9783-12a1e8f9b3c6,2042,,,,3869253,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,Brazil,781,['5ccf3ebd-e4b0-463d-ac45-585b9232003d'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.113262,,,,,,,,,,,,,33271fa4-1f2d-4f8c-86b6-6476e4f4d313,5,,,"[61.0, 40.1]",3869253,0,,,,2.856392,,Right Foot,,,"[41.9, 45.7]",,Ground Pass,,19.90402,,,,Woo-Young Jung,5618.0,,,,,Kick Off,1,From Kick Off,Heung-Min Son,3083.0,Left Center Forward,2,South Korea,791,['09eb4c63-53a3-48ea-b7ad-9e784aabbe59'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.769,Pass,
,,,,,,,,,,,,,,,,,,1.794698,,,,,,,,,,,,,945cf1a7-89e8-4493-be1d-86381d27e086,8,,,"[41.3, 44.4]",3869253,0,,,,-1.559101,,Right Foot,,,"[41.5, 27.3]",,Ground Pass,,17.10117,,,,In-Beom Hwang,23763.0,,,,,,1,From Kick Off,Woo-Young Jung,5618.0,Right Defensive Midfield,2,South Korea,791,['ba48ba64-7930-4e4c-9d19-36379595968d'],2,,,,,,,,,,,,,,,,,South Korea,791,00:00:02.857,Pass,
,,,,,,,,,,,,,,,,,,1.749932,,,,,,,,,,,,,b62541fd-d75e-4782-8534-e0572adf8293,11,,,"[46.6, 24.8]",3869253,0,,,,2.786107,,Left Foot,,,"[29.9, 31.0]",,Ground Pass,,17.813759,,,,Young-Gwon Kim,5604.0,,,,,,1,From Kick Off,In-Beom Hwang,23763.0,Left Defensive Midfield,2,South Korea,791,['1a20e13c-e147-4b42-bae7-f96d8cb4e85f'],7,,,,,,,,,,,,,,,,,South Korea,791,00:00:07.948,Pass,
,,,,,,,,,,,,,,,,,,1.797158,,,,,,,,,,,,,aa84e57e-7027-4e11-a9bf-62d6a3659206,14,,,"[30.9, 33.1]",3869253,0,,,,1.6020361,,Left Foot,,,"[29.9, 65.1]",,Ground Pass,,32.01562,,,,Min Jae Kim,43565.0,,,,,,1,From Kick Off,Young-Gwon Kim,5604.0,Left Center Back,2,South Korea,791,['a073383e-b769-49fd-ae6c-9aa6ea12a8a1'],10,,,,,,,,,,,,,,,,,South Korea,791,00:00:10.777,Pass,
