ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,8db6c3c7-b529-4215-9da5-ea310ecc2700,1,,,3869254,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 32975, 'name': 'Diogo Meireles Costa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 16028, 'name': 'José Diogo Dalot Teixeira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 11184, 'name': 'Otávio Edmilson da Silva Monteiro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 12041, 'name': 'João Félix Sequeira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 38803, 'name': 'Gonçalo Matias Ramos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Portugal,780,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,24364c18-c4e1-4146-9ff2-d5f0a5e77b7c,2,,,3869254,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 3913, 'name': 'Edimilson Fernandes'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 16026, 'name': 'Djibril Sow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,3171403b-350c-418a-8e26-89e67b1a92ac,3,,,3869254,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['9ce85878-caf1-4a45-9935-3c1fffa7d5cf'],0,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,9ce85878-caf1-4a45-9935-3c1fffa7d5cf,4,,,3869254,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['3171403b-350c-418a-8e26-89e67b1a92ac'],0,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,eed5724a-b247-4ee5-8be8-675395b7087e,1753,,,3869254,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,79,Portugal,780,['f8a87b27-4edf-463a-8b26-ef2cdac2a997'],0,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,f8a87b27-4edf-463a-8b26-ef2cdac2a997,1754,,,3869254,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,79,Portugal,780,['eed5724a-b247-4ee5-8be8-675395b7087e'],0,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.984789,,,,,,,,,,,3e4fcd43-ec4f-4414-8df1-4a483fe2e2eb,5,,"[60.0, 40.0]",3869254,0,,,,2.5837128,,Right Foot,,,"[35.0, 55.6]",,Ground Pass,,29.467949,,,Manuel Obafemi Akanji,5549.0,,,,,Kick Off,1,From Kick Off,Breel-Donald Embolo,5545.0,Right Center Forward,2,Switzerland,773,['f1996ca1-4db5-4659-b84c-0b64bd66ac3b'],0,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.190,Pass,
,,,,,,,,,,,,,3.260954,,,,,,,,,,,a91737d0-f2f1-4212-bf1d-d8658b9b363c,8,,"[34.8, 56.6]",3869254,0,,,,-0.5720081,,Right Foot,,,"[80.0, 27.5]",,High Pass,,53.757324,Incomplete,,Ricardo Iván Rodríguez Araya,5544.0,,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Right Center Back,2,Switzerland,773,"['a48f8120-f3cd-4551-aa1a-d0934fa7ca83', 'f18d5e7e-2258-44a4-ab97-8bd9e9a85b56']",4,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:04.239,Pass,
,,,,,,,,,,,,,1.401776,,,,,,,,,,,0e007f2f-e88a-432d-81d7-c4d13741a227,13,,"[63.5, 21.4]",3869254,0,,,True,0.29908442,,,,,"[75.5, 25.1]",,High Pass,,12.557467,Incomplete,,,,,,,,Recovery,1,From Kick Off,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,2,Switzerland,773,"['784f25a5-a447-459c-94c3-4dd3720d3bf9', 'f8f39211-c59f-4fc7-b731-0f3e97b0419d']",9,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:09.430,Pass,True
,,,,,,,,,,,,,2.40255,,,,,,,,,,,784f25a5-a447-459c-94c3-4dd3720d3bf9,14,,"[44.6, 55.0]",3869254,0,,,,1.9202476,,Head,,,"[40.3, 66.8]",,Low Pass,,12.55906,,,José Diogo Dalot Teixeira,16028.0,,,,,Recovery,1,Regular Play,William Silva de Carvalho,5214.0,Center Defensive Midfield,3,Portugal,780,"['0e007f2f-e88a-432d-81d7-c4d13741a227', 'ad4729c9-69a6-4b8d-a2cf-014b017efffd']",10,,,,,,,,,,,,,,,,,,Portugal,780,00:00:10.831,Pass,
