50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7bce2bb7-7f9a-425b-baa6-b00a53ac7fd9,1,,,,3869519,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6909, 'name': 'Damián Emiliano Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,202afec8-41eb-46e4-95ac-96eda6e8100f,2,,,,3869519,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 29163, 'name': 'Josip Juranović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 12625, 'name': 'Borna Sosa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Croatia,785,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7232ed2d-529b-4640-8cfb-fe798ea9e0f5,3,,,,3869519,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['f60038fb-1fa5-42d8-9725-13261620e3bd'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f60038fb-1fa5-42d8-9725-13261620e3bd,4,,,,3869519,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['7232ed2d-529b-4640-8cfb-fe798ea9e0f5'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02eee2f4-9b99-4f27-9e5e-bd1634e376c7,1966,,,,3869519,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Argentina,779,['d7aa05af-f4ff-49d8-8545-924b47b3726c'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d7aa05af-f4ff-49d8-8545-924b47b3726c,1967,,,,3869519,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Argentina,779,['02eee2f4-9b99-4f27-9e5e-bd1634e376c7'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.599438,,,,,,,,,,,,,794e7ac9-2535-4503-83f4-92c612c0ed78,5,,,"[61.0, 40.1]",3869519,0,,,,,2.806856,,Right Foot,,,,"[38.0, 48.1]",,Ground Pass,,24.351591,,,,,Dejan Lovren,3471.0,,,,,Kick Off,1,From Kick Off,Andrej Kramarić,5460.0,Center Forward,2,Croatia,785,['76b16d20-856e-44f7-b36f-c949ab3b3f26'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.423,Pass,
,,,,,,,,,,,,,,,,,2.537753,,,,,,,,,,,,,ff25c008-8e46-419b-974f-9fbe472f9d28,8,,,"[36.9, 46.4]",3869519,0,,,,,-0.22801776,,Left Foot,,,,"[96.8, 32.5]",,High Pass,,61.491627,,,Incomplete,,,,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Croatia,785,['4eabbaa9-2d41-4b92-b2da-116e9e7fcfeb'],3,,,,,,,,,,,,,,,,,Croatia,785,00:00:03.885,Pass,
,,,,,,,,,,,,,,,,,1.606626,,,,,,,,,,,,,4eabbaa9-2d41-4b92-b2da-116e9e7fcfeb,9,,,"[23.3, 47.6]",3869519,0,,,,,-0.3011879,,Head,,,,"[46.8, 40.3]",,Low Pass,,24.607723,,,,,Alexis Mac Allister,27886.0,,,,,Recovery,1,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,2,Croatia,785,"['d3b32326-0d57-4589-b427-af4fb8b84cf1', 'ff25c008-8e46-419b-974f-9fbe472f9d28']",6,,,,,,,,,,,,,,,,,Argentina,779,00:00:06.423,Pass,
,,,,,,,,,,,,,,,,,1.479093,,,,,,,,,,,,,2e46af32-f06e-44e5-a624-a6e0172115ee,15,,,"[62.2, 41.0]",3869519,0,,,,,3.0316088,,Right Foot,,,,"[45.9, 42.8]",,Ground Pass,,16.399086,,,,,Dejan Lovren,3471.0,,,,,Recovery,1,From Kick Off,Marcelo Brozović,5469.0,Center Defensive Midfield,2,Croatia,785,"['9e2f5c92-0c29-431a-a470-f3065b55bef7', 'a4bb0e6c-1737-4f9e-b45f-ab2385f0f12d']",10,,,,,,,,,,,,,,,,,Croatia,785,00:00:10.043,Pass,True
