bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,cc70f393-5ff4-45a2-9b07-ea02889171f2,1,,,,3869684,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 37148, 'name': 'Josip Šutalo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 28914, 'name': 'Lovro Majer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 16527, 'name': 'Mislav Oršić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Croatia,785,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1fbc32f2-2e9f-4f45-95bd-0ec1676619ca,2,,,,3869684,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6785, 'name': 'Yassine Bounou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7459, 'name': 'Jawad El Yamiq'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 139016, 'name': 'Achraf Dari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 31295, 'name': 'Yahia Attiyat allah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 5234, 'name': 'Sofyan Amrabat'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 156734, 'name': 'Bilal El Khannous'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3634, 'name': 'Abdelhamid Sabiri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5237, 'name': 'Hakim Ziyech'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6301, 'name': 'Youssef En-Nesyri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Morocco,788,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,9c17c99c-fd20-4631-b46b-57ce346de3a4,3,,,,3869684,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['98c3d500-df1a-448c-be09-8149920ca0c4'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,98c3d500-df1a-448c-be09-8149920ca0c4,4,,,,3869684,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['9c17c99c-fd20-4631-b46b-57ce346de3a4'],0,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,79ae5781-512c-4d49-86c7-1e45575e6f0a,1734,,,,3869684,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Morocco,788,['07465cb7-4259-40ec-8be3-b439cc7eee8c'],0,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,07465cb7-4259-40ec-8be3-b439cc7eee8c,1735,,,,3869684,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Morocco,788,['79ae5781-512c-4d49-86c7-1e45575e6f0a'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.382156,,,,,,,,,,846376f6-944d-45d7-b860-4b6b2efd193c,5,,,"[60.0, 40.0]",3869684,0,,,,-2.923942,,Right Foot,,,"[39.2, 35.4]",,Ground Pass,,21.302582,,,,Joško Gvardiol,33018.0,,,,,Kick Off,1,From Kick Off,Mateo Kovačić,5456.0,Left Defensive Midfield,2,Croatia,785,['0f272617-8bd0-4a9d-8bc6-75adaf26e028'],2,,,,,,,,,,,,,,,,,Croatia,785,00:00:02.062,Pass,
,,,,,,,,,,,,,,,,,2.355025,,,,,,,,,,3ffb4ba7-caa5-49e2-afcb-77403365a161,8,,,"[42.8, 33.8]",3869684,0,,,,0.5219149,,Left Foot,,,"[89.4, 60.6]",,High Pass,,53.75686,,Incomplete,,Marko Livaja,22041.0,,,,,,1,From Kick Off,Joško Gvardiol,33018.0,Left Center Back,2,Croatia,785,"['54e4db00-7668-4753-981f-d6511302ece8', 'cd994689-6298-4207-9e5d-86fced86dd5b']",4,,,,,,,,,,,,,,,,,Croatia,785,00:00:04.922,Pass,
,,,,,,,,,,,,,,,,,1.548062,,,,,,,,,,42c206ff-5e76-485a-a285-bcfd8706f4f3,12,,,"[69.4, 80.0]",3869684,0,,,,-2.7256227,,,,,"[48.8, 70.9]",,Low Pass,,22.520435,,,,Josip Šutalo,37148.0,,,,,Throw-in,1,From Throw In,Josip Stanišić,49337.0,Right Back,3,Croatia,785,['e062d03a-9317-4d09-919c-f8ebb661f130'],14,,,,,,,,,,,,,,,,,Croatia,785,00:00:14.456,Pass,
,,,,,,,,,,,,,,,,,1.776799,,,,,,,,,,b84d7810-4f2c-47d6-95f0-5bff2051b9d4,15,,,"[48.8, 70.9]",3869684,0,,,,-1.7383643,,Right Foot,,,"[45.4, 50.8]",,Ground Pass,,20.385534,,,,Joško Gvardiol,33018.0,,,,,,1,From Throw In,Josip Šutalo,37148.0,Right Center Back,3,Croatia,785,['3bda1c34-17f7-4efe-8c29-737f0bf3e745'],17,,,,,,,,,,,,,,,,,Croatia,785,00:00:17.365,Pass,
