player_id,player_name,player_nickname,jersey_number,country,cards,positions
3196,Wahbi Khazri,,10,Tunisia,[],[]
3557,Naïm Sliti,,23,Tunisia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '66:43', 'to': '80:09', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '80:09', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3767,Ellyes Joris Skhiri,,17,Tunisia,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5647,Ali Maâloul,,12,Tunisia,[],[]
5650,Ferjani Sassi,,13,Tunisia,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '87:46', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
5651,Yassine Meriah,,4,Tunisia,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5653,Mouez Hassen,,26,Tunisia,[],[]
5655,Dylan Daniel Mahmoud Bronn,,6,Tunisia,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6342,Aymen Mathlouthi,Balbouli,1,Tunisia,[],[]
6347,Ghilane Chalali,,18,Tunisia,[],[]
9236,Mohamed Dräger,,20,Tunisia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '87:17', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16352,Issam Jebali,,9,Tunisia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '80:01', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
23910,Youssef Msakni,,7,Tunisia,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '79:47', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
25582,Nader Ghandri,,5,Tunisia,[],[]
30681,Ali Abdi,,24,Tunisia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
32450,Montassar Omar Talbi,,3,Tunisia,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
35592,Anis Ben Slimane,Anis Slimane,25,Tunisia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '66:43', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
44955,Aïssa Bilal Laïdouni,Aïssa Laïdouni,14,Tunisia,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '87:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
50988,Hannibal Mejbri,,8,Tunisia,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '79:47', 'to': '80:09', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '80:09', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
68749,Seifeddine Jaziri,,19,Tunisia,[],[]
102816,Mohamed Ali Ben Romdhane,,15,Tunisia,[],[]
105943,Aymen Dahmen,,16,Tunisia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
105944,Wajdi Kechrida,,21,Tunisia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '87:17', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
128793,Taha Yassine Khenissi,,11,Tunisia,"[{'time': '84:57', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 23, 'position': 'Center Forward', 'from': '80:01', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
136296,Bechir Ben Said,,22,Tunisia,[],[]
163049,Bilel Ifa,,2,Tunisia,[],[]
