player_id,player_name,player_nickname,jersey_number,country,cards,positions
3512,Marko Grujić,,26,Serbia,[],[]
3831,Dušan Tadić,,10,Serbia,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '77:35', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
4269,Aleksandar Mitrović,,9,Serbia,"[{'time': '81:42', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5589,Sergej Milinković-Savić,,20,Serbia,"[{'time': '46:35', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '66:59', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5591,Filip Kostić,,17,Serbia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5603,Nikola Milenković,,4,Serbia,"[{'time': '94:20', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5833,Nemanja Radonjić,,7,Serbia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '77:40', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
6318,Andrija Živković,,14,Serbia,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '77:40', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
6319,Luka Jović,,11,Serbia,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '54:15', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
6321,Milos Veljkovic,,5,Serbia,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': '54:02', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
