player_id,player_name,player_nickname,jersey_number,country,cards,positions
3053,Leroy Sané,,19,Germany,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '69:02', 'to': '69:44', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '69:44', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3167,Antonio Rüdiger,,2,Germany,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4440,Kevin Trapp,,12,Germany,[],[]
5555,Julian Brandt,,17,Germany,[],[]
5562,Thomas Müller,,13,Germany,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '69:15', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5570,Manuel Neuer,,1,Germany,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5579,Joshua Kimmich,,6,Germany,"[{'time': '59:08', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6322,Niklas Süle,,15,Germany,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6324,Leon Goretzka,,8,Germany,"[{'time': '56:58', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
8227,Mario Götze,,11,Germany,[],[]
8400,Serge Gnabry,,10,Germany,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '69:44', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '69:44', 'to': '84:17', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
8507,Lukas Klostermann,,16,Germany,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '69:20', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8511,Thilo Kehrer,,5,Germany,"[{'time': '36:05', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '69:20', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8546,Niclas Füllkrug,,9,Germany,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '69:15', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8804,Jonas Hofmann,,18,Germany,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '84:17', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8808,Matthias Ginter,,4,Germany,[],[]
8945,Christian Günter,,20,Germany,[],[]
8966,Kai Havertz,,7,Germany,[],[]
10287,İlkay Gündoğan,,21,Germany,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '69:02', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12034,David Raum,,3,Germany,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '86:17', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
20055,Marc-André ter Stegen,Marc-André ter Stegen,22,Germany,[],[]
24118,Nico Schlotterbeck,,23,Germany,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '86:17', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
24916,Armel Bella-Kotchap,,25,Germany,[],[]
35609,Karim-David Adeyemi,,24,Germany,[],[]
38837,Youssoufa Moukoko,,26,Germany,[],[]
39565,Jamal Musiala,,14,Germany,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '69:44', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '69:44', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
