player_id,player_name,player_nickname,jersey_number,country,cards,positions
5563,José Andrés Guardado Hernández,Andrés Guardado,18,Mexico,[],[]
5567,Edson Omar Álvarez Velázquez,Edson Álvarez,4,Mexico,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5568,Raúl Alonso Jiménez Rodríguez,Raúl Jiménez,9,Mexico,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '70:18', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
5571,Hirving Rodrigo Lozano Bahena,Hirving Lozano,22,Mexico,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '83:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '83:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5573,Héctor Alfredo Moreno Herrera,Héctor Moreno,15,Mexico,"[{'time': '53:09', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5575,Héctor Miguel Herrera López,Héctor Herrera,16,Mexico,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '70:15', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5576,Jesús Daniel Gallardo Vasconcelos,Jesús Gallardo,23,Mexico,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5577,Francisco Guillermo Ochoa Magaña,Guillermo Ochoa,13,Mexico,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11388,Néstor Alejandro Araújo Razo,Néstor Araujo,2,Mexico,[],[]
15452,Carlos Uriel Antuna Romero,Uriel Antuna,21,Mexico,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '83:48', 'to': '83:49', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '83:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
15872,Érick Gabriel Gutiérrez Galaviz,Erick Gutiérrez,14,Mexico,[],[]
26280,Orbelín Pineda Alvarado,Orbelín Pineda,17,Mexico,[],[]
26297,Carlos Alberto Rodríguez Gómez,Carlos Alberto Rodríguez,8,Mexico,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '70:15', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
26301,Ernesto Alexis Vega Rojas,Alexis Vega,10,Mexico,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '83:48', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
26318,Rogelio Gabriel Funes Mori,Rogelio Funes Mori,11,Mexico,[],[]
26336,Johan Felipe Vásquez Ibarra,Johan Vásquez,5,Mexico,[],[]
26368,César Jasib Montes Castro,César Montes,3,Mexico,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '08:51', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '09:07', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
26375,Roberto Carlos Alvarado Hernández,Roberto Alvarado,25,Mexico,[],[]
26386,Luis Francisco Romo Barrón,Luis Romo,7,Mexico,[],[]
26389,Alfredo Talavera Díaz,Alfredo Talavera,1,Mexico,[],[]
26400,Henry Josué Martín Mex,Henry Martín,20,Mexico,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '70:18', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
26406,Jorge Eduardo Sánchez Ramos,Jorge Sánchez,19,Mexico,"[{'time': '28:10', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
27896,Gerardo Daniel Arteaga Zamora,Gerardo Arteaga,6,Mexico,[],[]
28522,Rodolfo Cota Robles,Rodolfo Cota,12,Mexico,[],[]
28825,Luis Gerardo Chávez Magallón,Luis Chávez,24,Mexico,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
30500,Kevin Nahin Álvarez Campos,Kevin Álvarez,26,Mexico,[],[]
