player_id,player_name,player_nickname,jersey_number,country,cards,positions
12583,Carlos Armando Gruezo Arboleda,Carlos Gruezo,8,Ecuador,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
12803,Romario Andrés Ibarra Mina,Romario Ibarra,10,Ecuador,[],[]
15486,Diego José Palacios Espinoza,Diego Palacios,18,Ecuador,[],[]
24085,Pervis Josué Estupiñán Tenorio,Pervis Estupiñán,7,Ecuador,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '73:12', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 6, 'position': 'Left Back', 'from': '74:19', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
25083,Xavier Ricardo Arreaga Bermello,Xavier Arreaga,14,Ecuador,[],[]
25352,Robert Abel Arboleda Escobar,Robert Arboleda,4,Ecuador,[],[]
28511,Ángel Israel Mena Delgado,Ángel Mena,15,Ecuador,[],[]
28559,Enner Remberto Valencia Lastra,Enner Valencia,13,Ecuador,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
30111,Felix Eduardo Torres Caicedo,Félix Torres,2,Ecuador,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
31152,Gonzalo Jordy Plata Jiménez,Gonzalo Plata,19,Ecuador,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
