player_id,player_name,player_nickname,jersey_number,country,cards,positions
5220,Morteza Pouraliganji,,8,"Iran, Islamic Republic of",[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5222,Roozbeh Cheshmi,,15,"Iran, Islamic Republic of",[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '77:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]"
5224,Sardar Azmoun,,20,"Iran, Islamic Republic of",[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '27:45', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 23, 'position': 'Center Forward', 'from': '27:51', 'to': '59:33', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Player Off'}, {'position_id': 23, 'position': 'Center Forward', 'from': '60:47', 'to': '67:18', 'from_period': 2, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
5226,Mehdi Taremi,,9,"Iran, Islamic Republic of",[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '82:31', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '82:31', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5227,Alireza Safar Beiranvand,Alireza Beiranvand,1,"Iran, Islamic Republic of",[],[]
5228,Seyed Majid Hosseini,Majid Hosseini,19,"Iran, Islamic Republic of",[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5230,Ehsan Hajsafi,,3,"Iran, Islamic Republic of",[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '00:00', 'to': '75:48', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5231,Karim Ansarifard,,10,"Iran, Islamic Republic of",[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '67:18', 'to': '82:31', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '82:31', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5235,Ramin Rezaeian,,23,"Iran, Islamic Republic of","[{'time': '94:00', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5239,Alireza Jahanbakhsh,,7,"Iran, Islamic Republic of","[{'time': '94:20', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 12, 'position': 'Right Midfield', 'from': '75:43', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
