player_id,player_name,player_nickname,jersey_number,country,cards,positions
3196,Wahbi Khazri,,10,Tunisia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '59:04', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Injury)'}]"
3557,Naïm Sliti,,23,Tunisia,[],[]
3767,Ellyes Joris Skhiri,,17,Tunisia,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5647,Ali Maâloul,,12,Tunisia,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '88:24', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '88:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5650,Ferjani Sassi,,13,Tunisia,[],[]
5651,Yassine Meriah,,4,Tunisia,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5653,Mouez Hassen,,26,Tunisia,[],[]
5655,Dylan Daniel Mahmoud Bronn,,6,Tunisia,[],[]
6342,Aymen Mathlouthi,Balbouli,1,Tunisia,[],[]
6347,Ghilane Chalali,,18,Tunisia,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '73:52', 'to': '84:33', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '84:33', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
9236,Mohamed Dräger,,20,Tunisia,[],[]
16352,Issam Jebali,,9,Tunisia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '59:04', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]"
23910,Youssef Msakni,,7,Tunisia,[],[]
25582,Nader Ghandri,,5,Tunisia,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
30681,Ali Abdi,,24,Tunisia,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '82:56', 'to': '84:33', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '84:33', 'to': '88:24', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '88:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
32450,Montassar Omar Talbi,,3,Tunisia,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
35592,Anis Ben Slimane,Anis Slimane,25,Tunisia,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '82:56', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
44955,Aïssa Bilal Laïdouni,Aïssa Laïdouni,14,Tunisia,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
50988,Hannibal Mejbri,,8,Tunisia,[],[]
68749,Seifeddine Jaziri,,19,Tunisia,[],[]
102816,Mohamed Ali Ben Romdhane,,15,Tunisia,[],"[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '63:04', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off (Off Camera)'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '63:27', 'to': '73:52', 'from_period': 2, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Tactical)'}]"
105943,Aymen Dahmen,,16,Tunisia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
105944,Wajdi Kechrida,,21,Tunisia,"[{'time': '27:20', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
128793,Taha Yassine Khenissi,,11,Tunisia,[],[]
136296,Bechir Ben Said,,22,Tunisia,[],[]
163049,Bilel Ifa,,2,Tunisia,[],[]
