player_id,player_name,player_nickname,jersey_number,country,cards,positions
4106,Ike Ugbo,,12,Canada,[],[]
9036,David Wotherspoon,,24,Canada,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '75:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
9922,David Junior Hoilett,Junior Hoilett,10,Canada,"[{'time': '06:43', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '24:01', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '24:01', 'to': '66:24', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '66:24', 'to': '75:24', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
11187,Stephen Antunes Eustáquio,,7,Canada,[],[]
11846,Steven de Sousa Vitoria,Steven Vitória,5,Canada,"[{'time': '83:49', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12365,Alphonso Davies,,19,Canada,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '00:00', 'to': '24:01', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '24:01', 'to': '66:24', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '66:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
12770,Jonathan Osorio,,21,Canada,"[{'time': '25:39', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '60:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '60:46', 'to': '65:04', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
12779,Samuel Piette,,6,Canada,[],[]
13885,Liam Fraser,,8,Canada,[],[]
15958,Milan Borjan,,18,Canada,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
16120,Richie Laryea,,22,Canada,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '65:04', 'to': '66:24', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '66:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
16252,Mark Anthony Kaye,,14,Canada,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '59:51', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
16459,Cyle Larin,,17,Canada,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '59:47', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
23363,Liam Millar,,23,Canada,[],[]
23640,Jonathan David,,20,Canada,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '59:47', 'to': '66:24', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '66:24', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
23760,Derek Cornelius,,25,Canada,[],[]
23828,Kamal Miller,,4,Canada,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
24024,Tajon Buchanan,,11,Canada,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '00:00', 'to': '60:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '60:46', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
26348,Lucas Daniel Cavallini,Lucas Cavallini,9,Canada,[],[]
29758,Sam Adekugbe,,3,Canada,"[{'time': '46:25', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '60:12', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
31684,Atiba Hutchinson,,13,Canada,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '59:51', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
35707,Joel Waterman,,26,Canada,[],[]
36794,Dayne St Clair,Dayne St. Clair,1,Canada,[],[]
44703,Alistair Johnston,,2,Canada,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
49259,James Pantemis,,16,Canada,[],[]
