player_id,player_name,player_nickname,jersey_number,country,cards,positions
3625,Sofiane Boufal,,17,Morocco,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '00:00', 'to': '64:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
3634,Abdelhamid Sabiri,,11,Morocco,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '81:13', 'to': '81:34', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '81:34', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5219,Romain Saïss,,6,Morocco,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5233,Munir Mohand Mohamedi,Munir,12,Morocco,[],[]
5234,Sofyan Amrabat,,4,Morocco,"[{'time': '77:27', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5237,Hakim Ziyech,,7,Morocco,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5245,Achraf Hakimi Mouh,Achraf Hakimi,2,Morocco,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6301,Youssef En-Nesyri,,19,Morocco,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '80:46', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
6785,Yassine Bounou,,1,Morocco,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7459,Jawad El Yamiq,,18,Morocco,[],[]
12149,Nayef Aguerd,,5,Morocco,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
15890,Noussair Mazraoui,,3,Morocco,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '54:34', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 6, 'position': 'Left Back', 'from': '55:04', 'to': '59:52', 'from_period': 2, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Injury)'}]"
21214,Ilias Chair,,13,Morocco,[],[]
21736,Zakaria Aboukhlal,,14,Morocco,[],[]
23774,Selim Amallah,,15,Morocco,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '81:34', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '81:34', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
31295,Yahia Attiyat allah,,25,Morocco,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '59:52', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]"
46258,Azzedine Ounahi,,8,Morocco,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '81:13', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
59493,Abderrazak Hamdallah,,9,Morocco,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '80:46', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
67700,Badr Banoun,,24,Morocco,[],[]
102668,Yahya Jabrane,,26,Morocco,[],[]
131037,Anass Zaroury,,10,Belgium,[],[]
139011,Ahmed Reda Tagnaouti,,22,Morocco,[],[]
139016,Achraf Dari,,20,Morocco,[],[]
149714,Abdessamad Ezzalzouli,Abde Ezzalzouli,16,Morocco,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '64:46', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
156734,Bilal El Khannous,,23,Morocco,[],[]
296254,Walid Cheddira,,21,Morocco,[],[]
