player_id,player_name,player_nickname,jersey_number,country,cards,positions
3240,Mathew Ryan,Mat Ryan,1,Australia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3281,Aaron Mooy,,13,Australia,"[{'time': '93:51', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5479,Aziz Eraltay Behich,Aziz Behich,16,Australia,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5481,Mathew Leckie,,7,Australia,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '00:00', 'to': '73:34', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '73:34', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5490,Jackson Irvine,,22,Australia,"[{'time': '79:07', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '73:34', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '73:34', 'to': '84:03', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
8346,Craig Goodwin,,23,Australia,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '00:00', 'to': '72:40', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8859,Ajdin Hrustic,,10,Australia,[],[]
9430,Jason Cummings,,25,Australia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '55:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
9980,Jamie MacLaren,Jamie Maclaren,9,Australia,[],[]
15957,Miloš Degenek,,2,Australia,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '84:07', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
16549,Danny Vuković,,18,Australia,[],[]
22293,Harry Souttar,,19,Australia,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
22371,Bailey Wright,,8,Australia,[],[]
24475,Awer Mabil,,11,Australia,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '72:25', 'to': '73:34', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '73:34', 'to': '89:44', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '89:44', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
28370,Fran Karačić,,5,Australia,[],[]
33446,Thomas Deng,,20,Australia,[],[]
33465,Joel King,,24,Australia,[],[]
33477,Riley McGree,,14,Australia,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '72:25', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
