player_id,player_name,player_nickname,jersey_number,country,cards,positions
3141,André-Frank Zambo Anguissa,André Zambo Anguissa,8,Cameroon,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3499,Jean-Eric Maxim Choupo-Moting,Eric Maxim Choupo-Moting,13,Cameroon,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3551,Karl Brillant Toko Ekambi,Karl Toko Ekambi,12,Cameroon,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '63:09', 'to': '64:31', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '64:31', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3639,Georges-Kévin Nkoudou Mbida,Georges-Kevin N'Koudou,7,Cameroon,[],[]
4935,Bryan Mbeumo,,20,Cameroon,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '00:00', 'to': '63:09', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
7551,Enzo Ebosse,,24,Cameroon,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
8591,Samuel Yves Oum Gwet,Samuel Gouet,14,Cameroon,[],[]
10530,Jules Olivier Ntcham,Olivier Ntcham,22,Cameroon,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '67:25', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
11174,Vincent Paté Aboubakar,Vincent Aboubakar,10,Cameroon,"[{'time': '80:29', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}, {'time': '92:54', 'card_type': 'Second Yellow', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
12623,Pierre Kunde Malong,Pierre Kunde,15,Cameroon,"[{'time': '27:49', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '67:25', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
13454,Nouhou Tolo,,25,Cameroon,"[{'time': '05:09', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
15326,Devis Rogers Epassy Mboka,Devis Epassy,16,Cameroon,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
16014,Jean Pierre Nsamé,,9,Cameroon,[],[]
16015,Nicolas Moumi Ngamaleu,Moumi Ngamaleu,6,Cameroon,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '00:00', 'to': '64:31', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '64:31', 'to': '84:57', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
16346,Ngoran Suiru Fai Collins,Collins Fai,19,Cameroon,"[{'time': '31:47', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '39:09', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 2, 'position': 'Right Back', 'from': '39:40', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
21456,Olivier Mbaissidara Mbaizo,Olivier Mbaizo,17,Cameroon,[],[]
28966,Gaël Ondoua,,5,Cameroon,[],[]
33813,Jerome Ngom Mbekeli,Jerome Mbekeli,2,Cameroon,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '84:57', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
44842,Simon Brady Ngapandouetnbu,,1,Cameroon,[],[]
46903,Christian Mougang Bassogog,Christian Bassogog,11,Cameroon,[],[]
74588,Christopher Wooh,,4,Cameroon,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
349913,Souaibou Marou,,26,Cameroon,[],[]
