player_id,player_name,player_nickname,jersey_number,country,cards,positions
3053,Leroy Sané,,19,Germany,[],[]
3167,Antonio Rüdiger,,2,Germany,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4440,Kevin Trapp,,12,Germany,[],[]
5555,Julian Brandt,,17,Germany,[],[]
5562,Thomas Müller,,13,Germany,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '66:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5570,Manuel Neuer,,1,Germany,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5579,Joshua Kimmich,,6,Germany,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6322,Niklas Süle,,15,Germany,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6324,Leon Goretzka,,8,Germany,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '67:05', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8227,Mario Götze,,11,Germany,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '78:13', 'to': '89:09', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '89:09', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8400,Serge Gnabry,,10,Germany,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '67:18', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '67:18', 'to': '89:01', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
8507,Lukas Klostermann,,16,Germany,[],[]
8511,Thilo Kehrer,,5,Germany,[],[]
8546,Niclas Füllkrug,,9,Germany,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '78:14', 'to': '89:09', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '89:09', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8804,Jonas Hofmann,,18,Germany,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '66:37', 'to': '67:18', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '67:18', 'to': '89:09', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '89:09', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8808,Matthias Ginter,,4,Germany,[],[]
8945,Christian Günter,,20,Germany,[],[]
8966,Kai Havertz,,7,Germany,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '78:14', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
