player_id,player_name,player_nickname,jersey_number,country,cards,positions
4319,Edinson Roberto Cavani Gómez,Edinson Cavani,21,Uruguay,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '63:36', 'to': '63:49', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '63:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5246,Luis Alberto Suárez Díaz,Luis Suárez,9,Uruguay,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '63:36', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5248,José Martín Cáceres Silva,Martín Cáceres,22,Uruguay,"[{'time': '55:38', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5249,Diego Roberto Godín Leal,Diego Godín,3,Uruguay,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5255,Matías Vecino Falero,Matías Vecino,5,Uruguay,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '63:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '63:49', 'to': '77:50', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5258,Giorgian Daniel De Arrascaeta Benedetti,Giorgian De Arrascaeta,10,Uruguay,[],[]
5259,José María Giménez de Vargas,José Giménez,2,Uruguay,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5260,Rodrigo Bentancur Colmán,Rodrigo Bentancur,6,Uruguay,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '63:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '63:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5264,Guillermo Varela Olivera,Guillermo Varela,13,Uruguay,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '87:22', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
5266,Lucas Torreira Di Pascua,Lucas Torreira,14,Uruguay,[],[]
5267,Néstor Fernando Muslera Micol,Fernando Muslera,1,Uruguay,[],[]
6297,Maximiliano Gómez González,Maxi Gómez,18,Uruguay,[],[]
6300,Sebastián Coates Nión,Sebastián Coates,19,Uruguay,[],[]
6773,Federico Santiago Valverde Dipetta,Federico Valverde,15,Uruguay,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '63:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '63:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7104,Mathías Olivera Miramontes,Mathías Olivera,16,Uruguay,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '78:17', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
26323,Carlos Sebastián Sosa Silva,Sebastián Sosa,12,Uruguay,[],[]
28729,Diego Nicolás De La Cruz Arcosa,Nicolás De La Cruz,7,Uruguay,[],"[{'position_id': 16, 'position': 'Left Midfield', 'from': '77:50', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
32478,Darwin Gabriel Núñez Ribeiro,Darwin Núñez,11,Uruguay,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '63:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '63:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
