player_id,player_name,player_nickname,jersey_number,country,cards,positions
5563,José Andrés Guardado Hernández,Andrés Guardado,18,Mexico,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '00:00', 'to': '40:52', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Injury)'}]"
5567,Edson Omar Álvarez Velázquez,Edson Álvarez,4,Mexico,[],[]
5568,Raúl Alonso Jiménez Rodríguez,Raúl Jiménez,9,Mexico,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '65:21', 'to': '65:30', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '65:30', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5571,Hirving Rodrigo Lozano Bahena,Hirving Lozano,22,Mexico,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '45:00', 'to': '65:30', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '65:30', 'to': '72:18', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5573,Héctor Alfredo Moreno Herrera,Héctor Moreno,15,Mexico,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5575,Héctor Miguel Herrera López,Héctor Herrera,16,Mexico,"[{'time': '65:53', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '65:30', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '65:30', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5576,Jesús Daniel Gallardo Vasconcelos,Jesús Gallardo,23,Mexico,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '65:30', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '65:30', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5577,Francisco Guillermo Ochoa Magaña,Guillermo Ochoa,13,Mexico,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11388,Néstor Alejandro Araújo Razo,Néstor Araujo,2,Mexico,"[{'time': '21:29', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '65:30', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '65:30', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
15452,Carlos Uriel Antuna Romero,Uriel Antuna,21,Mexico,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '65:22', 'to': '65:30', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '65:30', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
