player_id,player_name,player_nickname,jersey_number,country,cards,positions
5581,Joel Nathaniel Campbell Samuels,Joel Campbell,12,Costa Rica,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5582,Celso Borges Mora,Celso Borges,5,Costa Rica,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5592,Bryan Ruiz González,Bryan Ruiz,10,Costa Rica,[],[]
5595,Johan Alberto Venegas Ulloa,Johan Venegas,11,Costa Rica,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '45:00', 'to': '73:14', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5597,Keylor Navas Gamboa,Keylor Navas,1,Costa Rica,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5598,Óscar Esau Duarte Gaitán,Óscar Duarte,6,Costa Rica,"[{'time': '75:12', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5836,Bryan Oviedo,,8,Costa Rica,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '92:29', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5839,Yeltsin Ignacio Tejeda Valverde,Yeltsin Tejeda,17,Costa Rica,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '92:32', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
6328,Kendall Jamaal Waston Manley,Kendall Waston,19,Costa Rica,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
15477,Ronald Alberto Matarrita Ulate,Ronald Matarrita,22,Costa Rica,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '73:14', 'to': '92:35', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '92:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
27163,Juan Pablo Vargas Campos,Juan Pablo Vargas,3,Costa Rica,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
97291,Patrick Gilmar Sequeira Mejías,,23,Costa Rica,[],[]
108340,Brandon Aguilera Zamora,,20,Costa Rica,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
130185,Keysher Fuller Spence,,4,Costa Rica,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '45:00', 'to': '73:30', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
130194,Esteban Alvarado Brown,,18,Costa Rica,[],[]
132271,Carlos Manuel Martínez Castro,Carlos Martínez,16,Costa Rica,[],[]
132296,Anthony Daniel Contreras Enríquez,,7,Costa Rica,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '92:29', 'to': '92:35', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '92:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
132497,Gerson Torres Barrantes,,13,Costa Rica,[],[]
132728,Jewison Bennette,,9,Costa Rica,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '73:30', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
132743,Douglas Andrey López Araya,,21,Costa Rica,[],[]
132756,Youstin Delfin Salas Gómez,,14,Costa Rica,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '45:00', 'to': '45:00', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 21, 'position': 'Left Wing', 'from': '45:00', 'to': '92:35', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '92:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
132772,Daniel Alonso Chacón Salas,,2,Costa Rica,[],[]
135271,Roan Roberto Wilson Gordon,,24,Costa Rica,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '92:32', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
184468,Álvaro José Zamora Mata,,26,Costa Rica,[],[]
283799,Anthony William Hernández González,,25,Costa Rica,[],[]
