player_id,player_name,player_nickname,jersey_number,country,cards,positions
40784,Akram Hassan Afif,Akram Afif,11,Qatar,[],"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00', 'to': '85:25', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '85:25', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
124488,Hassan Khalid Al Heidos,Hassan Al Heidos,10,Qatar,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '10:23', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '10:23', 'to': '36:21', 'from_period': 1, 'to_period': 1, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '36:21', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '45:00', 'to': '63:47', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Injury)'}]"
124490,Ahmed Alaa Eldin Abdelmotaal,Ahmed Alaa Eldin,7,Qatar,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '84:28', 'to': '85:25', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '85:25', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
124492,Karim Boudiaf,,12,Qatar,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '63:49', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
124493,Boualem Khoukhi,,16,Qatar,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124494,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan,3,Qatar,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
124495,Almoez Ali Zainalabiddin Abdulla,Almoez Ali,19,Qatar,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '64:12', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
124496,Saad Abdullah Al Sheeb,Saad Al Sheeb,1,Qatar,[],[]
124500,Assim Omer Al Haj Madibo,Assim Madibo,23,Qatar,[],"[{'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '00:00', 'to': '63:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
124503,Bassam Hisham Al Rawi,Bassam Hisham,15,Qatar,[],[]
