player_id,player_name,player_nickname,jersey_number,country,cards,positions
5173,Abdullah Ibrahim Otayf,Abdullah Otayf,14,Saudi Arabia,[],[]
5187,Salem Mohammed Al Dawsari,Salem Al Dawsari,10,Saudi Arabia,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '94:59', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '94:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5188,Hattan Babhir,,19,Saudi Arabia,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '94:41', 'to': '94:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '94:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5191,Mohammed Al Burayk,,6,Saudi Arabia,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '21:01', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 6, 'position': 'Left Back', 'from': '21:24', 'to': '45:09', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Tactical Shift'}, {'position_id': 2, 'position': 'Right Back', 'from': '45:09', 'to': '64:45', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5713,Mohammed Kanoo,,23,Saudi Arabia,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '49:59', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '50:11', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
5714,Mohammed Khalil Al Owais,Mohammed Al Owais,21,Saudi Arabia,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5715,Ali Albulayhi,,5,Saudi Arabia,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '37:09', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 5, 'position': 'Left Center Back', 'from': '37:45', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Player On (Off Camera)', 'end_reason': 'Final Whistle'}]"
51094,Abdulelah Al Amri,,4,Saudi Arabia,"[{'time': '48:23', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': '76:21', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 3, 'position': 'Right Center Back', 'from': '76:28', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
51096,Ali Al Hassan,Ali Al-Hassan,15,Saudi Arabia,[],[]
51099,Firas Tariq Nasser Al Albirakan,Firas Albirakan,9,Saudi Arabia,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '85:15', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '85:15', 'to': '94:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '94:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
51103,Abdullah Mohammed Madu,Abdullah Madu,3,Saudi Arabia,[],[]
51469,Saleh Khalid Al Shehri,Saleh Al Shehri,11,Saudi Arabia,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '85:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
51546,Hassan Mohammed Al-Tambakti,Hassan Mohammed Al Tambakti,17,Saudi Arabia,[],[]
51632,Sami Khalil Al Naji,Sami Al Naji,16,Saudi Arabia,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
51663,Mohammed Al Rubaie Al Yami,Mohammed Al Yami,1,Saudi Arabia,[],[]
51705,Abdulrahman Al-Obood,Abdulrahman Al Obod,20,Saudi Arabia,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '84:56', 'to': '85:15', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '85:15', 'to': '94:59', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '94:59', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
51710,Saud Abdullah Abdul Hamid,Saud Abdul Hamid,12,Saudi Arabia,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '45:09', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '45:09', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
54144,Nawaf Shaker Al Abid,Nawaf Al Abid,18,Saudi Arabia,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '45:00', 'to': '94:41', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Substitution - Off (Tactical)'}]"
54149,Nawaf Alaqidi,,22,Saudi Arabia,[],[]
56755,Abdulelah Saad Hameed Al-Malki,Abdulelah Al Malki,8,Saudi Arabia,"[{'time': '19:55', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 1}]","[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '84:56', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
57620,Sultan Abdullah Salim Al Ghannam,Sultan Al Ghanam,2,Saudi Arabia,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '64:45', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
