player_id,player_name,player_nickname,jersey_number,country,cards,positions
2989,Alexander Djiku,,23,Ghana,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '82:08', 'to': '82:35', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '82:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3347,André Ayew Pelé,André Ayew,10,Ghana,[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '77:47', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
3450,Jordan Ayew,,9,Ghana,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '77:48', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
3709,Daniel Amartey,,18,Ghana,"[{'time': '19:59', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6383,Thomas Teye Partey,Thomas Partey,5,Ghana,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6393,Iñaki Williams Arthuer,Iñaki Williams,19,Ghana,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
8108,Lawrence Ati-Zigi,,1,Ghana,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
9286,Antoine Semenyo,,25,Ghana,[],[]
9859,Elisha Owusu,,6,Ghana,[],[]
12259,Denis Odoi,,3,Ghana,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '77:46', 'to': '82:35', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '82:35', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
12325,Abdul Rahman Baba,Baba Rahman,17,Ghana,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '87:31', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Final Whistle'}]"
16555,Joseph Aidoo,,15,Ghana,[],[]
17033,Mohammed Kudus,,20,Ghana,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '82:08', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
23615,Gideon Mensah,,14,Ghana,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '82:35', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '82:35', 'to': '87:31', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Injury)'}]"
