player_id,player_name,player_nickname,jersey_number,country,cards,positions
3083,Heung-Min Son,Son Heung-Min,7,Korea (South),[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3135,Chang-Hoon Kwon,Kwon Chang-Hoon,22,Korea (South),[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '45:00', 'to': '56:19', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5604,Young-Gwon Kim,Kim Young-Gwon,19,Korea (South),"[{'time': '76:30', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5618,Woo-Young Jung,Jung Woo-Young,5,Korea (South),"[{'time': '26:30', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '78:09', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5619,Hyeon-Woo Jo,,21,Korea (South),[],[]
5620,Hee-Chan Hwang,Hwang Hee-Chan,11,Korea (South),[],[]
5623,Jae-Sung Lee,Lee Jae-Sung,10,Korea (South),[],[]
5986,Chul Hong,Hong Chul,14,Korea (South),[],[]
22067,Woo-Yeong Jeong,Jeong Woo-Yeong,25,Korea (South),[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
22740,Kang-In Lee,Lee Kang-In,18,Korea (South),[],"[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '56:19', 'to': '78:25', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '78:25', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
