player_id,player_name,player_nickname,jersey_number,country,cards,positions
2941,Ismaïla Sarr,,18,Senegal,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '64:04', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '64:04', 'to': '73:57', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
3404,Youssouf Sabaly,,21,Senegal,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3436,Idrissa Gana Gueye,Idrissa Gueye,5,Senegal,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '64:04', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '64:04', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
3675,Fodé Ballo Touré,,12,Senegal,[],[]
3684,Cheikhou Kouyaté,,8,Senegal,[],[]
4506,Nampalys Mendy,,6,Senegal,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '64:04', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '64:04', 'to': '76:58', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5675,Kalidou Koulibaly,,3,Senegal,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7379,Edouard Mendy,,16,Senegal,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
8553,Abdou Diallo,,22,Senegal,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': '77:18', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '77:18', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8870,Alfred Benjamin Gomis,Alfred Gomis,23,Senegal,[],[]
