player_id,player_name,player_nickname,jersey_number,country,cards,positions
3175,Eiji Kawashima,,1,Japan,[],[]
3300,Maya Yoshida,,22,Japan,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3530,Hiroki Sakai,,19,Japan,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '73:54', 'to': '74:20', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 7, 'position': 'Right Wing Back', 'from': '74:20', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
5690,Yuto Nagatomo,,5,Japan,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '63:17', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5693,Gaku Shibasaki,,7,Japan,[],[]
8361,Ritsu Doan,,8,Japan,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '86:09', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
8776,Takumi Minamino,,10,Japan,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '86:09', 'to': '86:37', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '86:37', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
8949,Takuma Asano,,18,Japan,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '63:29', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
9411,Daichi Kamada,,15,Japan,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '73:54', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
23527,Junya Ito,,14,Japan,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '74:20', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 21, 'position': 'Left Wing', 'from': '74:20', 'to': '86:37', 'from_period': 2, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '86:37', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
23721,Wataru Endo,,6,Japan,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
23730,Takehiro Tomiyasu,,16,Japan,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
25719,Shūichi Gonda,,12,Japan,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
29366,Daniel Schmidt,,23,Japan,[],[]
30628,Daizen Maeda,,25,Japan,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '63:29', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
37122,Yuki Soma,,24,Japan,[],[]
37208,Ao Tanaka,,17,Japan,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '105:00', 'to': '119:30', 'from_period': 4, 'to_period': 4, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Player Off'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '119:34', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
37209,Miki Yamane,,2,Japan,[],[]
37211,Kaoru Mitoma,,9,Japan,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '63:17', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
37215,Shogo Taniguchi,,3,Japan,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
37221,Hidemasa Morita,,13,Japan,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '105:00', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '74:20', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
38285,Ayase Ueda,,21,Japan,[],[]
95272,Hiroki Ito,,26,Japan,[],[]
100436,Shuto Machino,,20,Japan,[],[]
