player_id,player_name,player_nickname,jersey_number,country,cards,positions
2972,Marcus Thuram,,26,France,[],[]
3009,Kylian Mbappé Lottin,Kylian Mbappé,10,France,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3026,Adrien Rabiot,,14,France,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3099,Hugo Lloris,,1,France,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
3379,Alphonse Areola,,23,France,[],[]
3543,Steve Mandanda,,16,France,[],[]
3604,Olivier Giroud,,9,France,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
4445,Jules Koundé,,5,France,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5476,Benjamin Pavard,,2,France,[],[]
5477,Ousmane Dembélé,,11,France,"[{'time': '45:48', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '78:37', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
5485,Raphaël Varane,,4,France,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5487,Antoine Griezmann,,7,France,"[{'time': '42:15', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
6704,Theo Bernard François Hernández,Theo Hernández,22,France,"[{'time': '79:43', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7153,Jordan Veretout,,15,France,[],[]
7345,Mattéo Guendouzi Olié,Mattéo Guendouzi,6,France,[],[]
7439,Axel Disasi,,3,France,[],[]
8217,Kingsley Coman,,20,France,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '78:37', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]"
8519,Dayotchanculle Upamecano,,18,France,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
10481,Aurélien Djani Tchouaméni,Aurélien Tchouaméni,8,France,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
11135,Ibrahima Konaté,,24,France,[],[]
11990,Youssouf Fofana,,13,France,[],[]
17592,William Saliba,,17,France,[],[]
22097,Randal Kolo Muani,Randal Kolo,12,France,[],[]
24778,Eduardo Camavinga,,25,France,[],[]
