player_id,player_name,player_nickname,jersey_number,country,cards,positions
2995,Ángel Fabián Di María Hernández,Ángel Di María,11,Argentina,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': '63:51', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
3090,Nicolás Hernán Otamendi,Nicolás Otamendi,19,Argentina,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
5503,Lionel Andrés Messi Cuccittini,Lionel Messi,10,Argentina,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '115:32', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '115:32', 'to': '28:11', 'from_period': 4, 'to_period': 1, 'start_reason': 'Tactical Shift', 'end_reason': 'Player Off'}, {'position_id': 17, 'position': 'Right Wing', 'from': '28:19', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]"
5507,Nicolás Alejandro Tagliafico,Nicolás Tagliafico,3,Argentina,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '115:32', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '115:32', 'to': '120:46', 'from_period': 4, 'to_period': 4, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]"
5743,Paulo Bruno Exequiel Dybala,Paulo Dybala,21,Argentina,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '120:46', 'to': '120:48', 'from_period': 4, 'to_period': 4, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '120:48', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
6312,Franco Armani,,1,Argentina,[],[]
6377,Ángel Martín Correa,Ángel Correa,15,Argentina,[],[]
6694,Gerónimo Rulli,Gero Rulli,12,Argentina,[],[]
6909,Damián Emiliano Martínez,Emiliano Martínez,23,Argentina,"[{'time': '12:57', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 5}]","[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]"
7006,Alejandro Darío Gómez,Papu Gómez,17,Argentina,[],[]
7161,Germán Alejandro Pezzella,Germán Pezzella,6,Argentina,[],"[{'position_id': 15, 'position': 'Left Center Midfield', 'from': '115:22', 'to': '115:32', 'from_period': 4, 'to_period': 4, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '115:32', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
7797,Rodrigo Javier De Paul,Rodrigo De Paul,7,Argentina,[],"[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '00:00', 'to': '101:37', 'from_period': 1, 'to_period': 3, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]"
11456,Lautaro Javier Martínez,Lautaro Martínez,22,Argentina,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '101:49', 'to': '115:32', 'from_period': 3, 'to_period': 4, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 24, 'position': 'Left Center Forward', 'from': '115:32', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
16308,Leandro Daniel Paredes,Leandro Paredes,5,Argentina,"[{'time': '11:27', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 4}]","[{'position_id': 13, 'position': 'Right Center Midfield', 'from': '101:37', 'to': '102:16', 'from_period': 3, 'to_period': 3, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '102:16', 'to': None, 'from_period': 3, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]"
